"years","jugador","edad","g","pa","ab","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo","resultado"
"1976-77","O. Blanco",31,5,,16,0,2,0,0,0,1,1,,,,125,,125,0,,2,0,,,,"NO","subcampeon"
"1971-72","O. Blanco",26,7,,22,3,6,1,0,2,3,0,,,,273,,591,0,,13,3,,,,"NO","subcampeon"
"1970-71","O. Blanco",25,7,,21,2,6,1,0,1,2,0,,,,286,,476,0,,10,2,,,,"NO","campeon"
"1966-67","N. Chávez",19,2,,3,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"SI","subcampeon"
"1964-65","N. Chávez",17,3,,2,0,1,0,0,0,0,0,,,,0.5,,0.5,0,,1,0,,,,"SI","campeon"
"1986-87","N. Carrasco",24,4,,13,0,4,0,0,0,2,0,,,,308,,308,0,,4,0,,,,"NO","subcampeon"
"1985-86","N. Carrasco",23,6,,17,5,5,0,1,0,2,1,,,,294,,412,0,,7,1,,,,"NO","campeon"
"1984-85","N. Carrasco",22,2,,4,1,1,0,0,0,0,1,,,,0.25,,0.25,0,,1,0,,,,"NO","campeon"
"1982-83","N. Carrasco",20,6,,22,3,3,0,0,0,2,0,,,,136,,136,0,,3,0,,,,"NO","campeon"
"2011-12","M. Rojas",22,6,22,20,2,6,0,0,0,0,1,0,1,4,0.3,333,0.3,633,2,6,0,0,1,0,"NO","subcampeon"
"1968-69","M. Rettenmund",25,8,,30,4,8,1,0,1,4,0,,,,267,,0.4,0,,12,2,,,,"NO","campeon"
"1976-77","M. Ramírez",26,6,,24,7,11,1,0,0,0,1,,,,458,,0.5,0,,12,1,,,,"NO","subcampeon"
"1969-70","M. López",26,1,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1965-66","M. López",22,5,,7,1,3,0,1,0,2,0,,,,429,,714,0,,5,1,,,,"NO","campeon"
"1969-70","M. Hedlund",23,2,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1968-69","M. Epstein",25,9,,29,6,7,0,0,1,4,0,,,,241,,345,0,,10,1,,,,"NO","campeon"
"1965-66","M. Dominguez",0,3,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1976-77","M. Cubbage",26,6,,24,1,7,1,0,0,3,0,,,,292,,333,0,,8,1,,,,"NO","subcampeon"
"1971-72","L. Tiant",31,1,,3,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1986-87","L. Salazar",30,2,,7,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1984-85","L. Salazar",28,4,,15,4,4,0,0,0,5,0,,,,267,,267,0,,4,0,,,,"NO","campeon"
"1982-83","L. Salazar",26,6,,25,6,9,3,0,0,4,2,,,,0.36,,0.48,0,,12,3,,,,"NO","campeon"
"2011-12","L. Rodríguez",31,2,5,4,0,1,0,0,0,0,0,0,1,1,0.25,0.4,0.25,0.65,0.4,1,0,0,0,0,"NO","subcampeon"
