years,jugador,name,first_name,last_name,pos,bat,lan,exp,pais,estado,ciudad
1992-93,D. Pavlas,David Lee Pavlas,David,Pavlas,P,D,D,2,Alemania,,Frankfurt
2004-05,S. Kent,Steven Patrick Kent,Steven,Kent,P,A,Z,1,Alemania,,Frankfurt
1985-86,T. McCarthy,Thomas Michael McCarthy,Thomas,McCarthy,P,D,D,1,Alemania,,Lundstahl
1997-98,C. Maduro,Calvin Gregory Maduro,Calvin,Maduro,P,D,D,2,Aruba,,Santa Cruz
2019-20,J. Tromp,Jiandido Cándido Tromp,Jiandido,Tromp,RF,D,D,2,Aruba,,Oranjestad Noord
2016-17,R. Searle,Ryan Gregory Searle,Ryan,Searle,P,D,D,1,Australia,,Brisbane
1966-67,T. Curry,George Anthony Curry,George,Curry,CF,Z,Z,3,Bahamas,,Nassau
2012-13,A. Rienzo,Andre Albanez Rienzo,Andre,Rienzo,P,D,D,1,Brasil,,Sao Paulo
2019-20,L. Reginatto,Leonardo Afonso Reginatto,Leonardo,Reginatto,3B,D,D,2,Brasil,,Curitiba
2019-20,M. Gouvea,Murilo Gouvea,Murilo,Gouvea,P,D,D,1,Brazil,,Atibaia
2008-09,C. Begg,Christopher Stephen Begg,Christopher,Begg,P,D,D,3,Canada,Ontario,Uxbridge
2014-15,J. Romak,James Robert Romak,James,Romak,LF,D,D,2,Canada,Ontario,London
2013-14,J. Romak,James Robert Romak,James,Romak,LF,D,D,1,Canada,Ontario,London
1995-96,J. Dickson,Jason Royce Dickson,Jason,Dickson,P,Z,D,1,Canada,Ontario,London
2009-10,L. Ochoa,Leonardo Ochoa,Leonardo,Ochoa,3B,Z,D,1,Canada,Quebec,St. Amable
1980-81,R. Lisi,Riccardo Patrick Emilio Lisi,Riccardo,Lisi,CF,D,D,1,Canada,Nueva Escocia,Halifax
2015-16,S. Hill,Shawn Richard Hill,Shawn,Hill,P,D,D,1,Canada,Ontario,Mississauga
2016-17,J. Alfaro,Jorge Mario Alfaro Buelvas,Jorge,Alfaro,C,D,D,2,Colombia,,Sincelejo
2015-16,J. Alfaro,Jorge Mario Alfaro Buelvas,Jorge,Alfaro,C,D,D,1,Colombia,,Sincelejo
1974-75,O. Zamora,Óscar José Zamora Sosa,Óscar,Zamora,P,D,D,7,Cuba,,Camaguey
1973-74,O. Zamora,Óscar José Zamora Sosa,Óscar,Zamora,P,D,D,6,Cuba,,Camaguey
2008-09,A. Sánchez,Alex Sánchez,Alex,Sánchez,CF,Z,Z,7,Cuba,,La Habana
2007-08,A. Sánchez,Alex Sánchez,Alex,Sánchez,CF,Z,Z,6,Cuba,,La Habana
2006-07,A. Sánchez,Alex Sánchez,Alex,Sánchez,CF,Z,Z,5,Cuba,,La Habana
2001-02,A. Sánchez,Alex Sánchez,Alex,Sánchez,CF,Z,Z,3,Cuba,,La Habana
1982-83,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,20,Cuba,,Caibarien
1981-82,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,19,Cuba,,Caibarien
1980-81,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,18,Cuba,,Caibarien
1979-80,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,17,Cuba,,Caibarien
1978-79,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,16,Cuba,,Caibarien
1977-78,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,15,Cuba,,Caibarien
1976-77,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,14,Cuba,,Caibarien
1974-75,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,12,Cuba,,Caibarien
1973-74,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,11,Cuba,,Caibarien
1972-73,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,10,Cuba,,Caibarien
1971-72,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,9,Cuba,,Caibarien
1970-71,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,8,Cuba,,Caibarien
1969-70,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,7,Cuba,,Caibarien
1968-69,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,6,Cuba,,Caibarien
1967-68,A. Monteagudo,Aurelio Faustino Monteagudo Cintra,Aurelio,Monteagudo,P,D,D,5,Cuba,,Caibarien
2009-10,B. Canizares,Barbaro Rafael Canizares,Barbaro,Canizares,1B,D,D,2,Cuba,,La Habana
1972-73,C. Pascual,Camilo Alberto Pascual Lus,Camilo,Pascual,P,D,D,3,Cuba,,La Habana
2019-20,H. Pena,Hassan Pena,Hassan,Pena,P,D,D,6,Cuba,,
1966-67,C. Ruíz,Hiraldo Ruíz Sablon,Hiraldo,Ruíz,IF,A,D,3,Cuba,,Santo Domingo
1965-66,C. Ruíz,Hiraldo Ruíz Sablon,Hiraldo,Ruíz,IF,A,D,2,Cuba,,Santo Domingo
1988-89,I. Sánchez,Israel Sánchez Matos,Israel,Sánchez,P,Z,Z,2,Cuba,,Falcon Lasvias
1987-88,I. Sánchez,Israel Sánchez Matos,Israel,Sánchez,P,Z,Z,1,Cuba,,Falcon Lasvias
2005-06,J. Toca,Jorge Luis Toca Gómez,Jorge,Toca,1B,D,D,2,Cuba,,Villa Clara
2004-05,J. Toca,Jorge Luis Toca Gómez,Jorge,Toca,1B,D,D,1,Cuba,,Villa Clara
1965-66,J. Martínez,José Martínez Azcuiz,José,Martínez,IF,D,D,1,Cuba,,Cardenas
1979-80,J. Cardenal,José Rosario Domec Cardenal,José,Cardenal,CF,D,D,8,Cuba,,Matanzas
1978-79,J. Cardenal,José Rosario Domec Cardenal,José,Cardenal,CF,D,D,7,Cuba,,Matanzas
1977-78,J. Cardenal,José Rosario Domec Cardenal,José,Cardenal,CF,D,D,6,Cuba,,Matanzas
1976-77,J. Cardenal,José Rosario Domec Cardenal,José,Cardenal,CF,D,D,5,Cuba,,Matanzas
1972-73,J. Cardenal,José Rosario Domec Cardenal,José,Cardenal,CF,D,D,4,Cuba,,Matanzas
1971-72,J. Cardenal,José Rosario Domec Cardenal,José,Cardenal,CF,D,D,3,Cuba,,Matanzas
1970-71,J. Cardenal,José Rosario Domec Cardenal,José,Cardenal,CF,D,D,2,Cuba,,Matanzas
1965-66,J. Cardenal,José Rosario Domec Cardenal,José,Cardenal,CF,D,D,1,Cuba,,Matanzas
2018-19,J. González,Julio González,Julio,González,3B,A,D,1,Cuba,,Matanza
1971-72,L. Cardenas,Leonardo Lázaro Cardenas Alfonso,Leonardo,Cardenas,SS,D,D,2,Cuba,,Matanzas
1970-71,L. Cardenas,Leonardo Lázaro Cardenas Alfonso,Leonardo,Cardenas,SS,D,D,1,Cuba,,Matanzas
1981-82,L. Tiant,Luis Clemente Tiant Vega,Luis,Tiant,P,D,D,7,Cuba,,Marianao
1972-73,L. Tiant,Luis Clemente Tiant Vega,Luis,Tiant,P,D,D,6,Cuba,,Marianao
1971-72,L. Tiant,Luis Clemente Tiant Vega,Luis,Tiant,P,D,D,5,Cuba,,Marianao
1972-73,M. García,Manuel García,Manuel,García,IF,D,D,8,Cuba,,La Habana
1966-67,M. García,Manuel García,Manuel,García,IF,D,D,4,Cuba,,La Habana
1965-66,M. García,Manuel García,Manuel,García,IF,D,D,3,Cuba,,La Habana
1964-65,M. García,Manuel García,Manuel,García,IF,D,D,2,Cuba,,La Habana
1963-64,M. García,Manuel García,Manuel,García,IF,D,D,1,Cuba,,La Habana
1970-71,M. López,Marcelino Pons López,Marcelino,López,P,D,Z,6,Cuba,,La Habana
1969-70,M. López,Marcelino Pons López,Marcelino,López,P,D,Z,5,Cuba,,La Habana
1968-69,M. López,Marcelino Pons López,Marcelino,López,P,D,Z,4,Cuba,,La Habana
1965-66,M. López,Marcelino Pons López,Marcelino,López,P,D,Z,3,Cuba,,La Habana
1963-64,M. López,Marcelino Pons López,Marcelino,López,P,D,Z,2,Cuba,,La Habana
1962-63,M. López,Marcelino Pons López,Marcelino,López,P,D,Z,1,Cuba,,La Habana
2008-09,M. Abreu,Michel Abreu Martínez,Michel,Abreu,1B,D,D,1,Cuba,,Matanzas
1967-68,M. de la Hoz,Miguel Ángel (Piloto) de la Hoz,Miguel,De la Hoz,3B,D,D,1,Cuba,,La Habana
1987-88,N. Santovenia,Nelson Gil Santovenia Mayol,Nelson,Santovenia,C,D,D,1,Cuba,,Pinar Del Rio
1971-72,O. Pena,Orlando Gregorio Pena Quevara,Orlando,Pena,P,D,D,5,Cuba,,Victoria De Las Tunas
1970-71,O. Pena,Orlando Gregorio Pena Quevara,Orlando,Pena,P,D,D,4,Cuba,,Victoria De Las Tunas
1963-64,P. Quintana,Patricio Quintana,Patricio,Quintana,IF,D,D,3,Cuba,,
1974-75,P. Casanova,Paulino Casanova Ortiz,Paulino,Casanova,C,D,D,9,Cuba,,Colon
1973-74,P. Casanova,Paulino Casanova Ortiz,Paulino,Casanova,C,D,D,8,Cuba,,Colon
1972-73,P. Casanova,Paulino Casanova Ortiz,Paulino,Casanova,C,D,D,7,Cuba,,Colon
1971-72,P. Casanova,Paulino Casanova Ortiz,Paulino,Casanova,C,D,D,6,Cuba,,Colon
1970-71,P. Casanova,Paulino Casanova Ortiz,Paulino,Casanova,C,D,D,5,Cuba,,Colon
1969-70,P. Casanova,Paulino Casanova Ortiz,Paulino,Casanova,C,D,D,4,Cuba,,Colon
1968-69,P. Casanova,Paulino Casanova Ortiz,Paulino,Casanova,C,D,D,3,Cuba,,Colon
2017-18,P. Echemendia,Pedro Luis Echemendia,Pedro,Echemendia,P,D,D,2,Cuba,,Ciego de Avila
2016-17,P. Echemendia,Pedro Luis Echemendia,Pedro,Echemendia,P,D,D,1,Cuba,,Ciego de Avila
1996-97,R. Arocha,René Arocha Magaly,René,Arocha,P,D,D,1,Cuba,,La Habana
1992-93,R. Rojas,Ricardo Rojas,Ricardo,Rojas,P,D,D,2,Cuba,,
2015-16,R. Mustelier,Ronnier Mustelier,Ronnier,Mustelier,3B,D,D,1,Cuba,,Santiago de Cuba
2005-06,V. Nuñez,Vladimir Nuñez,Vladimir,Nuñez,P,D,D,2,Cuba,,La Habana
2017-18,Y. Drake,Yadir Drake,Yadir,Drake,RF,D,D,2,Cuba,,Matanzas
2017-18,Y. Balaguert,Yasiel Balaguert,Yasiel,Balaguert,3B,D,D,1,Cuba,,Havana
1996-97,A. Jones,Andruw Rudolf Jones,Andruw,Jones,CF,D,D,1,Curazao,,Willemstad
2006-07,R. Simon,Randall Carlito Simon,Randall,Simon,1B,Z,Z,7,Curazao,,Willemstad
1998-99,R. Simon,Randall Carlito Simon,Randall,Simon,1B,Z,Z,2,Curazao,,Willemstad
2014-15,R. Bernadina,Rogearvin A. Bernadina,Rogearvin,Bernadina,CF,Z,Z,3,Curazao,,Curacao
2013-14,S. Martis,Shairon B. Martis,Shairon,Martis,P,D,D,4,Curazao,,Willemstad
2012-13,S. Martis,Shairon B. Martis,Shairon,Martis,P,D,D,3,Curazao,,Willemstad
2011-12,S. Martis,Shairon B. Martis,Shairon,Martis,P,D,D,2,Curazao,,Willemstad
2019-20,W. Floranus,Wendell Marlon Floranus,Wendell,Floranus,P,D,D,1,Curazao,,Willemstad
1984-85,A. Moreno,Ángel Moreno,Ángel,Moreno,CE,,,1,Desconocido,,
1977-78,C. Hernández,C. Hernández,C.,Hernández,2B,D,D,1,Desconocido,,
1991-92,C. Scott,Charles Scott,Charles,Scott,P,,,1,Desconocido,,
1976-77,D. Murphy,David Murphy,David,Murphy,CF,,,1,Desconocido,,
1989-90,F. Pinto,Francisco Pinto,Francisco,Pinto,P,,,3,Desconocido,,
1987-88,F. Pinto,Francisco Pinto,Francisco,Pinto,P,,,2,Desconocido,,
1986-87,F. Pinto,Francisco Pinto,Francisco,Pinto,P,,,1,Desconocido,,
1986-87,H. Viana,Hector Alfonso Viana,Hector,Viana,IF,D,D,3,Desconocido,,
1985-86,H. Viana,Hector Alfonso Viana,Hector,Viana,IF,D,D,2,Desconocido,,
1984-85,H. Viana,Hector Alfonso Viana,Hector,Viana,IF,D,D,1,Desconocido,,
1964-65,H. Stheters,Howard Stheters,Howard,Stheters,P,,,1,Desconocido,,
1998-99,I. Paez,Iran Paez,Iran,Paez,IF,D,D,4,Desconocido,,
1996-97,I. Paez,Iran Paez,Iran,Paez,IF,D,D,3,Desconocido,,
1995-96,I. Paez,Iran Paez,Iran,Paez,IF,D,D,2,Desconocido,,
1994-95,I. Paez,Iran Paez,Iran,Paez,IF,D,D,1,Desconocido,,
1966-67,J. Mason,John Mason,John,Mason,CF,,,2,Desconocido,,
1972-73,J. Padron,Jorge Padron,Jorge,Padron,1B,,,1,Desconocido,,
1996-97,J. Vilchez,José Vilchez,José,Vilchez,CF,,,1,Desconocido,,
1979-80,J. Romero,Julio Romero,Julio,Romero,P,,,1,Desconocido,,
1979-80,J. Torres,Julio Torres,Julio,Torres,P,,,1,Desconocido,,
1990-91,P. Tovar,Paul Tovar,Paul,Tovar,P,Z,Z,2,Desconocido,,
1989-90,P. Tovar,Paul Tovar,Paul,Tovar,P,Z,Z,1,Desconocido,,
1992-93,S. Stowell,Steve Stowell,Steve,Stowell,P,,,1,Desconocido,,
2009-10,V. Bonilla,Vicente Enrique Bonilla,Vicente,Bonilla,P,D,D,5,El Salvador,,San Salvador
2008-09,V. Bonilla,Vicente Enrique Bonilla,Vicente,Bonilla,P,D,D,4,El Salvador,,San Salvador
2010-11,E. González-Diaz,Eric González-Diaz,Eric,González-Diaz,P,D,D,1,Espana,,San Juan de la Rambla
1983-84,B. Bochy,Bruce Douglas Bochy,Bruce,Bochy,C,D,D,3,Francia,,Landes De Bussac
1982-83,B. Bochy,Bruce Douglas Bochy,Bruce,Bochy,C,D,D,2,Francia,,Landes De Bussac
1994-95,G. Young,Gerald Anthony Young,Gerald,Young,CF,A,D,1,Honduras,,Tela
2007-08,M. Suzuki,Makoto Suzuki,Makoto,Suzuki,P,D,D,3,Japon,,Kobe
2006-07,M. Suzuki,Makoto Suzuki,Makoto,Suzuki,P,D,D,2,Japon,,Kobe
2009-10,S. Randolph,Stephen LeCharles Randolph,Stephen,Randolph,P,Z,Z,5,Japon,,Okinawa
2008-09,S. Randolph,Stephen LeCharles Randolph,Stephen,Randolph,P,Z,Z,4,Japon,,Okinawa
2007-08,S. Randolph,Stephen LeCharles Randolph,Stephen,Randolph,P,Z,Z,3,Japon,,Okinawa
2006-07,S. Randolph,Stephen LeCharles Randolph,Stephen,Randolph,P,Z,Z,2,Japon,,Okinawa
1986-87,A. Williams,Albert Hamilton Williams,Albert,Williams,P,D,D,6,Nicaragua,,Laguna De Perlas
1982-83,A. Williams,Albert Hamilton Williams,Albert,Williams,P,D,D,5,Nicaragua,,Laguna De Perlas
1981-82,A. Williams,Albert Hamilton Williams,Albert,Williams,P,D,D,4,Nicaragua,,Laguna De Perlas
1980-81,A. Williams,Albert Hamilton Williams,Albert,Williams,P,D,D,3,Nicaragua,,Laguna De Perlas
1979-80,A. Williams,Albert Hamilton Williams,Albert,Williams,P,D,D,2,Nicaragua,,Laguna De Perlas
2013-14,J. Ramírez,Juan Carlos Ramírez,Juan,Ramírez,P,D,D,2,Nicaragua,,Managua
2012-13,J. Ramírez,Juan Carlos Ramírez,Juan,Ramírez,P,D,D,1,Nicaragua,,Managua
1995-96,M. Benard,Marvin Larry Benard,Marvin,Benard,CF,Z,Z,1,Nicaragua,,Bluefields
1976-77,T. Chevez,Silvio Antonio Chevez Aguilera,Silvio,Chevez,P,D,D,1,Nicaragua,,Telica
2003-04,T. Wilson,Travis Wilson,Travis,Wilson,CF,D,D,2,Nueva Zelanda,,Christchurch
2002-03,T. Wilson,Travis Wilson,Travis,Wilson,CF,D,D,1,Nueva Zelanda,,Christchurch
1971-72,A. Phillips,Adolfo Emilio Phillips López,Adolfo,Phillips,CF,D,D,5,Panama,,Bethania
1970-71,A. Phillips,Adolfo Emilio Phillips López,Adolfo,Phillips,CF,D,D,4,Panama,,Bethania
1969-70,A. Phillips,Adolfo Emilio Phillips López,Adolfo,Phillips,CF,D,D,3,Panama,,Bethania
1968-69,A. Phillips,Adolfo Emilio Phillips López,Adolfo,Phillips,CF,D,D,2,Panama,,Bethania
1966-67,A. Phillips,Adolfo Emilio Phillips López,Adolfo,Phillips,CF,D,D,1,Panama,,Bethania
1999-00,B. Chen,Bruce Chen,Bruce,Chen,P,A,Z,1,Panama,,Panama City
1964-65,D. Roberts,David Leónard Roberts,David,Roberts,CF,Z,Z,3,Panama,,Panama City
1963-64,D. Roberts,David Leónard Roberts,David,Roberts,CF,Z,Z,2,Panama,,Panama City
1962-63,D. Roberts,David Leónard Roberts,David,Roberts,CF,Z,Z,1,Panama,,Panama City
1994-95,E. Burgos,Enrique Burgos Calles,Enrique,Burgos,P,Z,Z,1,Panama,,Chorrera
1991-92,F. Ramsey,Fernando David Ramsey,Fernando,Ramsey,CF,D,D,1,Panama,,Rainbow City
1972-73,I. Murrell,Ivan Augustus Murrell Peters,Ivan,Murrell,CF,D,D,3,Panama,,Bocas del Toro
2009-10,J. Macias,José Prado Macias Salazar,José,Macias,2B,A,D,4,Panama,,Panama City
1983-84,J. Berenguer,Juan Bautista Berenguer,Juan,Berenguer,P,D,D,7,Panama,,Aguadulce
1980-81,J. Berenguer,Juan Bautista Berenguer,Juan,Berenguer,P,D,D,5,Panama,,Aguadulce
1979-80,J. Berenguer,Juan Bautista Berenguer,Juan,Berenguer,P,D,D,4,Panama,,Aguadulce
1978-79,J. Berenguer,Juan Bautista Berenguer,Juan,Berenguer,P,D,D,3,Panama,,Aguadulce
1977-78,J. Berenguer,Juan Bautista Berenguer,Juan,Berenguer,P,D,D,2,Panama,,Aguadulce
1976-77,J. Berenguer,Juan Bautista Berenguer,Juan,Berenguer,P,D,D,1,Panama,,Aguadulce
1998-99,O. Saenz,Olmedo Saenz Sánchez,Olmedo,Saenz,3B,D,D,3,Panama,,Chitre
1985-86,O. Moreno,Omar Renan Moreno Quintero,Omar,Moreno,CF,Z,Z,3,Panama,,Puerto Armuelles
2011-12,P. Espino,Paolo Alesandro Espino,Paolo,Espino,P,D,D,1,Panama,,Panama
1969-70,R. Webster,Ramon Alberto Webster,Ramon,Webster,1B,Z,Z,3,Panama,,Colon
1967-68,R. Webster,Ramon Alberto Webster,Ramon,Webster,1B,Z,Z,2,Panama,,Colon
2016-17,S. González,Severino Yunier González,Severino,González,P,D,D,3,Panama,,Santiago
2015-16,S. González,Severino Yunier González,Severino,González,P,D,D,2,Panama,,Santiago
2013-14,S. González,Severino Yunier González,Severino,González,P,D,D,1,Panama,,Santiago
2007-08,G. Martínez,Gabriel José Martínez,Gabriel,Martínez,1B,Z,D,1,Puerto Rico,,Ponce
2018-19,J. Albaladejo,Jonathan Albaladejo Santana,Jonathan,Albaladejo,P,D,D,4,Puerto Rico,,San Juan
2017-18,J. Albaladejo,Jonathan Albaladejo Santana,Jonathan,Albaladejo,P,D,D,3,Puerto Rico,,San Juan
2016-17,J. Albaladejo,Jonathan Albaladejo Santana,Jonathan,Albaladejo,P,D,D,2,Puerto Rico,,San Juan
2007-08,J. Albaladejo,Jonathan Albaladejo Santana,Jonathan,Albaladejo,P,D,D,1,Puerto Rico,,San Juan
2007-08,L. González,Luis Enrique González Hernández,Luis,González,P,Z,Z,1,Puerto Rico,,Santurce
1965-66,M. Dominguez,Marcelino Dominguez,Marcelino,Dominguez,P,D,D,1,Puerto Rico,,San Juan
1977-78,M. Ramírez,Milton Ramírez Barboza,Milton,Ramírez,IF,D,D,2,Puerto Rico,,Mayaguez
1976-77,M. Ramírez,Milton Ramírez Barboza,Milton,Ramírez,IF,D,D,1,Puerto Rico,,Mayaguez
2010-11,R. González,Víctor Raúl González,Víctor,González,CF,D,D,1,Puerto Rico,,Santurce
2010-11,W. Collazo,William Collazo,William,Collazo,P,Z,Z,2,Puerto Rico,,Carolina
2007-08,W. Collazo,William Collazo,William,Collazo,P,Z,Z,1,Puerto Rico,,Carolina
2013-14,C. Reed,Christopher William Reed,Christopher,Reed,p,Z,Z,1,Reino Unido,,London
2010-11,A. Montero,Agustín Alcantara Montero,Agustín,Montero,P,D,D,1,Republica Dominicana,,San Pedro de Macoris
2015-16,A. Candelario,Alexis A Candelario,Alexis,Candelario,P,D,D,1,Republica Dominicana,,Santo Domingo
2019-20,A. Ventura,Ángel M Ventura,Ángel,Ventura,P,D,D,2,Republica Dominicana,,Santo Domingo
2014-15,D. Soriano,Dionis Soriano,Dionis,Soriano,P,Z,Z,1,Republica Dominicana,,San Pedro de Macoris
2009-10,E. Ramos,Eddy N. Ramos,Eddy,Ramos,P,A,D,2,Republica Dominicana,,Santo Domingo
2008-09,E. Ramos,Eddy N. Ramos,Eddy,Ramos,P,A,D,1,Republica Dominicana,,Santo Domingo
2016-17,E. Guerrero,Emilis R Guerrero,Emilis,Guerrero,P,D,D,1,Republica Dominicana,,La Romana
2016-17,E. De León,Emmanuel De León,Emmanuel,De Leon,P,A,D,1,Republica Dominicana,,La Vega
2013-14,E. Vázquez,Esmerling Vázquez,Esmerling,Vázquez,P,D,D,1,Republica Dominicana,,Tenares
2015-16,F. De La Cruz,Eulogio De La Cruz Martínez,Eulogio,De la  Cruz,P,D,D,1,Republica Dominicana,,Santo Domingo
2008-09,F. Romero,Félix Manuel Romero,Félix,Romero,P,D,D,1,Republica Dominicana,,San Pedro de Macoris
2009-10,F. Quijada,Fernando Antonio Quijada,Fernando,Quijada,P,D,D,5,Republica Dominicana,,Nueva Esparita
2008-09,F. Quijada,Fernando Antonio Quijada,Fernando,Quijada,P,D,D,4,Republica Dominicana,,Nueva Esparita
2007-08,F. Quijada,Fernando Antonio Quijada,Fernando,Quijada,P,D,D,3,Republica Dominicana,,Nueva Esparita
2005-06,F. Quijada,Fernando Antonio Quijada,Fernando,Quijada,P,D,D,2,Republica Dominicana,,Nueva Esparita
2018-19,H. Brazoban,Huascar Leandro Brazoban,Huascar,Brazoban,P,D,D,2,Republica Dominicana,,Villa Mella
2016-17,H. Brazoban,Huascar Leandro Brazoban,Huascar,Brazoban,P,D,D,1,Republica Dominicana,,Villa Mella
2017-18,I. Tejeda,Isaías Tejeda,Isaías,Tejeda,1B,D,D,1,Republica Dominicana,,Santo Domingo
2015-16,J. Yan,Johan Yan,Johan,Yan,P,D,D,1,Republica Dominicana,,San Pedro de Macoris
2010-11,J. DePaula,Jorge DePaula,Jorge,DePaula,P,D,D,2,Republica Dominicana,,Sabana Grande
2006-07,J. Mercedes,José Miguel Mercedes Santana,José,Mercedes,P,D,D,1,Republica Dominicana,,El Seibo
2007-08,J. Matos,Josué Matos,Josué,Matos,P,D,D,1,Republica Dominicana,,Mayaguez
2015-16,J. Grullon,Juan Grullon,Juan,Grullon,P,Z,Z,1,Republica Dominicana,,Santiago
2008-09,J. Richardson,Juan Miguel Richardson,Juan,Richardson,1B,D,D,1,Republica Dominicana,,Bani
2012-13,J. DePaula,Julio César DePaula,Julio,DePaula,P,D,D,1,Republica Dominicana,,Santo Domingo
2016-17,K. De La Cruz,Kelvin Antonio De La Cruz,Kelvin,De la Cruz,P,Z,Z,1,Republica Dominicana,,La Vega
2009-10,L. Ortiz,Luis F. Ortiz,Luis,Ortiz,2B,A,D,1,Republica Dominicana,,
2013-14,M. Arias,Marlon Vladimir Arias,Marlon,Arias,P,Z,Z,1,Republica Dominicana,,Bani
2016-17,O. Rosario,Olmo O Rosario,Olmo,Rosario,RF,D,D,1,Republica Dominicana,,Haina
2012-13,P. Liriano,Pedro Antonio Liriano,Pedro,Liriano,P,D,D,3,Republica Dominicana,,Fantino
2009-10,P. Liriano,Pedro Antonio Liriano,Pedro,Liriano,P,D,D,2,Republica Dominicana,,Fantino
2002-03,R. Caraballo,Ramon Caraballo Sánchez,Ramon,Caraballo,P,A,D,1,Republica Dominicana,,Rio San Juan
2004-05,R. Cabrera,Raymond Cabrera,Raymond,Cabrera,CF,D,D,6,Republica Dominicana,,Santo Domingo
2009-10,R. Giron,Roberto Giron,Roberto,Giron,P,D,D,2,Republica Dominicana,,Villa Mella
2008-09,R. Giron,Roberto Giron,Roberto,Giron,P,D,D,1,Republica Dominicana,,Villa Mella
2007-08,R. Mateo,Ruben Mateo,Ruben,Mateo,CF,D,D,1,Republica Dominicana,,San Cristobal
2017-18,S. Gervacio,Samuel Gervacio,Samuel,Gervacio,P,D,D,3,Republica Dominicana,,Sabana de la Mar
2016-17,S. Gervacio,Samuel Gervacio,Samuel,Gervacio,P,D,D,2,Republica Dominicana,,Sabana de la Mar
2018-19,U. Joaquin,Ulises Cirilo Joaquin,Ulises,Joaquin,P,D,D,1,Republica Dominicana,,Santo Domingo
2017-18,W. Pérez,Wander A. Pérez,Wander,Pérez,P,Z,Z,2,Republica Dominicana,,Nizao
2016-17,W. Pérez,Wander A. Pérez,Wander,Pérez,P,Z,Z,1,Republica Dominicana,,Nizao
2019-20,W. Beras,Wander Federico Beras,Wander,Beras,P,Z,Z,2,Republica Dominicana,,Elias Pina
2014-15,W. Mesa,Wanel Mesa,Wanel,Mesa,P,D,D,1,Republica Dominicana,,Azua
2018-19,W. Garcia,Willy Camilo Garcia Archivol,Willy,Garcia,RF,D,D,1,Republica Dominicana,,Santo Domingo
2004-05,W. Abreu,Winston Leónardo Abreu,Winston,Abreu,P,D,D,1,Republica Dominicana,,Cotui
2018-19,Y. Asencio,Yeison Asencio,Yeison,Asencio,RF,D,D,1,Republica Dominicana,,Santo Domingo
1993-94,V. Cole,Víctor Alexander Cole,Víctor,Cole,P,A,D,1,Rusia,,Leningrado
2009-10,A. Bostick,Adam Bostick,Adam,Bostick,P,Z,Z,1,USA,Pensilnavia,Jeannette
1977-78,A. Griffint,Alan Griffint,Alan,Griffint,P,,,1,USA,,
1972-73,A. Fitzmorris,Alan James Fitzmorris,Alan,Fitzmorris,P,A,D,1,USA,Nueva York,Buffalo
2014-15,A. Castellanos,Alejandro Luis Castellanos,Alejandro,Castellanos,CF,D,D,2,USA,Florida,Miami
2012-13,A. Castellanos,Alejandro Luis Castellanos,Alejandro,Castellanos,CF,D,D,1,USA,Florida,Miami
2015-16,A. Burg,Alexander Musashi Burg,Alexander,Burg,RF,D,D,1,USA,Washington,Des Moines
1964-65,A. Ferrara,Alfred John Ferrara Jr.,Alfred,Ferrara,CF,D,D,1,USA,Nueva York,Brooklyn
1985-86,B. Benton,Alfred Lee Benton,Alfred,Benton,C,D,D,2,USA,Florida,Tampa
1984-85,B. Benton,Alfred Lee Benton,Alfred,Benton,C,D,D,1,USA,Florida,Tampa
1969-70,F. Rico,Alfredo Rico Cruz,Alfredo,Rico,IF,D,D,1,USA,Arizona,Jerome
2003-04,A. Levrault,Allen Levrault,Allen,Levrault,P,D,D,3,USA,Massachusetts,Fall River
2002-03,A. Levrault,Allen Levrault,Allen,Levrault,P,D,D,2,USA,Massachusetts,Fall River
2000-01,A. Levrault,Allen Levrault,Allen,Levrault,P,D,D,1,USA,Massachusetts,Fall River
1978-79,A. Bumbry,Alonza Benjamin Bumbry,Alonza,Bumbry,CF,Z,D,4,USA,Virginia,Fredericksburg
1974-75,A. Bumbry,Alonza Benjamin Bumbry,Alonza,Bumbry,CF,Z,D,3,USA,Virginia,Fredericksburg
