"N","Player Id","Temporada","Fecha","Juego","Equipo","orden","Jugador","IP","H","C","CL","HR","BB","SO","BF","EFE","G","P","SV","BS","HLD","Estadio","oponente","ronda","game_pk","day_nigth"
325,,"2021-22","27/11/2021",29,"Tigres de Aragua",1,"Alexis Candelario",2,0,0,0,0,1,2,7,8.44,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
326,,"2021-22","27/11/2021",29,"Tigres de Aragua",2,"Osmer Morales",2.2,4,3,1,0,2,0,13,11.37,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
327,,"2021-22","27/11/2021",29,"Tigres de Aragua",3,"Carlos Zamora ",0.1,2,1,0,0,0,0,2,1.8,0,0,0,1,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
328,,"2021-22","27/11/2021",29,"Tigres de Aragua",4,"Ismael Guillón",0.1,3,3,2,0,0,0,4,9.95,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
329,,"2021-22","27/11/2021",29,"Tigres de Aragua",5,"Jesus Sanchez",1.1,1,0,0,0,0,0,5,7.47,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
330,,"2021-22","27/11/2021",29,"Tigres de Aragua",6,"Dennis Herrera",0.1,0,0,0,0,0,0,1,6.75,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
331,,"2021-22","27/11/2021",29,"Tigres de Aragua",7,"Leonel Campos ",1,0,0,0,0,0,0,3,4.66,1,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
332,,"2021-22","27/11/2021",29,"Tigres de Aragua",8,"Henry Alberto Rodriguez ",0.2,0,0,0,0,2,1,4,0.71,0,0,0,0,1,"Estadio Universitario","Tiburones de la Guaira","regular",,
333,,"2021-22","27/11/2021",29,"Tigres de Aragua",9,"Geoff Broussard ",0.1,0,0,0,0,0,0,1,3,0,0,1,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
334,"infgre001","2021-22","27/11/2021",29,"Tiburones de la Guaira",1,"Gregory Infante",2.1,2,1,1,0,0,1,10,9.28,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",,
335,"acoald001","2021-22","27/11/2021",29,"Tiburones de la Guaira",2,"Aldry Acosta",1.2,2,1,1,0,1,0,8,3.95,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",,
336,"hernel001","2021-22","27/11/2021",29,"Tiburones de la Guaira",3,"Nelson Hernandez",1.1,3,0,0,0,0,1,6,5.59,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",,
337,"guzlui001","2021-22","27/11/2021",29,"Tiburones de la Guaira",4,"Luis Guzman ",0.2,1,1,1,0,0,0,3,4.35,0,0,0,0,1,"Estadio Universitario","Tigres de Aragua","regular",,
338,"jimedu001","2021-22","27/11/2021",29,"Tiburones de la Guaira",5,"Eduardo Jiménez",1,1,0,0,0,0,2,4,7.36,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",,
339,"paleug001","2021-22","27/11/2021",29,"Tiburones de la Guaira",6,"Eugenio Palma",1,1,0,0,0,0,1,4,3.6,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",,
340,"pinjul001","2021-22","27/11/2021",29,"Tiburones de la Guaira",7,"Julio Pinto",0.1,1,2,2,0,1,1,3,6.75,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",,
341,"idreud001","2021-22","27/11/2021",29,"Tiburones de la Guaira",8,"Eudis Idrogo ",0,2,3,3,0,0,0,3,9.77,0,1,0,0,0,"Estadio Universitario","Tigres de Aragua","regular",,
342,"herarn001","2021-22","27/11/2021",29,"Tiburones de la Guaira",9,"Arnaldo Hernandez ",0.2,1,0,0,0,2,0,5,5.56,0,0,0,1,0,"Estadio Universitario","Tigres de Aragua","regular",,
343,,"2021-22","28/11/2021",30,"Tigres de Aragua",1,"Angel Padron",3.2,4,3,2,0,3,2,18,2.95,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
344,,"2021-22","28/11/2021",30,"Tigres de Aragua",2,"Ramon Garcia",2.1,1,0,0,0,0,1,8,3.91,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
345,,"2021-22","28/11/2021",30,"Tigres de Aragua",3,"Francisco Carrillo",1,0,0,0,0,0,1,3,3.24,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
346,,"2021-22","28/11/2021",30,"Tigres de Aragua",4,"Leonel Campos",0.2,0,0,0,0,1,1,3,4.35,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
347,,"2021-22","28/11/2021",30,"Tigres de Aragua",5,"Ismael Guillón",0.1,0,0,0,0,0,0,1,9.45,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
348,,"2021-22","28/11/2021",30,"Tigres de Aragua",6,"Ronald Belisario ",2,2,0,0,0,2,1,10,5.79,1,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
349,"guejun001","2021-22","28/11/2021",30,"Tiburones de la Guaira",1,"Junior Guerra",7,8,2,2,1,2,6,29,3.3,0,0,0,0,0,"Estadio Forum de La Guaira","Tigres de Aragua","regular",,
350,"diavic001","2021-22","28/11/2021",30,"Tiburones de la Guaira",2,"Victor Diaz ",0.2,1,1,1,0,1,2,4,5.49,0,0,0,1,0,"Estadio Forum de La Guaira","Tigres de Aragua","regular",,
351,"paleug001","2021-22","28/11/2021",30,"Tiburones de la Guaira",3,"Eugenio Palma",1,0,0,0,0,0,1,3,3.27,0,0,0,0,0,"Estadio Forum de La Guaira","Tigres de Aragua","regular",,
352,"cavjor001","2021-22","28/11/2021",30,"Tiburones de la Guaira",4,"Jorgan Cavanerio ",0.2,3,2,1,0,2,0,7,3.23,0,1,0,0,0,"Estadio Forum de La Guaira","Tigres de Aragua","regular",,
353,"pinjul001","2021-22","28/11/2021",30,"Tiburones de la Guaira",5,"Julio Pinto",0.2,0,0,0,0,0,0,1,6.3,0,0,0,0,0,"Estadio Forum de La Guaira","Tigres de Aragua","regular",,
354,"cavjor001","2021-22","30/11/2021",31,"Tiburones de la Guaira",1,"Jorgan Cavanerio ",6,7,3,1,1,0,4,27,2.95,1,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",,
355,"herarn001","2021-22","30/11/2021",31,"Tiburones de la Guaira",2,"Arnaldo Hernandez ",1,0,0,0,0,0,1,3,5.11,0,0,0,0,1,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",,
356,"pinjul001","2021-22","30/11/2021",31,"Tiburones de la Guaira",3,"Julio Pinto ",0.1,0,0,0,0,1,0,3,6.1,0,0,0,0,1,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",,
357,"guzlui001","2021-22","30/11/2021",31,"Tiburones de la Guaira",4,"Luis Guzman ",0.2,0,0,0,0,0,0,1,4.09,0,0,0,0,1,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",,
358,"infgre001","2021-22","30/11/2021",31,"Tiburones de la Guaira",5,"Gregory Infante ",1,1,0,0,0,1,1,5,8.49,0,0,1,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",,
359,,"2021-22","30/11/2021",31,"Tigres de Aragua",1,"Osmer Morales",4,6,2,2,0,0,2,18,9.72,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de la Guaira","regular",,
360,,"2021-22","30/11/2021",31,"Tigres de Aragua",2,"Francisco Carrillo",2,3,1,1,0,0,0,8,3.38,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de la Guaira","regular",,
361,,"2021-22","30/11/2021",31,"Tigres de Aragua",3,"Leonel Campos ",0.1,1,1,1,0,1,0,3,5.06,0,1,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de la Guaira","regular",,
362,,"2021-22","30/11/2021",31,"Tigres de Aragua",4,"Ismael Guillón",0.2,0,0,0,0,0,0,1,8.59,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de la Guaira","regular",,
363,,"2021-22","30/11/2021",31,"Tigres de Aragua",5,"Geoff Broussard",1,0,0,0,0,0,2,3,2.81,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de la Guaira","regular",,
364,,"2021-22","30/11/2021",31,"Tigres de Aragua",6,"Henry Alberto Rodriguez",1,1,1,1,0,0,0,4,1.32,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tiburones de la Guaira","regular",,
365,,"2021-22","02/12/2021",32,"Leones del Caracas",1,"Jhonathan Diaz",4,4,2,2,0,2,4,18,11.37,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
366,,"2021-22","02/12/2021",32,"Leones del Caracas",2,"Gerson Garabito",1,1,0,0,0,0,0,4,0,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
367,,"2021-22","02/12/2021",32,"Leones del Caracas",3,"Ricardo Rodríguez ",1,0,0,0,0,0,0,3,9,1,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
368,,"2021-22","02/12/2021",32,"Leones del Caracas",4,"Eduardo Paredes",1,0,0,0,0,0,1,3,3.38,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
369,,"2021-22","02/12/2021",32,"Leones del Caracas",5,"Jesus Zambrano",1,0,0,0,0,1,1,4,1.93,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
370,,"2021-22","02/12/2021",32,"Leones del Caracas",6,"Loiger Padron",0,3,2,2,0,0,0,3,10.67,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
371,,"2021-22","02/12/2021",32,"Leones del Caracas",7,"José Torres",1,1,0,0,0,0,3,4,4.11,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
372,"diavic001","2021-22","02/12/2021",32,"Tiburones de la Guaira",1,"Victor Diaz ",2,5,4,4,1,3,2,14,6.65,0,1,0,0,0,"Estadio Forum de La Guaira","Leones del Caracas","regular",,
373,"medhen001","2021-22","02/12/2021",32,"Tiburones de la Guaira",2,"Henry Medina",0.1,2,3,3,1,1,1,4,40.5,0,0,0,0,0,"Estadio Forum de La Guaira","Leones del Caracas","regular",,
374,"beljoh001","2021-22","02/12/2021",32,"Tiburones de la Guaira",3,"Johan Belisario",2,3,0,0,0,0,1,9,2.89,0,0,0,0,0,"Estadio Forum de La Guaira","Leones del Caracas","regular",,
375,"guzemi001","2021-22","02/12/2021",32,"Tiburones de la Guaira",4,"Emilker Guzman",1.2,0,0,0,0,0,1,5,3,0,0,0,0,0,"Estadio Forum de La Guaira","Leones del Caracas","regular",,
376,"jimedu001","2021-22","02/12/2021",32,"Tiburones de la Guaira",5,"Eduardo Jiménez",1,0,0,0,0,0,2,3,6.48,0,0,0,0,0,"Estadio Forum de La Guaira","Leones del Caracas","regular",,
377,"covraf001","2021-22","02/12/2021",32,"Tiburones de la Guaira",6,"Rafael Cova",1,0,0,0,0,0,1,3,4.5,0,0,0,0,0,"Estadio Forum de La Guaira","Leones del Caracas","regular",,
378,"pinjul001","2021-22","02/12/2021",32,"Tiburones de la Guaira",7,"Julio Pinto",1,2,2,2,1,1,1,6,7.15,0,0,0,0,0,"Estadio Forum de La Guaira","Leones del Caracas","regular",,
379,"guejun001","2021-22","02/12/2021",33,"Tiburones de la Guaira",1,"Junior Guerra ",8,5,1,1,0,1,8,31,2.84,0,1,0,0,0,"Estadio Universitario","Caribes de Anzoategui","regular",,
380,,"2021-22","02/12/2021",33,"Leones del Caracas",1,"Ronald Herrera",5,4,0,0,0,1,2,18,3.79,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
381,,"2021-22","02/12/2021",33,"Leones del Caracas",2,"Jefry Valdez ",3,0,0,0,0,1,1,10,13.5,1,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
382,,"2021-22","02/12/2021",33,"Leones del Caracas",3,"Jesus Zambrano ",1,0,0,0,0,0,1,3,1.83,0,0,1,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
383,,"2021-22","04/12/2021",34,"Caribes de Anzoategui",1,"Liarvis Breto ",5.2,7,6,6,0,2,2,26,5.76,1,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
384,,"2021-22","04/12/2021",34,"Caribes de Anzoategui",2,"José Domínguez ",0.1,2,0,0,0,0,0,3,6.92,0,0,0,0,1,"Estadio Universitario","Tiburones de la Guaira","regular",,
385,,"2021-22","04/12/2021",34,"Caribes de Anzoategui",3,"Yeizo Campos",0.1,3,2,2,0,1,0,5,3.75,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
386,,"2021-22","04/12/2021",34,"Caribes de Anzoategui",4,"Andres Sotillet ",0.2,0,0,0,0,0,2,3,2.2,0,0,1,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
387,"herarn001","2021-22","04/12/2021",34,"Tiburones de la Guaira",1,"Arnaldo Hernandez ",0.2,5,4,4,0,0,0,7,7.62,0,1,0,0,0,"Estadio Universitario","Caribes de Anzoategui","regular",,
388,"ramedu001","2021-22","04/12/2021",34,"Tiburones de la Guaira",2,"Edubray Ramos",2.1,2,1,1,0,1,2,9,9.45,0,0,0,0,0,"Estadio Universitario","Caribes de Anzoategui","regular",,
389,"jimedu001","2021-22","04/12/2021",34,"Tiburones de la Guaira",3,"Eduardo Jiménez",1.1,1,2,2,0,1,0,6,7.45,0,0,0,0,0,"Estadio Universitario","Caribes de Anzoategui","regular",,
390,"guzemi001","2021-22","04/12/2021",34,"Tiburones de la Guaira",4,"Emilker Guzman",1.1,3,1,1,0,2,0,9,3.68,0,0,0,0,0,"Estadio Universitario","Caribes de Anzoategui","regular",,
391,"lezang001","2021-22","04/12/2021",34,"Tiburones de la Guaira",5,"Angel Lezama",0.2,1,2,2,0,1,1,5,27,0,0,0,0,0,"Estadio Universitario","Caribes de Anzoategui","regular",,
392,"guzlui001","2021-22","04/12/2021",34,"Tiburones de la Guaira",6,"Luis Guzman",0.1,2,1,1,0,0,0,3,4.76,0,0,0,0,0,"Estadio Universitario","Caribes de Anzoategui","regular",,
393,"pinjul001","2021-22","04/12/2021",34,"Tiburones de la Guaira",7,"Julio Pinto",0.1,1,0,0,0,0,0,1,6.94,0,0,0,0,0,"Estadio Universitario","Caribes de Anzoategui","regular",,
394,,"2021-22","04/12/2021",35,"Caribes de Anzoategui",1,"Jesus Paricaguan",1.1,3,2,2,0,1,0,7,7.71,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
395,,"2021-22","04/12/2021",35,"Caribes de Anzoategui",2,"Jean Toledo",0.2,1,0,0,0,0,0,3,4.5,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
396,,"2021-22","04/12/2021",35,"Caribes de Anzoategui",3,"Freddy Pacheco ",0.1,1,1,1,0,1,0,3,16.2,0,0,0,1,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
397,,"2021-22","04/12/2021",35,"Caribes de Anzoategui",4,"Ivan Medina ",1.2,3,3,1,0,1,2,10,7.88,0,1,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
398,,"2021-22","04/12/2021",35,"Caribes de Anzoategui",5,"Oddanier Mosqueda",1,0,0,0,0,0,0,3,10.5,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
399,,"2021-22","04/12/2021",35,"Caribes de Anzoategui",6,"Jose Ascanio",1,0,0,0,0,1,1,4,3.38,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
400,"idreud001","2021-22","04/12/2021",35,"Tiburones de la Guaira",1,"Eudis Idrogo",2.1,4,3,3,0,2,1,12,10,0,0,0,0,0,"Estadio Universitario","Caribes de Anzoategui","regular",,
401,"smimyl001","2021-22","04/12/2021",35,"Tiburones de la Guaira",2,"Myles Smith ",1.2,0,0,0,0,1,1,6,6.62,1,0,0,0,0,"Estadio Universitario","Caribes de Anzoategui","regular",,
402,"paleug001","2021-22","04/12/2021",35,"Tiburones de la Guaira",3,"Eugenio Palma ",1,0,0,0,0,0,0,3,3,0,0,0,0,1,"Estadio Universitario","Caribes de Anzoategui","regular",,
403,"covraf001","2021-22","04/12/2021",35,"Tiburones de la Guaira",4,"Rafael Cova ",0.2,2,1,1,0,1,1,6,5.19,0,0,0,0,1,"Estadio Universitario","Caribes de Anzoategui","regular",,
404,"infgre001","2021-22","04/12/2021",35,"Tiburones de la Guaira",5,"Gregory Infante ",1.1,0,0,0,0,0,1,4,7.62,0,0,1,0,0,"Estadio Universitario","Caribes de Anzoategui","regular",,
405,"cavjor001","2021-22","05/12/2021",36,"Tiburones de la Guaira",1,"Jorgan Cavanerio ",5.1,7,6,6,1,1,1,24,3.86,0,1,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
406,"jimedu001","2021-22","05/12/2021",36,"Tiburones de la Guaira",2,"Eduardo Jiménez",0,2,0,0,0,1,0,3,7.45,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
407,"florya001","2021-22","05/12/2021",36,"Tiburones de la Guaira",3,"Ryan Flores",1,2,2,2,0,0,1,5,5.65,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
408,"paleug001","2021-22","05/12/2021",36,"Tiburones de la Guaira",4,"Eugenio Palma",0.1,2,2,2,0,1,0,4,4.38,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
409,"guzemi001","2021-22","05/12/2021",36,"Tiburones de la Guaira",5,"Emilker Guzman",0.2,2,2,0,0,0,0,6,3.38,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
410,"ramedu001","2021-22","05/12/2021",36,"Tiburones de la Guaira",6,"Edubray Ramos",0.2,0,0,0,0,0,0,2,8.59,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
411,,"2021-22","05/12/2021",36,"Navegantes del Magallanes",1,"Erick Leal ",6,3,1,1,1,1,3,21,4.12,1,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
412,,"2021-22","05/12/2021",36,"Navegantes del Magallanes",2,"Arcenio Leon",0.1,2,3,3,0,1,0,4,8.64,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
413,,"2021-22","05/12/2021",36,"Navegantes del Magallanes",3,"Anthony Vizcaya ",0.2,1,0,0,0,0,0,3,2.4,0,0,0,0,1,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
414,,"2021-22","05/12/2021",36,"Navegantes del Magallanes",4,"Wilking Rodriguez",1,1,0,0,0,0,2,4,4.32,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
415,,"2021-22","05/12/2021",36,"Navegantes del Magallanes",5,"Gabriel Moya",0.2,1,0,0,0,0,0,3,12.91,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
416,,"2021-22","05/12/2021",36,"Navegantes del Magallanes",6,"Jorge Rondon",0.1,1,0,0,0,0,0,2,7.98,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
417,,"2021-22","07/12/2021",37,"Leones del Caracas",1,"Jhonathan Diaz",4.1,5,2,2,0,2,1,18,8.44,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
418,,"2021-22","07/12/2021",37,"Leones del Caracas",2,"Andres E. Perez",0.2,1,0,0,0,1,0,3,8.74,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
419,,"2021-22","07/12/2021",37,"Leones del Caracas",3,"Felix Carvallo ",1,0,0,0,0,0,2,3,5,1,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
420,,"2021-22","07/12/2021",37,"Leones del Caracas",4,"Ricardo Rodríguez ",1,1,0,0,0,1,1,5,6,0,0,0,0,1,"Estadio Universitario","Tiburones de la Guaira","regular",,
421,,"2021-22","07/12/2021",37,"Leones del Caracas",5,"Eduardo Paredes ",1,0,0,0,0,1,2,4,3.5,0,0,0,0,1,"Estadio Universitario","Tiburones de la Guaira","regular",,
422,,"2021-22","07/12/2021",37,"Leones del Caracas",6,"Jesus Zambrano ",1,2,1,1,0,0,0,5,2.08,0,0,1,0,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
423,"diavic001","2021-22","07/12/2021",37,"Tiburones de la Guaira",1,"Victor Diaz ",3,6,3,3,0,3,2,16,6.93,0,1,0,0,0,"Estadio Universitario","Leones del Caracas","regular",,
424,"smimyl001","2021-22","07/12/2021",37,"Tiburones de la Guaira",2,"Myles Smith",2,3,0,0,0,1,1,8,5.95,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",,
425,"herarn001","2021-22","07/12/2021",37,"Tiburones de la Guaira",3,"Arnaldo Hernandez",1,0,0,0,0,1,2,4,7.07,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",,
426,"halkyl001","2021-22","07/12/2021",37,"Tiburones de la Guaira",4,"Kyle Halbohn",1,1,0,0,0,0,0,5,0,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",,
427,"covraf001","2021-22","07/12/2021",37,"Tiburones de la Guaira",5,"Rafael Cova",1,1,0,0,0,2,1,6,4.66,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",,
428,"infgre001","2021-22","07/12/2021",37,"Tiburones de la Guaira",6,"Gregory Infante",1,2,2,2,1,1,1,6,8.36,0,0,0,0,0,"Estadio Universitario","Leones del Caracas","regular",,
429,"guejun001","2021-22","09/12/2021",38,"Tiburones de la Guaira",1,"Junior Guerra ",4.1,14,10,10,3,0,2,26,4.68,0,1,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
430,"florya001","2021-22","09/12/2021",38,"Tiburones de la Guaira",2,"Ryan Flores",1.1,1,1,1,0,1,2,6,5.7,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
431,"guzlui001","2021-22","09/12/2021",38,"Tiburones de la Guaira",3,"Luis Guzman",0.1,0,0,0,0,1,0,2,4.63,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
432,"halkyl001","2021-22","09/12/2021",38,"Tiburones de la Guaira",4,"Kyle Halbohn",1,1,0,0,0,0,0,4,0,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
433,"pinjul001","2021-22","09/12/2021",38,"Tiburones de la Guaira",5,"Julio Pinto",1,1,0,0,0,0,1,4,6.39,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
434,,"2021-22","09/12/2021",38,"Navegantes del Magallanes",1,"Jorge Martinez",3,4,4,4,2,1,2,13,7.36,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
435,,"2021-22","09/12/2021",38,"Navegantes del Magallanes",2,"Wikelman Ramirez",0.1,1,3,3,0,2,0,4,7.94,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
436,,"2021-22","09/12/2021",38,"Navegantes del Magallanes",3,"Ivan Andueza ",0.1,0,0,0,0,2,0,3,7.36,0,0,0,1,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
437,,"2021-22","09/12/2021",38,"Navegantes del Magallanes",4,"Luis Martinez ",1.1,0,0,0,0,2,1,6,4.58,1,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
438,,"2021-22","09/12/2021",38,"Navegantes del Magallanes",5,"Gabriel Moya ",0.2,1,0,0,0,0,1,3,11.88,0,0,0,0,1,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
439,,"2021-22","09/12/2021",38,"Navegantes del Magallanes",6,"Jorge Rondon ",0.1,0,0,0,0,1,0,2,7.8,0,0,0,0,1,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
440,,"2021-22","09/12/2021",38,"Navegantes del Magallanes",7,"Anthony Vizcaya",1,1,0,0,0,0,2,4,2.16,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
441,,"2021-22","09/12/2021",38,"Navegantes del Magallanes",8,"Enderson Franco",2,0,0,0,0,0,1,6,0,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
442,"cavjor001","2021-22","10/12/2021",39,"Tiburones de la Guaira",1,"Jorgan Cavanerio",6,8,2,2,0,0,3,25,3.75,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
443,"halkyl001","2021-22","10/12/2021",39,"Tiburones de la Guaira",2,"Kyle Halbohn ",1,1,0,0,0,0,0,4,0,0,0,0,0,1,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
444,"covraf001","2021-22","10/12/2021",39,"Tiburones de la Guaira",3,"Rafael Cova ",0.1,4,5,5,0,1,0,6,9,0,1,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
445,"infgre001","2021-22","10/12/2021",39,"Tiburones de la Guaira",4,"Gregory Infante",0,1,1,1,0,2,0,3,9,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
446,"jimedu001","2021-22","10/12/2021",39,"Tiburones de la Guaira",5,"Eduardo Jiménez",0.2,0,0,0,0,0,0,2,6.97,0,0,0,0,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
447,,"2021-22","10/12/2021",39,"Leones del Caracas",1,"José Mujica",6,8,3,3,1,0,4,25,4.5,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
448,,"2021-22","10/12/2022",39,"Leones del Caracas",2,"Loiger Padron ",2,1,1,1,1,1,0,8,9.92,1,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
449,,"2021-22","10/12/2021",39,"Leones del Caracas",3,"Jesus Zambrano",1,1,0,0,0,0,0,4,1.9,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
450,"herarn001","2021-22","11/12/2021",40,"Tiburones de la Guaira",1,"Arnaldo Hernandez",3.2,3,2,2,0,0,4,15,6.62,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",,
451,"idreud001","2021-22","11/12/2021",40,"Tiburones de la Guaira",2,"Eudis Idrogo",0.1,1,0,0,0,0,0,2,9.82,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",,
452,"guzemi001","2021-22","11/12/2021",40,"Tiburones de la Guaira",3,"Emilker Guzman",1,0,0,0,0,0,2,3,3,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",,
453,"paleug001","2021-22","11/12/2021",40,"Tiburones de la Guaira",4,"Eugenio Palma",1.1,1,1,1,1,0,1,5,4.61,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",,
454,"beljoh001","2021-22","11/12/2021",40,"Tiburones de la Guaira",5,"Johan Belisario",0.2,0,0,0,0,0,0,2,2.7,0,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",,
455,"ramedu001","2021-22","11/12/2021",40,"Tiburones de la Guaira",6,"Edubray Ramos ",1,1,0,0,0,0,0,4,7.56,1,0,0,0,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",,
