"N","Player id","Temporada","Fecha","Juego","Equipo","Posicion","Orden_bat","Jugador","AB","R","H","2B","3B","HR","RBI","BB","SO","LOB","AVE","Estadio","oponente"
31,"ferjua001","2021-22","24/10/2021",2,"Tiburones de la Guaira","C",9,"Juan Fernandez ",4,3,2,1,0,1,2,0,1,2,0.5,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
32,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","LF",1,"Carlos Mendoza ",3,2,2,2,0,0,0,2,0,2,0.5,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
33,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","3B-1B",2,"Niuman Romero ",4,0,1,0,0,0,1,1,1,3,0.333,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
34,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","SS",3,"Luis Sardinas ",3,0,0,0,0,0,2,0,0,3,0.25,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
35,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","RF",4,"Oswaldo Arcia ",4,0,0,0,0,0,0,0,1,2,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
36,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","1B",5,"Balbino Fuenmayor ",4,0,2,0,0,0,0,0,0,0,0.375,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
37,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","PR-2B",,"Cristhian Pedroza ",0,0,0,0,0,0,0,0,0,0,0.333,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
38,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","C",6,"Tomás Telis ",4,0,1,0,0,0,0,0,0,2,0.333,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
39,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","DH",7,"Jesús Sucre ",3,0,0,0,0,0,0,1,3,2,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
40,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","CF",8,"Herlis Rodriguez ",3,1,0,0,0,0,0,0,0,4,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
41,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","2B-3B",9,"Roberto Chirinos ",4,1,2,0,0,0,0,0,0,3,0.6,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
553,"cedlor001","2021-22","25/11/2021",27,"Tiburones de la Guaira","RF",1,"Lorenzo Cedrola ",4,1,3,0,0,0,1,2,0,2,0.3,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
554,"vasdan001","2021-22","25/11/2021",27,"Tiburones de la Guaira","DH",2,"Danry Vasquez ",4,1,1,0,0,0,0,2,0,4,0.274,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
555,"marteo001","2021-22","25/11/2021",27,"Tiburones de la Guaira","LF",3,"Teodoro Martinez ",4,0,1,0,0,0,2,1,0,2,0.32,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
556,"lujjes001","2021-22","25/11/2021",27,"Tiburones de la Guaira","LF",,"Jesus Lujano ",1,0,0,0,0,0,0,0,0,0,0.261,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
557,"avilu001","2021-22","25/11/2021",27,"Tiburones de la Guaira","3B",4,"Luis Aviles Jr",6,1,2,0,0,0,1,0,3,4,0.277,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
558,"sosjun001","2021-22","25/11/2021",27,"Tiburones de la Guaira","CF",5,"Junior Sosa ",3,2,1,1,0,0,1,2,1,2,0.25,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
559,"maydan001","2021-22","25/11/2021",27,"Tiburones de la Guaira","1B",6,"Daniel Mayora ",5,2,3,1,0,0,0,0,1,0,0.304,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
560,"duredg001","2021-22","25/11/2021",27,"Tiburones de la Guaira","2B",7,"Edgar Duran ",4,0,0,0,0,0,1,1,2,4,0.219,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
561,"genric001","2021-22","25/11/2021",27,"Tiburones de la Guaira","C",8,"Ricardo Genovés ",4,1,1,0,0,1,2,1,1,2,0.26,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
562,"garmai002","2021-22","25/11/2021",27,"Tiburones de la Guaira","SS",9,"Maikel Garcia ",4,1,2,0,0,0,1,0,0,0,0.277,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
563,,"2021-22","25/11/2021",27,"Caribes de Anzoategui","CF",1,"Herlis Rodriguez ",5,1,0,0,0,0,1,0,2,3,0.283,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
564,,"2021-22","25/11/2021",27,"Caribes de Anzoategui","C",2,"Tomás Telis ",4,0,1,1,0,0,1,1,1,0,0.43,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
565,,"2021-22","25/11/2021",27,"Caribes de Anzoategui","PR",,"Carlos Mendoza ",0,0,0,0,0,0,0,0,0,0,0.174,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
566,,"2021-22","25/11/2021",27,"Caribes de Anzoategui","C",,"Jesús Sucre ",1,0,1,0,0,0,1,0,0,0,0.25,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
567,,"2021-22","25/11/2021",27,"Caribes de Anzoategui","3B",3,"Niuman Romero ",5,1,2,0,0,0,1,0,1,1,0.392,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
568,,"2021-22","25/11/2021",27,"Caribes de Anzoategui","LF",4,"Willians Astudillo ",4,0,1,0,0,0,2,0,0,0,0.304,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
569,,"2021-22","25/11/2021",27,"Caribes de Anzoategui","1B",5,"Balbino Fuenmayor ",4,2,3,1,0,1,1,1,0,0,0.4,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
570,,"2021-22","25/11/2021",27,"Caribes de Anzoategui","SS",6,"Luis Sardinas ",5,1,2,0,0,0,0,0,1,5,0.241,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
571,,"2021-22","25/11/2021",27,"Caribes de Anzoategui","DH",7,"Jose Lopez ",5,1,2,1,0,0,2,0,0,1,0.25,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
572,,"2021-22","25/11/2021",27,"Caribes de Anzoategui","PR-DH",,"Roberto Chirinos ",0,0,0,0,0,0,0,0,0,0,0.279,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
573,,"2021-22","25/11/2021",27,"Caribes de Anzoategui","RF",8,"Oswaldo Arcia ",3,3,2,0,0,1,1,2,1,0,0.188,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
574,,"2021-22","25/11/2021",27,"Caribes de Anzoategui","2B",9,"Heiker Meneses ",4,1,0,0,0,0,0,1,0,3,0.197,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
575,"cedlor001","2021-22","26/11/2021",28,"Tiburones de la Guaira","RF",1,"Lorenzo Cedrola ",5,1,1,0,0,0,0,0,1,3,0.289,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
576,"vasdan001","2021-22","26/11/2021",28,"Tiburones de la Guaira","DH",2,"Danry Vasquez ",4,1,0,0,0,0,0,1,1,2,0.263,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
577,"marteo001","2021-22","26/11/2021",28,"Tiburones de la Guaira","LF",3,"Teodoro Martinez ",4,0,0,0,0,0,0,1,0,1,0.304,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
578,"avilu001","2021-22","26/11/2021",28,"Tiburones de la Guaira","3B",4,"Luis Aviles Jr",4,1,0,0,0,0,0,0,0,3,0.265,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
579,"sosjun001","2021-22","26/11/2021",28,"Tiburones de la Guaira","CF",5,"Junior Sosa ",4,1,2,1,0,0,1,0,2,0,0.261,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
580,"maydan001","2021-22","26/11/2021",28,"Tiburones de la Guaira","1B",6,"Daniel Mayora ",3,1,2,1,0,0,2,1,1,0,0.317,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
581,"duredg001","2021-22","26/11/2021",28,"Tiburones de la Guaira","2B",7,"Edgar Duran ",3,0,0,0,0,0,0,0,0,4,0.2,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
582,"perjai001","2021-22","26/11/2021",28,"Tiburones de la Guaira","PH",,"Jairo Perez ",1,0,0,0,0,0,0,0,0,0,0.32,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
583,"rodkey001","2021-22","26/11/2021",28,"Tiburones de la Guaira","PR-2B",,"Keyber Rodriguez ",0,0,0,0,0,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
584,"genric001","2021-22","26/11/2021",28,"Tiburones de la Guaira","C",8,"Ricardo Genovés ",3,0,0,0,0,0,0,1,1,1,0.245,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
585,"garmai002","2021-22","26/11/2021",28,"Tiburones de la Guaira","SS",9,"Maikel Garcia ",4,0,1,0,0,0,0,0,1,1,0.275,"Estadio Alfonso Carrasquel","Caribes de Anzoategui"
586,,"2021-22","26/11/2021",28,"Caribes de Anzoategui","CF",1,"Herlis Rodriguez ",4,3,4,1,0,0,0,0,0,0,0.309,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
587,,"2021-22","26/11/2021",28,"Caribes de Anzoategui","C",2,"Tomás Telis ",3,1,0,0,0,0,0,1,2,3,0.418,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
588,,"2021-22","26/11/2021",28,"Caribes de Anzoategui","3B",3,"Niuman Romero ",2,1,1,0,0,1,3,1,1,0,0.394,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
589,,"2021-22","26/11/2021",28,"Caribes de Anzoategui","LF",4,"Willians Astudillo ",4,0,0,0,0,0,0,0,1,2,0.28,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
590,,"2021-22","26/11/2021",28,"Caribes de Anzoategui","1B",5,"Balbino Fuenmayor ",4,1,1,0,0,0,0,0,2,1,0.394,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
591,,"2021-22","26/11/2021",28,"Caribes de Anzoategui","RF",6,"Oswaldo Arcia ",2,0,1,1,0,0,2,1,1,1,0.2,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
592,,"2021-22","26/11/2021",28,"Caribes de Anzoategui","DH",7,"Jose Lopez ",3,0,1,0,0,0,0,1,1,2,0.255,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
593,,"2021-22","26/11/2021",28,"Caribes de Anzoategui","PR-DH",,"Roberto Chirinos ",0,0,0,0,0,0,0,0,0,0,0.279,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
594,,"2021-22","26/11/2021",28,"Caribes de Anzoategui","2B",8,"Asdrúbal Cabrera ",4,0,0,0,0,0,0,0,1,4,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
595,,"2021-22","26/11/2021",28,"Caribes de Anzoategui","SS",9,"Heiker Meneses ",4,0,1,0,0,0,0,0,1,1,0.2,"Estadio Alfonso Carrasquel","Tiburones de la Guaira"
262,"sosjun001","2021-22","07/11/2021",13,"Tiburones de la Guaira","CF",1,"Junior Sosa ",5,1,1,0,0,0,0,0,1,1,0.326,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
