"N","Player id","Temporada","Fecha","Juego","Equipo","Posicion","Orden_bat","Jugador","AB","R","H","2B","3B","HR","RBI","BB","SO","LOB","AVE","Estadio","oponente"
84,,"2021-22","29/10/2021",5,"Bravos de Margarita","RF",3,"Diego Rincones ",3,1,0,0,0,0,1,0,0,2,0.333,"Estadio Forum de La Guaira","Tiburones de la Guaira"
85,,"2021-22","29/10/2021",5,"Bravos de Margarita","C-1B",4,"David Rodríguez ",3,1,1,0,0,0,1,2,0,1,0.35,"Estadio Forum de La Guaira","Tiburones de la Guaira"
86,,"2021-22","29/10/2021",5,"Bravos de Margarita","DH",5,"Dennis Ortega ",4,1,1,0,0,0,2,0,1,1,0.25,"Estadio Forum de La Guaira","Tiburones de la Guaira"
87,,"2021-22","29/10/2021",5,"Bravos de Margarita","PH-DH",,"Andres Regnault ",0,0,0,0,0,0,1,1,0,0,0.2,"Estadio Forum de La Guaira","Tiburones de la Guaira"
88,,"2021-22","29/10/2021",5,"Bravos de Margarita","LF",6,"Frank Diaz ",4,2,2,0,0,0,0,0,0,2,0.333,"Estadio Forum de La Guaira","Tiburones de la Guaira"
89,,"2021-22","29/10/2021",5,"Bravos de Margarita","PH-LF",,"Omar Carrizales ",1,0,0,0,0,0,0,0,0,3,0,"Estadio Forum de La Guaira","Tiburones de la Guaira"
90,,"2021-22","29/10/2021",5,"Bravos de Margarita","C",,"Jason Lopez ",0,0,0,0,0,0,0,0,0,0,0.333,"Estadio Forum de La Guaira","Tiburones de la Guaira"
91,,"2021-22","29/10/2021",5,"Bravos de Margarita","1B-LF",7,"Tomas Morales ",5,1,1,0,0,0,2,0,1,2,0.429,"Estadio Forum de La Guaira","Tiburones de la Guaira"
92,,"2021-22","29/10/2021",5,"Bravos de Margarita","SS",8,"Jose Martinez ",4,1,3,0,0,0,1,1,0,1,0.444,"Estadio Forum de La Guaira","Tiburones de la Guaira"
93,,"2021-22","29/10/2021",5,"Bravos de Margarita","3B",9,"Erick Salcedo ",2,0,0,0,0,0,0,0,0,1,0,"Estadio Forum de La Guaira","Tiburones de la Guaira"
94,,"2021-22","29/10/2021",5,"Bravos de Margarita","PH-3B",,"Luis Castro ",3,0,0,0,0,0,0,0,1,5,0,"Estadio Forum de La Guaira","Tiburones de la Guaira"
95,"sosjun001","2021-22","29/10/2021",5,"Tiburones de la Guaira","CF",1,"Junior Sosa ",4,2,2,0,0,2,2,0,1,2,0.294,"Estadio Forum de La Guaira","Bravos de Margarita"
96,"lujjes001","2021-22","29/10/2021",5,"Tiburones de la Guaira","PH",,"Jesus Lujano ",1,0,1,0,0,0,0,0,0,0,0.667,"Estadio Forum de La Guaira","Bravos de Margarita"
97,"marteo001","2021-22","29/10/2021",5,"Tiburones de la Guaira","LF",2,"Teodoro Martinez ",3,1,2,0,0,0,0,1,0,0,0.4,"Estadio Forum de La Guaira","Bravos de Margarita"
98,"ferjua001","2021-22","29/10/2021",5,"Tiburones de la Guaira","C",,"Juan Fernandez ",1,0,1,0,0,0,0,0,0,0,0.6,"Estadio Forum de La Guaira","Bravos de Margarita"
99,"vasdan001","2021-22","29/10/2021",5,"Tiburones de la Guaira","RF",3,"Danry Vasquez ",5,0,1,0,0,0,0,0,0,5,0.222,"Estadio Forum de La Guaira","Bravos de Margarita"
100,"maydan001","2021-22","29/10/2021",5,"Tiburones de la Guaira","1B-3B",4,"Daniel Mayora ",4,0,0,0,0,0,0,0,0,3,0.235,"Estadio Forum de La Guaira","Bravos de Margarita"
101,"duesam001","2021-22","29/10/2021",5,"Tiburones de la Guaira","PH",,"Samir Dueñez ",1,0,0,0,0,0,0,0,1,2,0,"Estadio Forum de La Guaira","Bravos de Margarita"
102,"avilu001","2021-22","29/10/2021",5,"Tiburones de la Guaira","3B",5,"Luis Aviles Jr",3,0,0,0,0,0,0,0,0,2,0.182,"Estadio Forum de La Guaira","Bravos de Margarita"
103,"torjun001","2021-22","29/10/2021",5,"Tiburones de la Guaira","PH-1B",,"Juan Torres ",1,0,0,0,0,0,0,0,1,0,0,"Estadio Forum de La Guaira","Bravos de Margarita"
104,"perjai001","2021-22","29/10/2021",5,"Tiburones de la Guaira","DH",6,"Jairo Perez ",3,0,1,0,0,0,0,1,0,1,0.273,"Estadio Forum de La Guaira","Bravos de Margarita"
105,"hercar004","2021-22","29/10/2021",5,"Tiburones de la Guaira","2B",7,"Carlos Herrera ",3,1,0,0,0,0,0,1,0,2,0.091,"Estadio Forum de La Guaira","Bravos de Margarita"
106,"genric001","2021-22","29/10/2021",5,"Tiburones de la Guaira","C",8,"Ricardo Genovés ",3,0,2,0,0,0,0,0,0,1,0.4,"Estadio Forum de La Guaira","Bravos de Margarita"
107,"cedlor001","2021-22","29/10/2021",5,"Tiburones de la Guaira","PR-LF",,"Lorenzo Cedrola ",1,0,0,0,0,0,0,0,0,0,0.2,"Estadio Forum de La Guaira","Bravos de Margarita"
108,"rocbra001","2021-22","29/10/2021",5,"Tiburones de la Guaira","SS",9,"Brayan Rocchio ",3,1,2,1,0,1,2,0,0,2,0.364,"Estadio Forum de La Guaira","Bravos de Margarita"
109,,"2021-22","30/10/2021",6,"Bravos de Margarita","1B",1,"Dilson Herrera ",4,0,1,0,0,0,0,0,2,0,0.407,"Estadio Forum de La Guaira","Tiburones de la Guaira"
110,,"2021-22","30/10/2021",6,"Bravos de Margarita","CF",2,"Ramón Flores ",4,0,0,0,0,0,0,0,2,1,0.389,"Estadio Forum de La Guaira","Tiburones de la Guaira"
111,,"2021-22","30/10/2021",6,"Bravos de Margarita","RF",3,"Diego Rincones ",3,0,0,0,0,0,0,0,0,0,0.286,"Estadio Forum de La Guaira","Tiburones de la Guaira"
112,,"2021-22","30/10/2021",6,"Bravos de Margarita","DH",4,"David Rodríguez ",3,0,1,0,0,0,0,1,0,2,0.348,"Estadio Forum de La Guaira","Tiburones de la Guaira"
113,,"2021-22","30/10/2021",6,"Bravos de Margarita","C",5,"Dennis Ortega ",4,0,3,0,0,0,0,0,0,1,0.333,"Estadio Forum de La Guaira","Tiburones de la Guaira"
114,,"2021-22","30/10/2021",6,"Bravos de Margarita","PR",,"Erick Salcedo ",0,0,0,0,0,0,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira"
115,,"2021-22","30/10/2021",6,"Bravos de Margarita","3B",6,"Luis Castro ",2,0,0,0,0,0,0,0,1,3,0,"Estadio Forum de La Guaira","Tiburones de la Guaira"
116,,"2021-22","30/10/2021",6,"Bravos de Margarita","LF",7,"Omar Carrizales ",2,0,0,0,0,0,0,0,1,4,0,"Estadio Forum de La Guaira","Tiburones de la Guaira"
117,,"2021-22","30/10/2021",6,"Bravos de Margarita","PH-LF",,"Frank Diaz ",2,0,0,0,0,0,0,0,0,2,0.304,"Estadio Forum de La Guaira","Tiburones de la Guaira"
118,,"2021-22","30/10/2021",6,"Bravos de Margarita","SS",8,"Jose Martinez ",3,0,0,0,0,0,0,1,1,3,0.381,"Estadio Forum de La Guaira","Tiburones de la Guaira"
119,,"2021-22","30/10/2021",6,"Bravos de Margarita","2B",9,"Reinaldo Ilarraza ",4,0,0,0,0,0,0,0,3,2,0,"Estadio Forum de La Guaira","Tiburones de la Guaira"
120,"sosjun001","2021-22","30/10/2021",6,"Tiburones de la Guaira","DH",1,"Junior Sosa ",2,1,1,0,0,0,0,1,0,0,0.316,"Estadio Forum de La Guaira","Bravos de Margarita"
121,"maydan001","2021-22","30/10/2021",6,"Tiburones de la Guaira","PH-DH",,"Daniel Mayora ",0,0,0,0,0,0,0,1,0,0,0.235,"Estadio Forum de La Guaira","Bravos de Margarita"
122,"marteo001","2021-22","30/10/2021",6,"Tiburones de la Guaira","LF",2,"Teodoro Martinez ",3,0,0,0,0,0,0,0,1,2,0.333,"Estadio Forum de La Guaira","Bravos de Margarita"
123,"cedlor001","2021-22","30/10/2021",6,"Tiburones de la Guaira","LF",,"Lorenzo Cedrola ",1,0,0,0,0,0,0,0,0,2,0.188,"Estadio Forum de La Guaira","Bravos de Margarita"
124,"vasdan001","2021-22","30/10/2021",6,"Tiburones de la Guaira","RF",3,"Danry Vasquez ",4,0,1,0,0,0,0,0,1,1,0.227,"Estadio Forum de La Guaira","Bravos de Margarita"
125,"torjun001","2021-22","30/10/2021",6,"Tiburones de la Guaira","1B",4,"Juan Torres ",3,0,0,0,0,0,0,0,0,3,0,"Estadio Forum de La Guaira","Bravos de Margarita"
126,"duesam001","2021-22","30/10/2021",6,"Tiburones de la Guaira","PH-1B",,"Samir Dueñez ",1,0,1,1,0,0,0,0,0,0,0.167,"Estadio Forum de La Guaira","Bravos de Margarita"
127,"avilu001","2021-22","30/10/2021",6,"Tiburones de la Guaira","3B",5,"Luis Aviles Jr",4,0,2,1,0,0,1,0,0,1,0.231,"Estadio Forum de La Guaira","Bravos de Margarita"
128,"rocbra001","2021-22","30/10/2021",6,"Tiburones de la Guaira","SS",6,"Brayan Rocchio ",3,0,2,0,0,0,0,1,0,0,0.429,"Estadio Forum de La Guaira","Bravos de Margarita"
129,"ferjua001","2021-22","30/10/2021",6,"Tiburones de la Guaira","C",7,"Juan Fernandez ",4,0,0,0,0,0,0,0,1,4,0.429,"Estadio Forum de La Guaira","Bravos de Margarita"
130,"lujjes001","2021-22","30/10/2021",6,"Tiburones de la Guaira","CF",8,"Jesus Lujano ",2,0,2,0,1,0,0,1,0,0,0.8,"Estadio Forum de La Guaira","Bravos de Margarita"
131,"hercar004","2021-22","30/10/2021",6,"Tiburones de la Guaira","2B",9,"Carlos Herrera ",3,0,0,0,0,0,0,0,2,5,0.071,"Estadio Forum de La Guaira","Bravos de Margarita"
394,"sosjun001","2021-22","14/11/2021",19,"Tiburones de la Guaira","CF",1,"Junior Sosa ",5,0,0,0,0,0,0,0,2,5,0.254,"Estadio Forum de La Guaira","Bravos de Margarita"
395,"rocbra001","2021-22","14/11/2021",19,"Tiburones de la Guaira","2B",2,"Brayan Rocchio ",4,0,1,0,0,0,0,0,0,2,0.415,"Estadio Forum de La Guaira","Bravos de Margarita"
396,"avilu001","2021-22","14/11/2021",19,"Tiburones de la Guaira","3B",3,"Luis Aviles Jr",4,0,2,0,0,0,0,0,1,0,0.28,"Estadio Forum de La Guaira","Bravos de Margarita"
397,"vasdan001","2021-22","14/11/2021",19,"Tiburones de la Guaira","RF",4,"Danry Vasquez ",3,0,0,0,0,0,0,1,0,1,0.271,"Estadio Forum de La Guaira","Bravos de Margarita"
398,"marteo001","2021-22","14/11/2021",19,"Tiburones de la Guaira","LF",5,"Teodoro Martinez ",4,0,1,0,0,0,0,0,1,4,0.345,"Estadio Forum de La Guaira","Bravos de Margarita"
399,"ferjua001","2021-22","14/11/2021",19,"Tiburones de la Guaira","C",6,"Juan Fernandez ",4,1,1,0,1,0,0,0,0,4,0.45,"Estadio Forum de La Guaira","Bravos de Margarita"
400,"perjai001","2021-22","14/11/2021",19,"Tiburones de la Guaira","DH",7,"Jairo Perez ",4,1,2,0,0,0,0,0,0,1,0.333,"Estadio Forum de La Guaira","Bravos de Margarita"
401,"maydan001","2021-22","14/11/2021",19,"Tiburones de la Guaira","1B",8,"Daniel Mayora ",3,0,2,0,0,0,1,0,0,1,0.25,"Estadio Forum de La Guaira","Bravos de Margarita"
402,"garmai002","2021-22","14/11/2021",19,"Tiburones de la Guaira","SS",9,"Maikel Garcia ",3,0,1,1,0,0,1,1,1,2,0.25,"Estadio Forum de La Guaira","Bravos de Margarita"
403,,"2021-22","14/11/2021",19,"Bravos de Margarita","2B",1,"Reinaldo Ilarraza ",5,0,0,0,0,0,0,0,1,6,0.173,"Estadio Forum de La Guaira","Tiburones de la Guaira"
404,,"2021-22","14/11/2021",19,"Bravos de Margarita","3B",2,"Breyvic Valera ",3,0,0,0,0,0,0,2,0,2,0.267,"Estadio Forum de La Guaira","Tiburones de la Guaira"
405,,"2021-22","14/11/2021",19,"Bravos de Margarita","DH",3,"David Rodríguez ",4,1,0,0,0,0,0,1,2,2,0.333,"Estadio Forum de La Guaira","Tiburones de la Guaira"
406,,"2021-22","14/11/2021",19,"Bravos de Margarita","CF",4,"Ramón Flores ",1,1,1,0,0,1,1,2,0,0,0.45,"Estadio Forum de La Guaira","Tiburones de la Guaira"
407,,"2021-22","14/11/2021",19,"Bravos de Margarita","RF",5,"Diego Rincones ",3,1,0,0,0,0,0,0,0,3,0.269,"Estadio Forum de La Guaira","Tiburones de la Guaira"
408,,"2021-22","14/11/2021",19,"Bravos de Margarita","1B",6,"Dennis Ortega ",3,1,1,0,0,0,1,1,0,0,0.246,"Estadio Forum de La Guaira","Tiburones de la Guaira"
409,,"2021-22","14/11/2021",19,"Bravos de Margarita","LF",7,"Dilson Herrera ",3,2,1,0,0,0,0,1,0,3,0.264,"Estadio Forum de La Guaira","Tiburones de la Guaira"
410,,"2021-22","14/11/2021",19,"Bravos de Margarita","LF",,"Omar Carrizales ",0,0,0,0,0,0,0,0,0,0,0.067,"Estadio Forum de La Guaira","Tiburones de la Guaira"
411,,"2021-22","14/11/2021",19,"Bravos de Margarita","SS",8,"Jose Martinez ",4,0,1,1,0,0,1,0,0,5,0.356,"Estadio Forum de La Guaira","Tiburones de la Guaira"
412,,"2021-22","14/11/2021",19,"Bravos de Margarita","C",9,"Jason Lopez ",3,0,2,0,0,0,1,1,1,2,0.182,"Estadio Forum de La Guaira","Tiburones de la Guaira"
413,"sosjun001","2021-22","16/11/2021",20,"Tiburones de la Guaira","CF",1,"Junior Sosa ",4,1,0,0,0,0,0,1,1,2,0.239,"Estadio Forum de La Guaira","Bravos de Margarita"
414,"rocbra001","2021-22","16/11/2021",20,"Tiburones de la Guaira","SS",2,"Brayan Rocchio ",4,0,0,0,0,0,0,1,1,1,0.391,"Estadio Forum de La Guaira","Bravos de Margarita"
415,"vasdan001","2021-22","16/11/2021",20,"Tiburones de la Guaira","RF",3,"Danry Vasquez ",4,1,2,1,0,0,2,0,0,0,0.284,"Estadio Forum de La Guaira","Bravos de Margarita"
416,"guzjes001","2021-22","16/11/2021",20,"Tiburones de la Guaira","1B",4,"Jesus Guzman ",4,0,1,0,0,0,0,0,0,1,0.385,"Estadio Forum de La Guaira","Bravos de Margarita"
417,"marteo001","2021-22","16/11/2021",20,"Tiburones de la Guaira","LF",5,"Teodoro Martinez ",4,1,1,0,0,0,1,0,0,1,0.339,"Estadio Forum de La Guaira","Bravos de Margarita"
418,"perjai001","2021-22","16/11/2021",20,"Tiburones de la Guaira","DH",6,"Jairo Perez ",4,1,1,0,0,0,0,0,0,2,0.321,"Estadio Forum de La Guaira","Bravos de Margarita"
419,"avilu001","2021-22","16/11/2021",20,"Tiburones de la Guaira","3B",7,"Luis Aviles Jr",4,1,1,0,0,0,1,0,1,1,0.278,"Estadio Forum de La Guaira","Bravos de Margarita"
420,"genric001","2021-22","16/11/2021",20,"Tiburones de la Guaira","C",8,"Ricardo Genovés ",4,1,1,1,0,0,2,0,0,0,0.303,"Estadio Forum de La Guaira","Bravos de Margarita"
421,"garmai002","2021-22","16/11/2021",20,"Tiburones de la Guaira","2B",9,"Maikel Garcia ",2,1,2,1,0,0,0,2,0,0,0.289,"Estadio Forum de La Guaira","Bravos de Margarita"
422,,"2021-22","16/11/2021",20,"Aguilas del Zulia","3B",1,"Ali Castillo ",4,0,0,0,0,0,0,0,0,3,0.345,"Estadio Forum de La Guaira","Tiburones de la Guaira"
423,,"2021-22","16/11/2021",20,"Aguilas del Zulia","2B",2,"Osleivis Basabe ",4,0,0,0,0,0,0,0,0,0,0.288,"Estadio Forum de La Guaira","Tiburones de la Guaira"
424,,"2021-22","16/11/2021",20,"Aguilas del Zulia","DH",3,"Héctor Sánchez ",4,1,2,0,0,0,0,0,0,0,0.375,"Estadio Forum de La Guaira","Tiburones de la Guaira"
425,,"2021-22","16/11/2021",20,"Aguilas del Zulia","1B",4,"José Briceño ",4,1,1,1,0,0,0,0,1,2,0.237,"Estadio Forum de La Guaira","Tiburones de la Guaira"
426,,"2021-22","16/11/2021",20,"Aguilas del Zulia","RF",5,"Alex Romero ",4,1,1,1,0,0,1,0,0,2,0.274,"Estadio Forum de La Guaira","Tiburones de la Guaira"
427,,"2021-22","16/11/2021",20,"Aguilas del Zulia","LF",6,"Angel Reyes ",4,1,2,1,0,0,1,0,1,1,0.229,"Estadio Forum de La Guaira","Tiburones de la Guaira"
428,,"2021-22","16/11/2021",20,"Aguilas del Zulia","C",7,"Jose Herrera ",4,0,1,0,0,0,2,0,0,1,0.356,"Estadio Forum de La Guaira","Tiburones de la Guaira"
429,,"2021-22","16/11/2021",20,"Aguilas del Zulia","SS",8,"Humberto Arteaga ",3,0,1,0,0,0,0,0,0,1,0.25,"Estadio Forum de La Guaira","Tiburones de la Guaira"
430,,"2021-22","16/11/2021",20,"Aguilas del Zulia","CF",9,"Yonathan Perlaza ",2,0,0,0,0,0,0,1,0,0,0.306,"Estadio Forum de La Guaira","Tiburones de la Guaira"
431,"sosjun001","2021-22","17/11/2021",21,"Tiburones de la Guaira","CF",1,"Junior Sosa ",4,1,0,0,0,0,0,1,3,1,0.225,"Estadio Forum de La Guaira","Aguilas del Zulia"
432,"ferjua001","2021-22","17/11/2021",21,"Tiburones de la Guaira","C",2,"Juan Fernandez ",5,0,1,0,0,0,0,0,2,0,0.422,"Estadio Forum de La Guaira","Aguilas del Zulia"
433,"vasdan001","2021-22","17/11/2021",21,"Tiburones de la Guaira","RF",3,"Danry Vasquez ",4,0,1,0,0,0,0,0,1,1,0.282,"Estadio Forum de La Guaira","Aguilas del Zulia"
434,"guzjes001","2021-22","17/11/2021",21,"Tiburones de la Guaira","DH",4,"Jesus Guzman ",2,1,2,1,0,0,0,1,0,0,0.429,"Estadio Forum de La Guaira","Aguilas del Zulia"
435,"avilu001","2021-22","17/11/2021",21,"Tiburones de la Guaira","3B",5,"Luis Aviles Jr",4,1,1,0,0,0,0,0,0,3,0.277,"Estadio Forum de La Guaira","Aguilas del Zulia"
436,"perjai001","2021-22","17/11/2021",21,"Tiburones de la Guaira","LF",6,"Jairo Perez ",3,1,3,1,0,0,1,1,0,0,0.387,"Estadio Forum de La Guaira","Aguilas del Zulia"
437,"lujjes001","2021-22","17/11/2021",21,"Tiburones de la Guaira","PR-LF",,"Jesus Lujano ",0,0,0,0,0,0,0,0,0,0,0.357,"Estadio Forum de La Guaira","Aguilas del Zulia"
438,"maydan001","2021-22","17/11/2021",21,"Tiburones de la Guaira","1B",7,"Daniel Mayora ",4,0,0,0,0,0,0,0,2,7,0.233,"Estadio Forum de La Guaira","Aguilas del Zulia"
439,"duredg001","2021-22","17/11/2021",21,"Tiburones de la Guaira","2B",8,"Edgar Duran ",3,0,1,0,0,0,0,1,1,2,0.286,"Estadio Forum de La Guaira","Aguilas del Zulia"
440,"garmai002","2021-22","17/11/2021",21,"Tiburones de la Guaira","SS",9,"Maikel Garcia ",4,0,1,0,0,0,2,0,0,2,0.286,"Estadio Forum de La Guaira","Aguilas del Zulia"
441,,"2021-22","17/11/2021",21,"Aguilas del Zulia","3B-2B",1,"Ali Castillo ",5,0,1,0,0,0,1,0,1,5,0.337,"Estadio Forum de La Guaira","Tiburones de la Guaira"
442,,"2021-22","17/11/2021",21,"Aguilas del Zulia","2B-SS",2,"Osleivis Basabe ",4,0,0,0,0,0,0,0,0,1,0.274,"Estadio Forum de La Guaira","Tiburones de la Guaira"
443,,"2021-22","17/11/2021",21,"Aguilas del Zulia","DH",3,"Héctor Sánchez ",4,1,1,0,0,0,0,0,0,0,0.365,"Estadio Forum de La Guaira","Tiburones de la Guaira"
444,,"2021-22","17/11/2021",21,"Aguilas del Zulia","LF-RF",4,"Angel Reyes ",4,1,2,1,0,0,0,0,2,0,0.241,"Estadio Forum de La Guaira","Tiburones de la Guaira"
445,,"2021-22","17/11/2021",21,"Aguilas del Zulia","RF",5,"Alex Romero ",2,1,1,0,0,0,0,1,0,2,0.281,"Estadio Forum de La Guaira","Tiburones de la Guaira"
446,,"2021-22","17/11/2021",21,"Aguilas del Zulia","PR-CF",,"Luis Alexander Basabe ",0,1,0,0,0,0,0,0,0,0,0.178,"Estadio Forum de La Guaira","Tiburones de la Guaira"
447,,"2021-22","17/11/2021",21,"Aguilas del Zulia","C",6,"José Briceño ",4,0,0,0,0,0,0,0,1,5,0.225,"Estadio Forum de La Guaira","Tiburones de la Guaira"
448,,"2021-22","17/11/2021",21,"Aguilas del Zulia","1B",7,"Jose Herrera ",4,1,3,0,0,0,2,0,1,0,0.388,"Estadio Forum de La Guaira","Tiburones de la Guaira"
449,,"2021-22","17/11/2021",21,"Aguilas del Zulia","SS",8,"Humberto Arteaga ",3,1,2,1,0,0,1,0,0,0,0.267,"Estadio Forum de La Guaira","Tiburones de la Guaira"
450,,"2021-22","17/11/2021",21,"Aguilas del Zulia","3B",,"Erick Epifano ",0,0,0,0,0,0,0,0,0,0,0.125,"Estadio Forum de La Guaira","Tiburones de la Guaira"
451,,"2021-22","17/11/2021",21,"Aguilas del Zulia","CF-LF",9,"Yonathan Perlaza ",3,0,1,0,0,0,2,0,1,3,0.308,"Estadio Forum de La Guaira","Tiburones de la Guaira"
452,"garmai002","2021-22","18/11/2021",22,"Tiburones de la Guaira","SS",1,"Maikel Garcia ",5,1,1,0,0,0,0,0,4,2,0.277,"Estadio Forum de La Guaira","Aguilas del Zulia"
453,"duredg001","2021-22","18/11/2021",22,"Tiburones de la Guaira","2B",2,"Edgar Duran ",2,3,1,0,0,0,0,3,1,0,0.313,"Estadio Forum de La Guaira","Aguilas del Zulia"
454,"perjai001","2021-22","18/11/2021",22,"Tiburones de la Guaira","LF",3,"Jairo Perez ",5,1,2,0,0,0,1,0,0,2,0.389,"Estadio Forum de La Guaira","Aguilas del Zulia"
455,"vasdan001","2021-22","18/11/2021",22,"Tiburones de la Guaira","RF",4,"Danry Vasquez ",5,0,1,0,0,0,2,0,1,4,0.277,"Estadio Forum de La Guaira","Aguilas del Zulia"
456,"guzjes001","2021-22","18/11/2021",22,"Tiburones de la Guaira","1B",5,"Jesus Guzman ",4,1,1,0,0,0,1,1,2,2,0.406,"Estadio Forum de La Guaira","Aguilas del Zulia"
457,"genric001","2021-22","18/11/2021",22,"Tiburones de la Guaira","C",6,"Ricardo Genovés ",3,0,1,0,0,0,0,1,2,2,0.306,"Estadio Forum de La Guaira","Aguilas del Zulia"
458,"torjun001","2021-22","18/11/2021",22,"Tiburones de la Guaira","DH",7,"Juan Torres ",3,0,0,0,0,0,1,1,0,3,0.105,"Estadio Forum de La Guaira","Aguilas del Zulia"
459,"maydan001","2021-22","18/11/2021",22,"Tiburones de la Guaira","3B",8,"Daniel Mayora ",3,0,1,0,0,0,1,0,1,0,0.238,"Estadio Forum de La Guaira","Aguilas del Zulia"
460,"lujjes001","2021-22","18/11/2021",22,"Tiburones de la Guaira","CF",9,"Jesus Lujano ",4,0,0,0,0,0,0,0,0,4,0.278,"Estadio Forum de La Guaira","Aguilas del Zulia"
461,,"2021-22","18/11/2021",22,"Aguilas del Zulia","3B",1,"Ali Castillo ",5,0,2,0,0,0,0,0,1,3,0.34,"Estadio Forum de La Guaira","Tiburones de la Guaira"
462,,"2021-22","18/11/2021",22,"Aguilas del Zulia","2B",2,"Osleivis Basabe ",2,1,1,0,0,0,1,3,0,1,0.279,"Estadio Forum de La Guaira","Tiburones de la Guaira"
463,,"2021-22","18/11/2021",22,"Aguilas del Zulia","DH",3,"Héctor Sánchez ",3,1,0,0,0,0,0,1,0,3,0.345,"Estadio Forum de La Guaira","Tiburones de la Guaira"
464,,"2021-22","18/11/2021",22,"Aguilas del Zulia","LF",4,"Angel Reyes ",4,1,1,0,0,1,4,0,1,3,0.242,"Estadio Forum de La Guaira","Tiburones de la Guaira"
465,,"2021-22","18/11/2021",22,"Aguilas del Zulia","RF",5,"Alex Romero ",4,0,0,0,0,0,0,0,0,2,0.265,"Estadio Forum de La Guaira","Tiburones de la Guaira"
466,,"2021-22","18/11/2021",22,"Aguilas del Zulia","1B",6,"José Briceño ",3,1,1,1,0,0,0,1,0,0,0.229,"Estadio Forum de La Guaira","Tiburones de la Guaira"
467,,"2021-22","18/11/2021",22,"Aguilas del Zulia","C",7,"Jose Herrera ",2,1,0,0,0,0,0,2,1,0,0.373,"Estadio Forum de La Guaira","Tiburones de la Guaira"
468,,"2021-22","18/11/2021",22,"Aguilas del Zulia","SS",8,"Humberto Arteaga ",3,1,0,0,0,0,0,1,1,2,0.256,"Estadio Forum de La Guaira","Tiburones de la Guaira"
469,,"2021-22","18/11/2021",22,"Aguilas del Zulia","CF",9,"Yonathan Perlaza ",3,1,1,1,0,0,1,0,0,2,0.309,"Estadio Forum de La Guaira","Tiburones de la Guaira"
470,"sosjun001","2021-22","19/11/2021",23,"Tiburones de la Guaira","CF",1,"Junior Sosa ",5,1,2,1,0,0,2,1,2,0,0.237,"Estadio Forum de La Guaira","Aguilas del Zulia"
471,"duredg001","2021-22","19/11/2021",23,"Tiburones de la Guaira","2B",2,"Edgar Duran ",5,2,1,0,0,0,1,0,2,3,0.286,"Estadio Forum de La Guaira","Aguilas del Zulia"
472,"perjai001","2021-22","19/11/2021",23,"Tiburones de la Guaira","LF",3,"Jairo Perez ",3,1,0,0,0,0,1,1,1,1,0.359,"Estadio Forum de La Guaira","Aguilas del Zulia"
473,"guzjes001","2021-22","19/11/2021",23,"Tiburones de la Guaira","DH",4,"Jesus Guzman ",2,1,0,0,0,0,0,3,1,3,0.382,"Estadio Forum de La Guaira","Aguilas del Zulia"
474,"ferjua001","2021-22","19/11/2021",23,"Tiburones de la Guaira","C",5,"Juan Fernandez ",5,2,2,0,0,0,2,0,1,2,0.42,"Estadio Forum de La Guaira","Aguilas del Zulia"
475,"maydan001","2021-22","19/11/2021",23,"Tiburones de la Guaira","1B",6,"Daniel Mayora ",4,1,2,0,1,0,0,1,2,3,0.254,"Estadio Forum de La Guaira","Aguilas del Zulia"
476,"melkel001","2021-22","19/11/2021",23,"Tiburones de la Guaira","3B",7,"Kelvin Melean ",4,1,3,1,0,0,4,1,1,2,0.25,"Estadio Forum de La Guaira","Aguilas del Zulia"
477,"lujjes001","2021-22","19/11/2021",23,"Tiburones de la Guaira","RF",8,"Jesus Lujano ",4,1,1,0,0,0,1,1,2,3,0.273,"Estadio Forum de La Guaira","Aguilas del Zulia"
478,"garmai002","2021-22","19/11/2021",23,"Tiburones de la Guaira","SS",9,"Maikel Garcia ",4,2,0,0,0,0,0,1,2,2,0.255,"Estadio Forum de La Guaira","Aguilas del Zulia"
479,,"2021-22","19/11/2021",23,"Aguilas del Zulia","3B",1,"Ali Castillo ",4,0,0,0,0,0,1,0,0,3,0.327,"Estadio Forum de La Guaira","Tiburones de la Guaira"
480,,"2021-22","19/11/2021",23,"Aguilas del Zulia","3B",,"Erick Epifano ",1,0,0,0,0,0,0,0,0,2,0.111,"Estadio Forum de La Guaira","Tiburones de la Guaira"
481,,"2021-22","19/11/2021",23,"Aguilas del Zulia","2B",2,"Osleivis Basabe ",5,0,1,0,1,0,0,0,1,4,0.275,"Estadio Forum de La Guaira","Tiburones de la Guaira"
482,,"2021-22","19/11/2021",23,"Aguilas del Zulia","DH",3,"Héctor Sánchez ",4,0,0,0,0,0,0,0,1,1,0.322,"Estadio Forum de La Guaira","Tiburones de la Guaira"
483,,"2021-22","19/11/2021",23,"Aguilas del Zulia","LF-RF",4,"Angel Reyes ",3,0,1,0,0,0,0,0,0,0,0.245,"Estadio Forum de La Guaira","Tiburones de la Guaira"
484,,"2021-22","19/11/2021",23,"Aguilas del Zulia","RF",5,"Alex Romero ",3,0,1,0,0,0,0,0,0,2,0.268,"Estadio Forum de La Guaira","Tiburones de la Guaira"
