"","years","edad","w","l","w-l%","era","g","gs","cg","sho","sv","ip","h","r","er","hr","bb","so","whip","h/9","hr/9","bb/9","so/9","so/bb","bk","refuerzo"
"186","2013-14","29","1","2","0.3333","4.00","10","0","0","0","0","9.0","5","4","4","0","8","4","1.444","5.00","0.00","8.00","4.00","0.5000","0","NO"
"187","2013-14","34","0","0","","4.32","2","1","0","0","0","8.1","8","4","4","0","3","3","1.320","8.64","0.00","3.24","3.24","1.0000","0","NO"
"188","2013-14","27","0","1","0.0000","3.38","3","0","0","0","0","2.2","1","1","1","0","1","3","0.750","3.38","0.00","3.38","10.13","3.0000","0","NO"
"189","2013-14","25","0","0","","7.11","2","2","0","0","0","6.1","11","5","5","0","2","3","2.053","15.63","0.00","2.84","4.26","1.5000","0","NO"
"190","2013-14","32","0","1","0.0000","9.95","2","1","0","0","0","6.1","10","7","7","1","2","2","1.895","14.21","1.42","2.84","2.84","1.0000","0","SI"
"191","2013-14","31","0","1","0.0000","15.75","5","0","0","0","1","4.0","9","7","7","2","3","2","3.000","20.25","4.50","6.75","4.50","0.6667","0","NO"
"192","2013-14","25","0","0","","0.00","2","0","0","0","0","4.0","2","1","0","0","2","1","1.000","4.50","0.00","4.50","2.25","0.5000","0","NO"
"193","2013-14","33","0","0","","3.38","6","0","0","0","0","2.2","1","1","1","0","2","1","1.125","3.38","0.00","6.75","3.38","0.5000","0","NO"
"194","2013-14","31","0","0","","0.00","1","0","0","0","0","1.0","1","0","0","0","1","1","2.000","9.00","0.00","9.00","9.00","1.0000","0","NO"
"195","2013-14","31","0","0","","","1","0","0","0","0","0.0","3","4","4","0","1","0","","","","","","0.0000","0","NO"
"196","2014-15","29","1","2","0.3333","5.00","4","3","0","0","0","18.0","22","10","10","2","4","22","1.444","11.00","1.00","2.00","11.00","5.5000","0","NO"
"197","2014-15","32","1","0","1.0000","2.79","4","4","0","0","0","19.1","18","6","6","2","8","15","1.345","8.38","0.93","3.72","6.98","1.8750","0","NO"
"198","2014-15","29","2","0","1.0000","2.81","3","3","0","0","0","16.0","16","6","5","0","9","11","1.562","9.00","0.00","5.06","6.19","1.2222","0","NO"
"199","2014-15","28","0","3","0.0000","8.00","4","4","0","0","0","18.0","28","16","16","1","4","10","1.778","14.00","0.50","2.00","5.00","2.5000","0","NO"
"200","2014-15","30","0","0","","5.14","3","2","0","0","0","7.0","7","5","4","0","2","6","1.286","9.00","0.00","2.57","7.71","3.0000","0","NO"
"201","2014-15","32","0","0","","6.75","7","0","0","0","0","6.2","6","5","5","0","4","4","1.500","8.10","0.00","5.40","5.40","1.0000","0","NO"
"202","2014-15","32","1","0","1.0000","4.76","8","0","0","0","0","5.2","8","3","3","1","1","4","1.588","12.71","1.59","1.59","6.35","4.0000","0","NO"
"203","2014-15","21","0","0","","4.50","2","0","0","0","0","2.0","3","1","1","0","1","3","2.000","13.50","0.00","4.50","13.50","3.0000","0","NO"
"204","2014-15","29","0","1","0.0000","3.86","8","0","0","0","0","9.1","6","5","4","1","3","3","0.964","5.79","0.96","2.89","2.89","1.0000","0","SI"
"205","2014-15","32","0","1","0.0000","4.91","5","0","0","0","2","3.2","1","2","2","1","2","3","0.818","2.45","2.45","4.91","7.36","1.5000","0","NO"
"206","2014-15","32","0","1","0.0000","3.60","5","0","0","0","0","5.0","4","4","2","0","3","3","1.400","7.20","0.00","5.40","5.40","1.0000","0","SI"
"207","2014-15","21","0","0","","0.00","2","0","0","0","0","2.0","0","0","0","0","0","2","0.000","0.00","0.00","0.00","9.00","","0","NO"
"208","2014-15","28","0","0","","5.40","2","0","0","0","1","1.2","2","1","1","0","1","2","1.800","10.80","0.00","5.40","10.80","2.0000","0","NO"
"209","2014-15","40","0","0","","9.82","6","0","0","0","1","3.2","7","4","4","1","0","2","1.909","17.18","2.45","0.00","4.91","","0","SI"
"210","2014-15","24","0","1","0.0000","7.36","8","0","0","0","0","3.2","7","3","3","1","0","1","1.909","17.18","2.45","0.00","2.45","","0","NO"
"211","2014-15","29","0","0","","4.50","7","0","0","0","0","6.0","4","3","3","1","6","1","1.667","6.00","1.50","9.00","1.50","0.1667","0","NO"
"212","2014-15","32","0","1","0.0000","6.00","3","0","0","0","0","3.0","4","5","2","0","2","1","2.000","12.00","0.00","6.00","3.00","0.5000","0","NO"
"213","2014-15","21","0","0","","6.75","5","0","0","0","0","4.0","5","3","3","0","1","1","1.500","11.25","0.00","2.25","2.25","1.0000","0","NO"
"214","2014-15","28","0","0","","4.50","2","0","0","0","0","2.0","3","2","1","0","1","1","2.000","13.50","0.00","4.50","4.50","1.0000","0","NO"
"215","2014-15","24","0","1","0.0000","27.00","3","0","0","0","0","1.1","6","4","4","0","1","1","5.250","40.50","0.00","6.75","6.75","1.0000","0","NO"
"216","2014-15","24","0","0","","0.00","1","0","0","0","0","1.1","2","0","0","0","0","0","1.500","13.50","0.00","0.00","0.00","","0","NO"
"217","2014-15","26","0","0","","0.00","1","0","0","0","0","1.0","0","0","0","0","0","0","0.000","0.00","0.00","0.00","0.00","","0","NO"
"218","2014-15","32","0","0","","0.00","1","0","0","0","0","1.0","1","0","0","0","0","0","1.000","9.00","0.00","0.00","0.00","","0","NO"
"219","2015-16","33","1","1","0.5000","5.19","4","4","0","0","0","17.1","19","10","10","0","8","18","1.558","9.87","0.00","4.15","9.35","2.2500","0","NO"
"220","2015-16","26","1","1","0.5000","5.19","4","4","0","0","0","17.1","24","11","10","1","6","10","1.731","12.46","0.52","3.12","5.19","1.6667","0","SI"
"221","2015-16","28","1","0","1.0000","1.80","5","0","0","0","1","5.0","3","1","1","0","3","8","1.200","5.40","0.00","5.40","14.40","2.6667","0","NO"
"222","2015-16","32","1","1","0.5000","3.94","4","3","0","0","0","16.0","15","8","7","0","5","7","1.250","8.44","0.00","2.81","3.94","1.4000","0","NO"
"223","2015-16","29","0","0","","7.20","6","0","0","0","0","5.0","10","7","4","0","5","5","3.000","18.00","0.00","9.00","9.00","1.0000","0","NO"
"224","2015-16","31","1","0","1.0000","4.15","5","0","0","0","0","4.1","4","2","2","1","3","5","1.615","8.31","2.08","6.23","10.38","1.6667","0","SI"
"225","2015-16","23","0","0","","0.00","4","0","0","0","0","5.2","2","0","0","0","3","5","0.882","3.18","0.00","4.76","7.94","1.6667","0","NO"
"226","2015-16","27","1","0","1.0000","0.79","10","0","0","0","0","11.1","10","2","1","0","2","4","1.059","7.94","0.00","1.59","3.18","2.0000","0","NO"
"227","2015-16","26","0","1","0.0000","11.57","1","1","0","0","0","2.1","6","6","3","0","2","2","3.429","23.14","0.00","7.71","7.71","1.0000","0","SI"
"228","2015-16","29","0","0","","5.06","2","1","0","0","0","5.1","6","3","3","1","0","2","1.125","10.13","1.69","0.00","3.38","","0","NO"
"229","2015-16","20","0","0","","7.71","8","0","0","0","0","4.2","2","4","4","0","3","2","1.071","3.86","0.00","5.79","3.86","0.6667","0","NO"
"230","2015-16","33","0","0","","8.31","5","0","0","0","0","4.1","8","4","4","1","3","1","2.538","16.62","2.08","6.23","2.08","0.3333","0","NO"
"231","2015-16","31","1","0","1.0000","6.75","7","0","0","0","0","2.2","2","2","2","0","2","1","1.500","6.75","0.00","6.75","3.38","0.5000","0","NO"
"232","2015-16","33","0","0","","3.86","3","0","0","0","0","2.1","3","1","1","1","3","1","2.571","11.57","3.86","11.57","3.86","0.3333","0","NO"
"233","2015-16","25","0","1","0.0000","5.40","5","0","0","0","0","1.2","2","1","1","1","1","1","1.800","10.80","5.40","5.40","5.40","1.0000","0","NO"
"234","2015-16","25","0","0","","0.00","1","0","0","0","0","0.1","0","0","0","0","0","0","0.000","0.00","0.00","0.00","0.00","","0","NO"
"235","2015-16","28","0","1","0.0000","8.10","7","0","0","0","0","6.2","10","7","6","0","3","0","1.950","13.50","0.00","4.05","0.00","0.0000","0","NO"
"236","2015-16","29","0","0","","27.00","3","0","0","0","0","0.2","3","2","2","0","1","0","6.000","40.50","0.00","13.50","0.00","0.0000","0","SI"
"237","2016-17","28","1","2","0.3333","5.79","4","3","0","0","0","14.0","18","12","9","0","3","12","1.500","11.57","0.00","1.93","7.71","4.0000","0","NO"
"238","2016-17","29","0","1","0.0000","3.60","5","0","0","0","3","5.0","6","2","2","0","1","8","1.400","10.80","0.00","1.80","14.40","8.0000","0","NO"
"239","2016-17","34","0","0","","8.44","7","0","0","0","0","5.1","7","5","5","1","1","6","1.500","11.81","1.69","1.69","10.13","6.0000","0","NO"
"240","2016-17","22","0","0","","6.23","5","0","0","0","0","4.1","6","3","3","0","3","4","2.077","12.46","0.00","6.23","8.31","1.3333","0","NO"
"241","2016-17","21","0","0","","0.00","4","0","0","0","0","4.1","2","0","0","0","2","4","0.923","4.15","0.00","4.15","8.31","2.0000","0","NO"
"242","2016-17","34","1","1","0.5000","6.57","5","3","0","0","0","12.1","14","10","9","2","7","4","1.703","10.22","1.46","5.11","2.92","0.5714","0","NO"
"243","2016-17","27","0","1","0.0000","3.86","3","0","0","0","0","2.1","3","1","1","1","1","3","1.714","11.57","3.86","3.86","11.57","3.0000","0","NO"
"244","2016-17","31","0","0","","12.46","6","0","0","0","0","4.1","6","6","6","2","4","3","2.308","12.46","4.15","8.31","6.23","0.7500","0","NO"
"245","2016-17","27","0","1","0.0000","15.43","2","0","0","0","0","2.1","4","4","4","0","1","3","2.143","15.43","0.00","3.86","11.57","3.0000","0","SI"
"246","2016-17","28","0","1","0.0000","3.18","1","1","0","0","0","5.2","7","2","2","0","4","3","1.941","11.12","0.00","6.35","4.76","0.7500","0","SI"
"247","2016-17","26","1","0","1.0000","8.10","8","0","0","0","0","3.1","7","3","3","0","1","3","2.400","18.90","0.00","2.70","8.10","3.0000","0","NO"
"248","2016-17","26","0","0","","15.75","7","0","0","0","0","4.0","9","7","7","1","4","2","3.250","20.25","2.25","9.00","4.50","0.5000","0","NO"
"249","2016-17","23","0","0","","18.00","1","0","0","0","0","2.0","3","4","4","1","3","2","3.000","13.50","4.50","13.50","9.00","0.6667","0","NO"
"250","2016-17","28","0","0","","5.79","5","0","0","0","0","4.2","3","3","3","1","4","2","1.500","5.79","1.93","7.71","3.86","0.5000","0","NO"
"251","2016-17","30","0","0","","5.00","3","3","0","0","0","9.0","14","5","5","1","7","1","2.333","14.00","1.00","7.00","1.00","0.1429","0","NO"
"252","2016-17","31","0","0","","3.86","3","0","0","0","0","2.1","3","1","1","0","2","1","2.143","11.57","0.00","7.71","3.86","0.5000","0","NO"
"253","2016-17","23","0","0","","4.15","5","1","0","0","0","4.1","3","2","2","0","5","1","1.846","6.23","0.00","10.38","2.08","0.2000","0","NO"
"254","2016-17","25","0","0","","10.38","6","0","0","0","0","4.1","5","5","5","0","5","1","2.308","10.38","0.00","10.38","2.08","0.2000","0","NO"
"255","2016-17","23","0","0","","15.00","4","0","0","0","0","3.0","5","5","5","1","6","1","3.667","15.00","3.00","18.00","3.00","0.1667","0","NO"
"256","2016-17","24","0","0","","0.00","1","0","0","0","0","1.2","1","0","0","0","1","1","1.200","5.40","0.00","5.40","5.40","1.0000","0","SI"
"257","2016-17","34","0","0","","13.50","3","0","0","0","0","2.2","4","4","4","1","4","1","3.000","13.50","3.38","13.50","3.38","0.2500","0","NO"
"258","2016-17","28","0","1","0.0000","135.00","1","1","0","0","0","0.1","2","5","5","1","3","0","15.000","54.00","27.00","81.00","0.00","0.0000","0","SI"
"259","2016-17","27","0","0","","13.50","1","0","0","0","0","0.2","2","1","1","0","0","0","3.000","27.00","0.00","0.00","0.00","","0","NO"
"260","2016-17","32","1","0","1.0000","9.82","6","0","0","0","0","3.2","3","4","4","0","7","0","2.727","7.36","0.00","17.18","0.00","0.0000","0","NO"
