"N","Player id","Temporada","Fecha","Juego","Equipo","Posicion","Orden_bat","Jugador","AB","R","H","2B","3B","HR","RBI","BB","SO","LOB","AVE","Estadio","oponente","ronda",,
878,"sosjun001","2021-22","14/12/2021",42,"Tiburones de la Guaira","DH",7,"Junior Sosa ",4,0,0,0,0,0,0,0,1,3,0.267,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
879,"cumgre001","2021-22","14/12/2021",42,"Tiburones de la Guaira","2B",8,"Grenny Cumana ",3,0,1,0,0,0,0,0,0,1,0.125,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
880,"lujjes001","2021-22","14/12/2021",42,"Tiburones de la Guaira","CF",9,"Jesus Lujano ",3,0,0,0,0,0,0,0,2,1,0.233,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
881,,"2021-22","14/12/2021",42,"Bravos de Margarita","2B",1,"Dilson Herrera ",4,0,0,0,0,0,0,0,0,3,0.233,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
882,,"2021-22","14/12/2021",42,"Bravos de Margarita","RF",2,"Diego Rincones ",3,1,1,0,0,0,0,1,0,1,0.331,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
883,,"2021-22","14/12/2021",42,"Bravos de Margarita","CF",3,"Ramón Flores ",3,3,2,2,0,0,0,1,0,1,0.433,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
884,,"2021-22","14/12/2021",42,"Bravos de Margarita","1B",4,"Carlos Pérez ",4,0,1,0,0,0,1,0,0,3,0.369,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
885,,"2021-22","14/12/2021",42,"Bravos de Margarita","C",5,"David Rodríguez ",4,2,2,0,0,0,2,0,2,0,0.283,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
886,,"2021-22","14/12/2021",42,"Bravos de Margarita","LF",6,"Frank Diaz ",4,1,2,0,0,1,2,0,1,0,0.316,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
887,,"2021-22","14/12/2021",42,"Bravos de Margarita","LF",,"Omar Carrizales ",0,0,0,0,0,0,0,0,0,0,0.154,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
888,,"2021-22","14/12/2021",42,"Bravos de Margarita","SS",7,"Jose Martinez ",4,0,2,1,0,0,2,0,1,0,0.29,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
889,,"2021-22","14/12/2021",42,"Bravos de Margarita","DH",8,"Dennis Ortega ",4,1,1,1,0,0,0,0,2,3,0.217,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
890,,"2021-22","14/12/2021",42,"Bravos de Margarita","3B",9,"Luis Castro ",3,0,0,0,0,0,0,1,1,3,0.212,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
891,,"2021-22","15/12/2021",43,"Leones del Caracas","SS-2B",1,"Wilfredo Tovar ",4,1,2,0,0,0,0,0,0,0,0.382,"Estadio Universitario","Tiburones de la Guaira","regular",,
892,,"2021-22","15/12/2021",43,"Leones del Caracas","DH",2,"Yosmany Guerra ",4,0,0,0,0,0,0,0,1,3,0.331,"Estadio Universitario","Tiburones de la Guaira","regular",,
893,,"2021-22","15/12/2021",43,"Leones del Caracas","1B",3,"Alexander Palma ",4,0,2,0,0,0,1,0,0,0,0.322,"Estadio Universitario","Tiburones de la Guaira","regular",,
894,,"2021-22","15/12/2021",43,"Leones del Caracas","CF",,"Angel Aponte ",0,0,0,0,0,0,0,0,0,0,0.281,"Estadio Universitario","Tiburones de la Guaira","regular",,
895,,"2021-22","15/12/2021",43,"Leones del Caracas","LF-1B",4,"Aldrem Corredor ",4,1,1,0,0,0,1,0,0,3,0.331,"Estadio Universitario","Tiburones de la Guaira","regular",,
896,,"2021-22","15/12/2021",43,"Leones del Caracas","RF-LF",5,"José Rondón ",3,1,1,0,0,1,2,1,0,1,0.272,"Estadio Universitario","Tiburones de la Guaira","regular",,
897,,"2021-22","15/12/2021",43,"Leones del Caracas","3B",6,"Ronny Cedeno ",4,0,0,0,0,0,0,0,3,1,0.268,"Estadio Universitario","Tiburones de la Guaira","regular",,
898,,"2021-22","15/12/2021",43,"Leones del Caracas","2B",7,"Cesar Valera ",3,0,0,0,0,0,0,0,2,1,0.278,"Estadio Universitario","Tiburones de la Guaira","regular",,
899,,"2021-22","15/12/2021",43,"Leones del Caracas","SS",,"Antonio Pinero ",1,0,0,0,0,0,0,0,1,0,0.071,"Estadio Universitario","Tiburones de la Guaira","regular",,
900,,"2021-22","15/12/2021",43,"Leones del Caracas","CF-RF",8,"Anthony Jimenez ",4,0,1,0,0,0,0,0,1,1,0.276,"Estadio Universitario","Tiburones de la Guaira","regular",,
901,,"2021-22","15/12/2021",43,"Leones del Caracas","C",9,"Jhonny Pereda ",3,1,1,1,0,0,0,0,0,1,0.295,"Estadio Universitario","Tiburones de la Guaira","regular",,
902,"cedlor001","2021-22","15/12/2021",43,"Tiburones de la Guaira","RF",1,"Lorenzo Cedrola ",4,0,1,0,0,0,0,0,0,2,0.245,"Estadio Universitario","Leones del Caracas","regular",,
903,"duredg001","2021-22","15/12/2021",43,"Tiburones de la Guaira","3B",2,"Edgar Duran ",4,0,0,0,0,0,0,0,1,2,0.291,"Estadio Universitario","Leones del Caracas","regular",,
904,"marjos002","2021-22","15/12/2021",43,"Tiburones de la Guaira","1B",3,"José Martínez ",4,1,2,0,0,0,0,0,0,0,0.292,"Estadio Universitario","Leones del Caracas","regular",,
905,"vasdan001","2021-22","15/12/2021",43,"Tiburones de la Guaira","DH",4,"Danry Vasquez ",4,0,2,0,0,0,0,0,1,1,0.257,"Estadio Universitario","Leones del Caracas","regular",,
906,"melkel001","2021-22","15/12/2021",43,"Tiburones de la Guaira","SS",5,"Kelvin Melean ",4,0,0,0,0,0,0,0,0,3,0.263,"Estadio Universitario","Leones del Caracas","regular",,
907,"torjun001","2021-22","15/12/2021",43,"Tiburones de la Guaira","C",6,"Juan Torres ",4,0,4,1,0,0,0,0,0,0,0.227,"Estadio Universitario","Leones del Caracas","regular",,
908,"marteo001","2021-22","15/12/2021",43,"Tiburones de la Guaira","LF",7,"Teodoro Martinez ",4,0,0,0,0,0,0,0,0,4,0.267,"Estadio Universitario","Leones del Caracas","regular",,
909,"cumgre001","2021-22","15/12/2021",43,"Tiburones de la Guaira","2B",8,"Grenny Cumana ",4,1,1,1,0,0,0,0,1,0,0.167,"Estadio Universitario","Leones del Caracas","regular",,
910,"lujjes001","2021-22","15/12/2021",43,"Tiburones de la Guaira","CF",9,"Jesus Lujano ",3,0,1,1,0,0,0,0,0,1,0.242,"Estadio Universitario","Leones del Caracas","regular",,
911,"cedlor001","2021-22","16/12/2021",44,"Tiburones de la Guaira","RF",1,"Lorenzo Cedrola ",4,0,0,0,0,0,0,0,0,0,0.235,"Estadio Universitario","Cardenales de Lara","regular",,
912,"melkel001","2021-22","16/12/2021",44,"Tiburones de la Guaira","SS",2,"Kelvin Melean ",4,0,0,0,0,0,0,0,0,2,0.238,"Estadio Universitario","Cardenales de Lara","regular",,
913,"marjos002","2021-22","16/12/2021",44,"Tiburones de la Guaira","1B",3,"José Martínez ",3,0,0,0,0,0,0,1,0,0,0.275,"Estadio Universitario","Cardenales de Lara","regular",,
914,"torjun001","2021-22","16/12/2021",44,"Tiburones de la Guaira","3B",4,"Juan Torres ",4,0,0,0,0,0,0,0,1,1,0.214,"Estadio Universitario","Cardenales de Lara","regular",,
915,"duredg001","2021-22","16/12/2021",44,"Tiburones de la Guaira","2B",5,"Edgar Duran ",3,0,1,0,0,0,0,0,0,0,0.293,"Estadio Universitario","Cardenales de Lara","regular",,
916,"marteo001","2021-22","16/12/2021",44,"Tiburones de la Guaira","LF",6,"Teodoro Martinez ",3,0,0,0,0,0,0,0,0,1,0.26,"Estadio Universitario","Cardenales de Lara","regular",,
917,"perjai001","2021-22","16/12/2021",44,"Tiburones de la Guaira","DH",7,"Jairo Perez ",1,0,0,0,0,0,0,0,1,0,0.258,"Estadio Universitario","Cardenales de Lara","regular",,
918,"reyren001","2021-22","16/12/2021",44,"Tiburones de la Guaira","PH-DH",7,"Rene Reyes ",2,0,0,0,0,0,0,0,2,0,0.286,"Estadio Universitario","Cardenales de Lara","regular",,
919,"bragab001","2021-22","16/12/2021",44,"Tiburones de la Guaira","C",8,"Gabriel Bracamonte ",3,0,0,0,0,0,0,0,2,0,0,"Estadio Universitario","Cardenales de Lara","regular",,
920,"lujjes001","2021-22","16/12/2021",44,"Tiburones de la Guaira","CF",9,"Jesus Lujano ",3,1,1,1,0,0,0,0,0,0,0.25,"Estadio Universitario","Cardenales de Lara","regular",,
921,,"2021-22","16/12/2021",44,"Cardenales de Lara","2B",1,"Ildemaro Vargas ",4,2,2,0,0,0,0,1,1,2,0.321,"Estadio Universitario","Tiburones de la Guaira","regular",,
922,,"2021-22","16/12/2021",44,"Cardenales de Lara","CF",2,"Gorkys Hernández ",5,1,2,0,0,1,3,0,0,2,0.296,"Estadio Universitario","Tiburones de la Guaira","regular",,
923,,"2021-22","16/12/2021",44,"Cardenales de Lara","RF",3,"Yordanys Linares ",4,1,2,0,0,0,0,1,1,0,0.316,"Estadio Universitario","Tiburones de la Guaira","regular",,
924,,"2021-22","16/12/2021",44,"Cardenales de Lara","3B-1B",4,"Carlos Rivero ",3,0,1,0,0,0,1,2,0,3,0.293,"Estadio Universitario","Tiburones de la Guaira","regular",,
925,,"2021-22","16/12/2021",44,"Cardenales de Lara","DH",5,"Gabriel Moreno ",3,0,1,0,0,0,0,1,0,2,0.283,"Estadio Universitario","Tiburones de la Guaira","regular",,
926,,"2021-22","16/12/2021",44,"Cardenales de Lara","1B",6,"Pedro Castellanos ",4,0,2,0,0,0,0,0,0,2,0.304,"Estadio Universitario","Tiburones de la Guaira","regular",,
927,,"2021-22","16/12/2021",44,"Cardenales de Lara","LF",,"Jecksson Flores ",0,0,0,0,0,0,0,0,0,0,0.305,"Estadio Universitario","Tiburones de la Guaira","regular",,
928,,"2021-22","16/12/2021",44,"Cardenales de Lara","C",7,"Ali Sánchez ",4,0,0,0,0,0,0,0,0,6,0.284,"Estadio Universitario","Tiburones de la Guaira","regular",,
929,,"2021-22","16/12/2021",44,"Cardenales de Lara","SS",8,"Juniel Querecuto ",4,1,1,1,0,0,0,0,1,0,0.236,"Estadio Universitario","Tiburones de la Guaira","regular",,
930,,"2021-22","16/12/2021",44,"Cardenales de Lara","LF-3B",9,"Jermaine Palacios ",4,1,2,0,0,0,1,0,0,0,0.336,"Estadio Universitario","Tiburones de la Guaira","regular",,
931,"cedlor001","2021-22","17/12/2021",45,"Tiburones de la Guaira","CF",1,"Lorenzo Cedrola ",5,1,1,1,0,0,0,0,2,5,0.233,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",,
932,"vasdan001","2021-22","17/12/2021",45,"Tiburones de la Guaira","RF",2,"Danry Vasquez ",4,0,0,0,0,0,0,0,2,2,0.25,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",,
933,"marjos002","2021-22","17/12/2021",45,"Tiburones de la Guaira","1B",3,"José Martínez ",3,1,1,0,0,0,1,1,0,0,0.278,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",,
934,"torjun001","2021-22","17/12/2021",45,"Tiburones de la Guaira","C",4,"Juan Torres ",3,0,0,0,0,0,0,1,0,2,0.205,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",,
935,"duredg001","2021-22","17/12/2021",45,"Tiburones de la Guaira","3B",5,"Edgar Duran ",4,0,2,0,0,0,0,0,1,2,0.302,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",,
936,"sosjun001","2021-22","17/12/2021",45,"Tiburones de la Guaira","LF",6,"Junior Sosa ",4,1,0,0,0,0,1,0,0,4,0.258,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",,
937,"guzjes001","2021-22","17/12/2021",45,"Tiburones de la Guaira","DH",7,"Jesus Guzman ",4,0,1,0,0,0,0,0,2,0,0.258,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",,
938,"melkel001","2021-22","17/12/2021",45,"Tiburones de la Guaira","SS",8,"Kelvin Melean ",4,0,1,0,0,0,1,0,1,0,0.239,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",,
939,"cumgre001","2021-22","17/12/2021",45,"Tiburones de la Guaira","2B",9,"Grenny Cumana ",3,0,2,1,0,0,0,0,0,0,0.267,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",,
940,"rodkey001","2021-22","17/12/2021",45,"Tiburones de la Guaira","2B",9,"Keyber Rodriguez ",1,0,1,0,0,0,0,0,0,0,0.111,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara","regular",,
941,,"2021-22","17/12/2021",45,"Cardenales de Lara","2B",1,"Ildemaro Vargas ",5,0,2,0,0,0,0,0,0,3,0.323,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira","regular",,
942,,"2021-22","17/12/2021",45,"Cardenales de Lara","CF",2,"Gorkys Hernández ",4,0,1,0,0,0,1,1,1,2,0.295,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira","regular",,
943,,"2021-22","17/12/2021",45,"Cardenales de Lara","RF",3,"Yordanys Linares ",5,0,0,0,0,0,0,0,0,5,0.307,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira","regular",,
944,,"2021-22","17/12/2021",45,"Cardenales de Lara","C",4,"William Contreras ",3,0,1,1,0,0,0,1,1,3,0.204,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira","regular",,
945,,"2021-22","17/12/2021",45,"Cardenales de Lara","DH",5,"Gabriel Moreno ",4,0,2,0,0,0,0,0,1,3,0.298,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira","regular",,
946,,"2021-22","17/12/2021",45,"Cardenales de Lara","LF",6,"Pedro Castellanos ",4,1,3,0,0,1,1,0,0,2,0.319,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira","regular",,
947,,"2021-22","17/12/2021",45,"Cardenales de Lara","3B",7,"Jecksson Flores ",3,0,0,0,0,0,0,0,0,3,0.296,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira","regular",,
948,,"2021-22","17/12/2021",45,"Cardenales de Lara","1B",8,"Ali Sánchez ",4,1,2,1,0,0,0,0,1,2,0.292,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira","regular",,
949,,"2021-22","17/12/2021",45,"Cardenales de Lara","SS",9,"Leonel Valera ",3,0,1,1,0,0,0,0,2,2,0.286,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira","regular",,
950,,"2021-22","17/12/2021",45,"Cardenales de Lara","PH",,"Carlos Rivero ",1,0,0,0,0,0,0,0,0,1,0.291,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira","regular",,
951,,"2021-22","18/12/2021",46,"Bravos de Margarita","DH",1,"Tomas Morales ",4,1,1,0,0,0,1,1,0,3,0.279,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
952,,"2021-22","18/12/2021",46,"Bravos de Margarita","C",2,"David Rodríguez ",4,2,1,0,0,0,0,1,2,2,0.286,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
953,,"2021-22","18/12/2021",46,"Bravos de Margarita","LF",3,"Ramón Flores ",2,1,1,1,0,0,1,3,0,1,0.422,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
954,,"2021-22","18/12/2021",46,"Bravos de Margarita","1B",4,"Carlos Pérez ",3,0,0,0,0,0,1,1,0,2,0.321,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
955,,"2021-22","18/12/2021",46,"Bravos de Margarita","RF",5,"Diego Rincones ",5,1,3,0,0,0,2,0,0,2,0.345,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
956,"NA","2021-22","18/12/2021",46,"Bravos de Margarita","3B",6,"Adonis García ",5,1,1,0,0,1,2,0,1,4,0.2,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
957,,"2021-22","18/12/2021",46,"Bravos de Margarita","2B",7,"Luis Castro ",4,1,1,0,0,0,0,1,1,1,0.227,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
958,,"2021-22","18/12/2021",46,"Bravos de Margarita","SS",8,"Jose Martinez ",3,0,0,0,0,0,0,2,0,3,0.269,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
959,,"2021-22","18/12/2021",46,"Bravos de Margarita","CF",9,"Reinaldo Ilarraza ",4,0,1,0,0,0,0,1,1,3,0.22,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
960,"cedlor001","2021-22","18/12/2021",46,"Tiburones de la Guaira","CF",1,"Lorenzo Cedrola ",5,1,2,1,0,0,0,0,1,3,0.241,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
961,"vasdan001","2021-22","18/12/2021",46,"Tiburones de la Guaira","RF",2,"Danry Vasquez ",4,0,2,0,0,0,2,0,1,0,0.256,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
962,"lujjes001","2021-22","18/12/2021",46,"Tiburones de la Guaira","RF",2,"Jesus Lujano ",0,0,0,0,0,0,0,0,0,0,0.25,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
963,"marjos002","2021-22","18/12/2021",46,"Tiburones de la Guaira","1B",3,"José Martínez ",3,0,1,0,0,0,1,0,1,3,0.281,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
964,"rodkey001","2021-22","18/12/2021",46,"Tiburones de la Guaira","2B",3,"Keyber Rodriguez ",1,0,0,0,0,0,0,0,1,0,0.105,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
965,"torjun001","2021-22","18/12/2021",46,"Tiburones de la Guaira","3B-1B",4,"Juan Torres ",4,0,0,0,0,0,0,1,1,2,0.195,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
966,"duredg001","2021-22","18/12/2021",46,"Tiburones de la Guaira","2B-3B",5,"Edgar Duran ",5,0,0,0,0,0,0,0,1,4,0.286,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
967,"sosjun001","2021-22","18/12/2021",46,"Tiburones de la Guaira","DH",6,"Junior Sosa ",4,1,0,0,0,0,0,1,1,2,0.25,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
968,"melkel001","2021-22","18/12/2021",46,"Tiburones de la Guaira","SS",7,"Kelvin Melean ",4,2,2,1,0,0,1,0,0,0,0.26,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
969,"marteo001","2021-22","18/12/2021",46,"Tiburones de la Guaira","LF",8,"Teodoro Martinez ",4,1,3,0,0,0,0,0,0,1,0.276,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
970,"bragab001","2021-22","18/12/2021",46,"Tiburones de la Guaira","C",9,"Gabriel Bracamonte ",4,0,2,1,0,0,1,0,2,3,0.286,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
971,,"2021-22","19/12/2021",47,"Caribes de Anzoategui","CF",1,"Herlis Rodriguez ",4,1,0,0,0,0,0,0,0,0,0.291,"Estadio Universitario","Tiburones de la Guaira","regular",,
972,,"2021-22","19/12/2021",47,"Caribes de Anzoategui","2B",2,"Asdrúbal Cabrera ",5,2,2,1,0,0,1,0,1,0,0.36,"Estadio Universitario","Tiburones de la Guaira","regular",,
973,,"2021-22","19/12/2021",47,"Caribes de Anzoategui","3B",3,"Niuman Romero ",2,1,1,0,0,0,1,1,0,0,0.37,"Estadio Universitario","Tiburones de la Guaira","regular",,
974,,"2021-22","19/12/2021",47,"Caribes de Anzoategui","LF",,"Eduardo Diaz ",2,0,1,0,0,0,0,0,1,0,0.297,"Estadio Universitario","Tiburones de la Guaira","regular",,
975,,"2021-22","19/12/2021",47,"Caribes de Anzoategui","DH",4,"Balbino Fuenmayor ",5,1,2,1,0,0,2,0,0,1,0.374,"Estadio Universitario","Tiburones de la Guaira","regular",,
976,,"2021-22","19/12/2021",47,"Caribes de Anzoategui","RF",5,"Victor Reyes ",4,1,1,0,0,1,3,0,0,0,0.324,"Estadio Universitario","Tiburones de la Guaira","regular",,
977,,"2021-22","19/12/2021",47,"Caribes de Anzoategui","LF-3B",6,"Willians Astudillo ",4,1,1,0,0,0,0,0,0,0,0.275,"Estadio Universitario","Tiburones de la Guaira","regular",,
978,,"2021-22","19/12/2021",47,"Caribes de Anzoategui","1B",7,"Tomás Telis ",4,0,1,0,0,0,0,0,0,0,0.349,"Estadio Universitario","Tiburones de la Guaira","regular",,
979,,"2021-22","19/12/2021",47,"Caribes de Anzoategui","SS",8,"Heiker Meneses ",2,1,0,0,0,0,1,1,1,0,0.234,"Estadio Universitario","Tiburones de la Guaira","regular",,
980,,"2021-22","19/12/2021",47,"Caribes de Anzoategui","C",9,"Jesús Sucre ",4,2,2,1,0,1,2,0,0,1,0.277,"Estadio Universitario","Tiburones de la Guaira","regular",,
981,"cedlor001","2021-22","19/12/2021",47,"Tiburones de la Guaira","CF",1,"Lorenzo Cedrola ",3,1,1,0,0,0,1,1,0,1,0.243,"Estadio Universitario","Caribes de Anzoategui","regular",,
982,"vasdan001","2021-22","19/12/2021",47,"Tiburones de la Guaira","RF",2,"Danry Vasquez ",4,0,0,0,0,0,0,1,1,1,0.25,"Estadio Universitario","Caribes de Anzoategui","regular",,
983,"marjos002","2021-22","19/12/2021",47,"Tiburones de la Guaira","DH",3,"José Martínez ",4,0,1,0,0,0,0,0,2,0,0.279,"Estadio Universitario","Caribes de Anzoategui","regular",,
984,"torjun001","2021-22","19/12/2021",47,"Tiburones de la Guaira","1B",4,"Juan Torres ",3,2,2,0,0,0,1,0,0,0,0.213,"Estadio Universitario","Caribes de Anzoategui","regular",,
985,"duredg001","2021-22","19/12/2021",47,"Tiburones de la Guaira","3B",5,"Edgar Duran ",4,2,2,1,0,0,0,0,0,2,0.295,"Estadio Universitario","Caribes de Anzoategui","regular",,
986,"marteo001","2021-22","19/12/2021",47,"Tiburones de la Guaira","LF",6,"Teodoro Martinez ",4,1,2,1,0,0,3,0,0,1,0.282,"Estadio Universitario","Caribes de Anzoategui","regular",,
987,"melkel001","2021-22","19/12/2021",47,"Tiburones de la Guaira","SS",7,"Kelvin Melean ",4,1,2,0,0,0,0,0,0,1,0.278,"Estadio Universitario","Caribes de Anzoategui","regular",,
988,"bragab001","2021-22","19/12/2021",47,"Tiburones de la Guaira","C",8,"Gabriel Bracamonte ",4,1,2,1,0,0,1,0,0,2,0.364,"Estadio Universitario","Caribes de Anzoategui","regular",,
989,"varjer001","2021-22","19/12/2021",47,"Tiburones de la Guaira","2B",9,"Jheremy Vargas ",2,0,0,0,0,0,1,1,1,2,0,"Estadio Universitario","Caribes de Anzoategui","regular",,
990,"cedlor001","2021-22","21/12/2021",48,"Tiburones de la Guaira","LF",1,"Lorenzo Cedrola ",5,0,2,0,0,0,0,0,0,1,0.25,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
991,"vasdan001","2021-22","21/12/2021",48,"Tiburones de la Guaira","DH",2,"Danry Vasquez ",5,1,2,0,0,0,0,0,0,1,0.254,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
992,"marjos002","2021-22","21/12/2021",48,"Tiburones de la Guaira","RF",3,"José Martínez ",5,1,3,0,0,0,0,0,0,1,0.303,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
993,"torjun001","2021-22","21/12/2021",48,"Tiburones de la Guaira","1B",4,"Juan Torres ",2,1,1,0,0,0,1,1,1,1,0.22,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
994,"duredg001","2021-22","21/12/2021",48,"Tiburones de la Guaira","3B",5,"Edgar Duran ",3,0,0,0,0,0,0,1,0,3,0.286,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
995,"melkel001","2021-22","21/12/2021",48,"Tiburones de la Guaira","SS",6,"Kelvin Melean ",3,0,1,0,0,0,1,1,1,1,0.281,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
996,"bragab001","2021-22","21/12/2021",48,"Tiburones de la Guaira","C",7,"Gabriel Bracamonte ",4,0,0,0,0,0,0,0,2,5,0.267,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
997,"varjer001","2021-22","21/12/2021",48,"Tiburones de la Guaira","2B",8,"Jheremy Vargas ",3,1,0,0,0,0,0,1,2,4,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
998,"lujjes001","2021-22","21/12/2021",48,"Tiburones de la Guaira","CF",9,"Jesus Lujano ",4,0,1,0,1,0,1,0,1,0,0.25,"Estadio Forum de La Guaira","Bravos de Margarita","regular",,
999,,"2021-22","21/12/2021",48,"Bravos de Margarita","CF-RF",1,"Omar Carrizales ",4,2,1,0,0,1,2,0,0,1,0.188,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1000,,"2021-22","21/12/2021",48,"Bravos de Margarita","C",2,"David Rodríguez ",3,2,1,0,0,0,1,1,1,0,0.282,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1001,,"2021-22","21/12/2021",48,"Bravos de Margarita","LF",3,"Ramón Flores ",3,2,1,1,0,0,0,2,1,3,0.416,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1002,,"2021-22","21/12/2021",48,"Bravos de Margarita","RF",4,"Diego Rincones ",3,1,1,1,0,0,3,0,0,1,0.344,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1003,,"2021-22","21/12/2021",48,"Bravos de Margarita","CF",,"Reinaldo Ilarraza ",1,0,0,0,0,0,0,0,0,1,0.216,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1004,"NA","2021-22","21/12/2021",48,"Bravos de Margarita","3B",5,"Adonis García ",4,0,3,1,0,0,2,0,0,0,0.292,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1005,,"2021-22","21/12/2021",48,"Bravos de Margarita","2B",6,"Luis Castro ",3,0,2,1,0,0,2,1,1,1,0.238,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1006,,"2021-22","21/12/2021",48,"Bravos de Margarita","SS",7,"Jose Martinez ",5,0,0,0,0,0,0,0,0,8,0.261,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1007,,"2021-22","21/12/2021",48,"Bravos de Margarita","DH",8,"Frank Diaz ",3,2,1,0,0,0,0,1,1,2,0.28,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1008,,"2021-22","21/12/2021",48,"Bravos de Margarita","1B",9,"Dennis Ortega ",3,2,0,0,0,0,0,1,1,1,0.217,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1009,,"2021-22","22/12/2021",49,"Bravos de Margarita","CF-LF",1,"Omar Carrizales ",6,1,0,0,0,0,1,0,3,6,0.158,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1010,,"2021-22","22/12/2021",49,"Bravos de Margarita","C",2,"David Rodríguez ",3,2,1,0,1,0,1,2,1,2,0.282,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1011,,"2021-22","22/12/2021",49,"Bravos de Margarita","RF",3,"Ramón Flores ",3,0,1,0,0,0,1,1,0,1,0.414,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1012,,"2021-22","22/12/2021",49,"Bravos de Margarita","DH",4,"Diego Rincones ",4,0,1,0,0,0,1,0,0,2,0.342,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
1013,,"2021-22","22/12/2021",49,"Bravos de Margarita","PR-DH",,"Raul Rivas ",0,1,0,0,0,0,0,0,0,0,0.5,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular",,
