"","years","jugador","edad","g","ab","X5","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo"
"667","1988-89","R. Garces","22","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"668","1989-90","R. Garces","23","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"669","1991-92","R. Garces","25","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"670","1971-72","R. Gardner","27","2","","2","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"671","2009-10","R. Giron","33","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"672","1974-75","R. Harrison","28","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"673","1977-78","R. Harrison","31","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"674","1966-67","R. Hermoso","19","6","","19","2","7","0","0","0","3","1","","","",".368","",".368",".000","","7","0","","","","NO"
"675","1969-70","R. Hermoso","22","4","","13","4","6","0","0","1","2","0","","","",".462","",".692",".000","","9","1","","","","NO"
"676","1970-71","R. Hermoso","23","3","","13","0","4","1","0","0","2","0","","","",".308","",".385",".000","","5","1","","","","NO"
"677","1971-72","R. Hermoso","24","7","","26","3","7","2","0","0","1","1","","","",".269","",".346",".000","","9","2","","","","NO"
"678","1972-73","R. Hermoso","25","6","","27","2","12","1","0","0","3","0","","","",".444","",".481",".000","","13","1","","","","NO"
"679","1974-75","R. Hermoso","27","5","","20","2","6","1","0","0","2","0","","","",".300","",".350",".000","","7","1","","","","NO"
"680","1979-80","R. Jackson","25","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"681","1982-83","R. Jackson","29","6","","21","0","5","0","0","0","3","0","","","",".238","",".238",".000","","5","0","","","","NO"
"682","2014-15","R. Kussmaul","28","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"683","2015-16","R. Kussmaul","29","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"684","1986-87","R. Laya","27","2","","7","1","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"685","1988-89","R. Laya","29","6","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"686","1989-90","R. Laya","30","7","","1","1","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"687","2003-04","R. Laya","23","8","","12","5","1","0","0","0","0","0","","","",".083","",".083",".000","","1","0","","","","NO"
"688","2016-17","R. Lazo","27","2","","","","","","","","","","","","","","","","","","","","","","","SI"
"689","1980-81","R. Lisi","24","6","","20","0","4","0","0","0","0","1","","","",".200","",".200",".000","","4","0","","","","NO"
"690","1980-81","R. Mahler","27","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"691","1970-71","R. Marcano","19","1","","1","1","1","0","0","1","3","0","","","","1.000","","4.000",".000","","4","1","","","","NO"
"692","1971-72","R. Marcano","20","2","","2","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"693","1972-73","R. Marcano","21","1","","1","1","1","0","0","1","2","0","","","","1.000","","4.000",".000","","4","1","","","","NO"
"694","1974-75","R. Marcano","23","5","","19","2","4","0","0","1","1","0","","","",".211","",".368",".000","","7","1","","","","NO"
"695","1976-77","R. Marcano","25","4","","15","5","5","1","0","0","0","0","","","",".333","",".400",".000","","6","1","","","","NO"
"696","1977-78","R. Marcano","26","6","","21","4","6","0","0","2","2","0","","","",".286","",".571",".000","","12","2","","","","NO"
"697","1980-81","R. Marcano","29","6","","21","3","5","1","0","0","0","0","","","",".238","",".286",".000","","6","1","","","","NO"
"698","1982-83","R. Marcano","31","3","","5","0","1","0","0","0","0","0","","","",".200","",".200",".000","","1","0","","","","NO"
"699","1984-85","R. Marcano","33","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"700","2003-04","R. Marquez","30","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"701","2000-01","R. Marval","25","5","","11","0","4","1","0","0","3","0","","","",".364","",".455",".000","","5","1","","","","NO"
"702","2007-08","R. Mateo","29","14","61","53","3","16","4","0","1","7","0","0","5","16",".302",".377",".434",".811","8.7","23","5","2","0","1","NO"
"703","2007-08","R. Medina","21","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"704","2009-10","R. Medina","23","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"705","1977-78","R. Meoli","26","3","","2","0","2","0","0","0","0","0","","","","1.000","","1.000",".000","","2","0","","","","NO"
"706","2015-16","R. Mustelier","31","13","55","48","6","14","2","1","0","5","0","0","3","6",".292",".345",".375",".720","6.2","18","3","2","0","2","NO"
"707","1977-78","R. Nieman","22","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"708","1969-70","R. Nye","25","1","","2","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"709","1974-75","R. Office","22","5","","18","2","5","0","0","0","2","0","","","",".278","",".278",".000","","5","0","","","","NO"
"710","2000-01","R. Olmedo","19","11","","33","4","7","1","0","0","0","0","","","",".212","",".242",".000","","8","1","","","","NO"
"711","2003-04","R. Olmedo","22","7","","25","3","6","2","0","0","4","0","","","",".240","",".320",".000","","8","2","","","","NO"
"712","2011-12","R. Olmedo","30","11","12","11","1","3","0","0","0","1","0","0","1","2",".273",".333",".273",".606","1.0","3","0","0","0","0","NO"
"713","2013-14","R. Ortega","22","15","42","34","10","6","1","0","0","5","2","1","7","8",".176",".310",".206",".515","2.2","7","1","0","0","1","NO"
"714","2007-08","R. Osuna","22","4","12","9","1","2","0","0","0","0","0","1","3","1",".222",".417",".222",".639","0.8","2","0","0","0","0","NO"
"715","2008-09","R. Osuna","23","3","2","2","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","0.0","0","0","0","0","0","NO"
"716","2009-10","R. Osuna","24","16","56","50","8","13","4","0","0","3","3","1","4","5",".260",".309",".340",".649","5.3","17","4","0","1","1","NO"
"717","2011-12","R. Osuna","26","6","5","5","1","2","0","0","0","0","0","0","0","1",".400",".400",".400",".800","0.8","2","0","0","0","0","NO"
"718","2015-16","R. Padron","31","10","22","19","4","7","1","0","1","2","0","0","3","5",".368",".455",".579","1.033","5.0","11","2","0","0","0","NO"
"719","2007-08","R. Pérez","18","1","3","3","0","1","0","0","0","0","0","0","0","0",".333",".333",".333",".667","0.3","1","0","0","0","0","NO"
"720","2011-12","R. Pérez","22","1","1","1","0","1","0","0","0","0","0","0","0","0","1.000","1.000","1.000","2.000","1.0","1","0","0","0","0","NO"
"721","1979-80","R. Pérez Tovar","21","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"722","1981-82","R. Pérez Tovar","23","1","","4","0","1","0","0","0","0","0","","","",".250","",".250",".000","","1","0","","","","NO"
"723","1982-83","R. Pérez Tovar","24","3","","6","1","1","0","0","1","2","0","","","",".167","",".667",".000","","4","1","","","","NO"
"724","1983-84","R. Pérez Tovar","25","6","","20","3","4","0","0","0","3","0","","","",".200","",".200",".000","","4","0","","","","NO"
"725","1984-85","R. Pérez Tovar","26","6","","24","4","9","2","1","0","4","0","","","",".375","",".542",".000","","13","3","","","","NO"
"726","1985-86","R. Pérez Tovar","27","6","","22","5","10","2","1","0","6","0","","","",".455","",".636",".000","","14","3","","","","NO"
"727","1986-87","R. Pérez Tovar","28","5","","18","1","3","0","0","0","3","0","","","",".167","",".167",".000","","3","0","","","","NO"
"728","1988-89","R. Pérez Tovar","30","12","","43","9","13","3","0","1","7","1","","","",".302","",".442",".000","","19","4","","","","NO"
"729","1989-90","R. Pérez Tovar","31","12","","41","12","11","1","1","2","11","1","","","",".268","",".488",".000","","20","4","","","","NO"
"730","1991-92","R. Pérez Tovar","33","11","","44","3","10","2","0","0","4","0","","","",".227","",".273",".000","","12","2","","","","NO"
"731","2013-14","R. Pinto","31","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"732","2014-15","R. Pinto","32","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"733","2009-10","R. Ramírez","27","4","","","","","","","","","","","","","","","","","","","","","","","SI"
"734","2014-15","R. Ramírez","32","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"735","2015-16","R. Ramírez","33","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"736","2016-17","R. Ramírez","34","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"737","2013-14","R. Reyes","35","16","67","58","4","12","1","0","1","7","0","0","8","14",".207",".313",".276",".589","5.0","16","2","1","0","0","NO"
"738","2014-15","R. Reyes","36","16","62","51","10","18","5","0","1","6","0","1","10","6",".353",".452",".510",".961","11.8","26","6","0","0","1","NO"
"739","2009-10","R. Rivero","23","4","","","","","","","","","","","","","","","","","","","","","","","SI"
"740","2003-04","R. Salazar","22","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"741","2007-08","R. Salazar","26","7","","","","","","","","","","","","","","","","","","","","","","","NO"
"742","2008-09","R. Salazar","29","7","21","18","4","4","1","0","0","3","0","0","3","7",".222",".333",".278",".611","1.7","5","1","0","0","0","NO"
"743","2015-16","R. Silva","26","3","3","3","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","0.0","0","0","0","0","0","SI"
"744","1984-85","R. Siwy","31","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"745","1981-82","R. Smith","26","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"746","1969-70","R. Webster","27","4","","15","3","4","0","1","1","4","0","","","",".267","",".600",".000","","9","2","","","","NO"
"747","1983-84","S. Barnes","26","6","","20","1","3","1","0","1","1","1","","","",".150","",".350",".000","","7","2","","","","NO"
"748","1988-89","S. Clarke","28","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"749","2011-12","S. Escalona","27","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"750","2015-16","S. Escalona","31","7","","","","","","","","","","","","","","","","","","","","","","","NO"
"751","2016-17","S. Escalona","32","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"752","2003-04","S. Falteisek","31","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"753","1974-75","S. Jackson","0","1","","4","0","2","0","0","0","0","0","","","",".500","",".500",".000","","2","0","","","","NO"
"754","1989-90","S. Little","26","1","","3","0","1","0","0","0","0","1","","","",".333","",".333",".000","","1","0","","","","NO"
"755","1988-89","S. May","27","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"756","2011-12","S. Nin","31","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"757","1976-77","S. Patchin","0","4","","16","5","8","1","0","0","3","0","","","",".500","",".563",".000","","9","1","","","","NO"
"758","2011-12","S. Pomeranz","27","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"759","2007-08","S. Randolph","33","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"760","2008-09","S. Randolph","34","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"761","1976-77","T. Bradley","29","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"762","1984-85","T. Brizzolara","27","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"763","2011-12","T. Brummett","27","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"764","2013-14","T. Brummett","29","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"765","1976-77","T. Chevez","23","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"766","1966-67","T. Curry","29","6","","26","5","7","1","0","1","2","0","","","",".269","",".423",".000","","11","2","","","","NO"
"767","1981-82","T. Harper","26","4","","12","2","3","0","0","0","0","0","","","",".250","",".250",".000","","3","0","","","","NO"
"768","1974-75","T. House","27","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"769","1985-86","T. McCarthy","24","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"770","1977-78","T. McMillan","26","6","","17","0","6","0","1","0","1","0","","","",".353","",".471",".000","","8","1","","","","NO"
"771","1977-78","T. Moore","29","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"772","2000-01","T. Nunnari","25","16","","56","5","16","4","0","3","12","0","","","",".286","",".518",".000","","29","7","","","","NO"
"773","1982-83","T. Tellman","28","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"774","1989-90","T. Trafton","25","9","","30","2","8","0","0","2","6","0","","","",".267","",".467",".000","","14","2","","","","NO"
"775","2003-04","T. Wilson","26","16","","57","9","12","2","0","2","8","0","","","",".211","",".351",".000","","20","4","","","","NO"
"776","2008-09","V. Bonilla","30","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"777","2009-10","V. Bonilla","31","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"778","2009-10","V. Castillo","25","1","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","0.0","0","0","0","0","0","NO"
"779","1976-77","V. Colina","31","1","","3","1","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"780","1977-78","V. Colina","32","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"781","1979-80","V. Colina","34","2","","5","1","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"782","1980-81","V. Colina","35","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"783","1969-70","V. Davalillo","33","4","","15","1","4","0","0","0","0","0","","","",".267","",".267",".000","","4","0","","","","SI"
"784","2015-16","V. Garate","31","5","","","","","","","","","","","","","","","","","","","","","","","SI"
"785","2007-08","V. Hernández","22","1","4","4","0","1","0","0","0","0","0","0","0","1",".250",".250",".250",".500","0.3","1","0","0","0","0","NO"
"786","1970-71","V. Patino","20","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"787","2000-01","V. Valencia","23","12","","36","0","6","0","0","0","0","0","","","",".167","",".167",".000","","6","0","","","","NO"
"788","2003-04","V. Valencia","26","3","","9","1","3","0","0","0","0","0","","","",".333","",".333",".000","","3","0","","","","NO"
"789","2009-10","V. Zambrano","34","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"790","2015-16","W. Boscán","26","4","","","","","","","","","","","","","","","","","","","","","","","SI"
"791","2007-08","W. Collazo","28","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"792","1984-85","W. Flores","22","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"793","2014-15","W. Giménez","24","2","6","6","1","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","0.0","0","0","0","0","0","NO"
"794","2003-04","W. González","29","14","","49","7","17","4","0","3","8","0","","","",".347","",".612",".000","","30","7","","","","NO"
"795","2009-10","W. González","35","10","35","31","4","12","2","0","1","6","0","0","1","4",".387",".429",".548",".977","7.3","17","3","2","0","1","NO"
"796","1979-80","W. Krenchicki","25","7","","24","2","7","1","1","0","1","0","","","",".292","",".417",".000","","10","2","","","","NO"
"797","1980-81","W. Krenchicki","26","6","","20","5","8","1","0","1","6","0","","","",".400","",".600",".000","","12","2","","","","NO"
"798","1981-82","W. Krenchicki","27","2","","8","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"799","2000-01","W. Oropeza","25","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"800","2016-17","W. Pérez","31","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"801","2008-09","W. Romero","34","17","80","72","10","24","5","1","0","9","3","0","6","8",".333",".385",".431",".815","11.9","31","6","0","2","0","NO"
"802","2009-10","W. Romero","35","14","59","49","10","13","0","0","2","7","4","2","10","7",".265",".390",".388",".778","7.4","19","2","0","0","0","NO"
"803","2014-15","Y. Daza","20","7","29","24","2","4","2","0","0","1","0","0","1","7",".167",".231",".250",".481","1.4","6","2","1","3","0","NO"
"804","2015-16","Y. Daza","21","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","NO"
"805","2016-17","Y. Daza","22","9","22","22","3","9","2","0","0","3","0","0","0","4",".409",".409",".500",".909","4.5","11","2","0","0","0","NO"
"806","2000-01","Y. Naveda","32","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"807","2013-14","Y. Sánchez","21","11","53","47","11","9","4","0","0","6","1","0","4","5",".191",".264",".277",".541","3.4","13","4","1","0","1","NO"
"808","2014-15","Y. Sánchez","22","7","33","32","5","8","0","0","2","3","1","0","1","7",".250",".273",".438",".710","3.8","14","2","0","0","0","NO"
"809","2015-16","Y. Sánchez","23","5","23","21","5","9","1","0","3","10","1","0","1","4",".429",".435",".905","1.340","8.3","19","4","0","0","1","NO"
"810","2011-12","Z. Kroenke","27","2","","","","","","","","","","","","","","","","","","","","","","","NO"
