"","years","jugador","edad","g","ab","X5","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo"
"525","1982-83","L. Sánchez","29","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"526","1984-85","L. Sánchez","31","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"527","1985-86","L. Sánchez","32","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"528","1988-89","L. Sánchez","35","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"529","1989-90","L. Sánchez","36","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"530","2015-16","L. Sardiñas","22","13","63","59","15","23","6","1","1","8","0","1","4","5",".390",".429",".576","1.005","14.6","34","8","0","0","0","NO"
"531","1971-72","L. Tiant","31","2","","4","0","1","0","0","0","0","0","","","",".250","",".250",".000","","1","0","","","","NO"
"532","1972-73","L. Tiant","32","2","","5","0","0","0","0","0","1","0","","","",".000","",".000",".000","","0","0","","","","NO"
"533","1991-92","L. Vázquez","24","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"534","2014-15","L. Vizcaino","40","6","","","","","","","","","","","","","","","","","","","","","","","SI"
"535","2011-12","L. Walrond","35","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"536","1981-82","L. Whisenton","25","4","","13","0","3","0","0","0","1","0","","","",".231","",".231",".000","","3","0","","","","NO"
"537","2000-01","L. Wimberly","23","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"538","2008-09","M. Alfonzo","20","2","4","2","1","0","0","0","0","0","0","0","1","1",".000",".500",".000",".500","0.0","0","0","1","0","0","NO"
"539","2014-15","M. Antonini","29","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"540","2013-14","M. Arias","29","10","","","","","","","","","","","","","","","","","","","","","","","NO"
"541","1980-81","M. Armstrong","26","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"542","1981-82","M. Armstrong","27","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"543","2000-01","M. Busby","28","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"544","2000-01","M. Callaway","25","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"545","1991-92","M. Castellanos","22","1","","4","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"546","2003-04","M. Castillo","24","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"547","1976-77","M. Cubbage","26","4","","16","6","7","1","0","0","4","0","","","",".438","",".500",".000","","8","1","","","","NO"
"548","1977-78","M. Daly","0","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"549","1991-92","M. Davis","27","11","","38","7","8","1","0","0","2","1","","","",".211","",".237",".000","","9","1","","","","NO"
"550","1983-84","M. Decker","26","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"551","1965-66","M. Dominguez","0","3","","2","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"552","1979-80","M. Edwards","27","7","","25","1","4","1","0","0","1","2","","","",".160","",".200",".000","","5","1","","","","NO"
"553","1991-92","M. González","17","2","","4","0","0","0","0","0","1","0","","","",".000","",".000",".000","","0","0","","","","NO"
"554","2003-04","M. González","25","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"555","2009-10","M. González","19","1","4","4","0","1","0","0","0","0","0","0","0","2",".250",".250",".250",".500","0.3","1","0","0","0","0","NO"
"556","2013-14","M. González","23","5","15","13","3","4","0","0","1","2","0","0","2","2",".308",".400",".538",".938","2.8","7","1","0","0","0","NO"
"557","2014-15","M. González","24","4","5","5","0","1","0","0","0","0","0","0","0","0",".200",".200",".200",".400","0.2","1","0","0","0","0","NO"
"558","2015-16","M. González","25","5","6","5","2","1","0","0","0","0","0","0","1","3",".200",".333",".200",".533","0.3","1","0","0","0","0","NO"
"559","1991-92","M. Grater","27","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"560","2015-16","M. Hamburger","28","7","","","","","","","","","","","","","","","","","","","","","","","NO"
"561","1969-70","M. Hedlund","23","1","","3","0","1","0","0","0","1","0","","","",".333","",".333",".000","","1","0","","","","NO"
"562","1986-87","M. Henneman","25","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"563","2013-14","M. Hollands","25","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"564","1976-77","M. Kekich","31","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"565","1965-66","M. López","22","5","","7","1","3","0","1","0","2","0","","","",".429","",".714",".000","","5","1","","","","NO"
"566","1969-70","M. López","26","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"567","1974-75","M. Malave","21","3","","2","1","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"568","2013-14","M. Mendoza","34","5","","","","","","","","","","","","","","","","","","","","","","","NO"
