"","years","jugador","edad","w","l","w-l%","era","g","gs","cg","sho","sv","ip","h","r","er","hr","bb","so","ir","whip","h/9","hr/9","bb/9","so/9","so/bb","bk"
"297","1984-85","C. Hernández","20","0","1","0.0000","5.93","5","1","0","","0","13.2","17","","9","","11","5","56","2.049","11.20","","7.24","3.29","0.4545",""
"298","1984-85","J. Franco","19","0","0","","8.38","6","0","0","","0","9.2","13","","9","","7","4","40","2.069","12.10","","6.52","3.72","0.5714",""
"299","1984-85","R. Blanco","30","0","0","","10.38","3","0","0","","0","4.1","4","","5","","10","2","32","3.231","8.31","","20.77","4.15","0.2000",""
"300","1984-85","R. Siwy","31","0","0","","","1","0","0","","0","0.0","0","","0","","1","0","","","","","","","0.0000",""
"301","1985-86","O. Jones","32","7","4","0.6364","2.47","14","12","2","","0","91.0","81","","25","","39","70","132","1.319","8.01","","3.86","6.92","1.7949",""
"302","1985-86","P. Huffman","27","4","4","0.5000","2.24","13","12","0","","1","80.1","62","","20","","43","62","145","1.307","6.95","","4.82","6.95","1.4419",""
"303","1985-86","M. Trujillo","25","6","1","0.8571","2.69","10","10","4","","0","77.0","70","","23","","20","29","121","1.169","8.18","","2.34","3.39","1.4500",""
"304","1985-86","A. Hernández","31","5","3","0.6250","3.02","15","9","1","","1","65.2","69","","22","","15","24","108","1.279","9.46","","2.06","3.29","1.6000",""
"305","1985-86","T. McCarthy","24","2","7","0.2222","4.79","13","12","3","","1","67.2","72","","36","","49","23","68","1.788","9.58","","6.52","3.06","0.4694",""
"306","1985-86","D. Wyatt","0","1","3","0.2500","3.20","20","2","0","","5","45.0","50","","16","","18","21","102","1.511","10.00","","3.60","4.20","1.1667",""
"307","1985-86","L. Lunar","30","2","3","0.4000","3.22","18","2","1","","2","36.1","36","","13","","29","21","101","1.789","8.92","","7.18","5.20","0.7241",""
"308","1985-86","B. Clark","29","0","3","0.0000","5.64","9","4","0","","1","30.1","34","","19","","21","20","58","1.813","10.09","","6.23","5.93","0.9524",""
"309","1985-86","W. Flores","23","1","1","0.5000","4.41","6","2","0","","0","16.1","17","","8","","10","16","74","1.653","9.37","","5.51","8.82","1.6000",""
"310","1985-86","C. Hernández","21","0","1","0.0000","5.90","12","0","0","","1","29.0","35","","19","","24","10","55","2.034","10.86","","7.45","3.10","0.4167",""
"311","1985-86","L. Sánchez","32","3","3","0.5000","2.05","14","0","0","","1","22.0","23","","5","","11","8","159","1.545","9.41","","4.50","3.27","0.7273",""
"312","1985-86","J. Franco","20","0","0","","8.31","1","0","0","","0","4.1","7","","4","","2","1","39","2.077","14.54","","4.15","2.08","0.5000",""
"313","1985-86","J. Thereze","0","1","0","1.0000","2.45","2","0","0","","0","3.2","7","","1","","1","1","133","2.182","17.18","","2.45","2.45","1.0000",""
"314","1985-86","M. Bolanos","21","0","0","","81.00","1","0","0","","0","0.1","1","","3","","2","0","4","9.000","27.00","","54.00","0.00","0.0000",""
"315","1986-87","C. McMurtry","27","7","6","0.5385","4.78","15","14","1","","1","84.2","96","","45","","32","55","72","1.512","10.20","","3.40","5.85","1.7188",""
"316","1986-87","L. Lunar","31","5","6","0.4545","2.82","20","9","0","","1","83.0","66","","26","","42","32","122","1.301","7.16","","4.55","3.47","0.7619",""
"317","1986-87","C. Green","26","3","1","0.7500","2.39","13","8","0","","1","60.1","62","","16","","20","30","144","1.359","9.25","","2.98","4.48","1.5000",""
"318","1986-87","N. Snell","34","2","2","0.5000","3.61","25","0","0","","10","42.1","53","","17","","13","21","95","1.559","11.27","","2.76","4.46","1.6154",""
"319","1986-87","O. Jones","33","2","1","0.6667","3.00","5","4","0","","0","21.0","18","","7","","7","17","114","1.190","7.71","","3.00","7.29","2.4286",""
"320","1986-87","P. Gibson","26","1","2","0.3333","5.64","5","2","0","","0","22.1","31","","14","","11","13","61","1.881","12.49","","4.43","5.24","1.1818",""
"321","1986-87","V. Echarry","25","2","0","1.0000","1.00","18","0","0","","1","27.0","22","","3","","15","12","343","1.370","7.33","","5.00","4.00","0.8000",""
"322","1986-87","W. Flores","24","0","4","0.0000","9.00","11","2","0","","0","18.0","22","","18","","14","11","38","2.000","11.00","","7.00","5.50","0.7857",""
"323","1986-87","J. Alfaro","30","3","4","0.4286","5.89","15","9","0","","0","47.1","59","","31","","32","9","58","1.923","11.22","","6.08","1.71","0.2813",""
"324","1986-87","C. Hernández","22","0","0","","1.78","12","0","0","","0","25.1","20","","5","","10","9","193","1.184","7.11","","3.55","3.20","0.9000",""
"325","1986-87","M. Henneman","25","2","1","0.6667","4.07","14","1","0","","3","24.1","25","","11","","7","8","84","1.315","9.25","","2.59","2.96","1.1429",""
"326","1986-87","A. Hernández","32","4","2","0.6667","2.90","11","10","1","","0","62.0","60","","20","","15","8","118","1.210","8.71","","2.18","1.16","0.5333",""
"327","1986-87","C. Gil","27","0","1","0.0000","4.76","7","1","0","","0","17.0","18","","9","","15","6","72","1.941","9.53","","7.94","3.18","0.4000",""
"328","1986-87","F. Pinto","0","0","1","0.0000","6.91","7","1","0","","0","14.1","14","","11","","11","3","50","1.744","8.79","","6.91","1.88","0.2727",""
"329","1986-87","A. Williams","32","1","1","0.5000","4.66","2","2","0","","0","9.2","12","","5","","4","2","74","1.655","11.17","","3.72","1.86","0.5000",""
"330","1986-87","J. Franco","21","0","1","0.0000","3.60","3","1","0","","0","5.0","7","","2","","6","0","95","2.600","12.60","","10.80","0.00","0.0000",""
"331","1986-87","J. Ramos","18","0","0","","7.36","4","0","0","","0","3.2","4","","3","","3","0","47","1.909","9.82","","7.36","0.00","0.0000",""
"332","1987-88","I. Sánchez","24","6","6","0.5000","2.51","14","12","5","","1","89.2","87","","25","","26","54","137","1.260","8.73","","2.61","5.42","2.0769",""
"333","1987-88","P. Cherry","25","3","7","0.3000","4.46","15","12","2","","0","72.2","90","","36","","15","39","77","1.445","11.15","","1.86","4.83","2.6000",""
"334","1987-88","L. Lunar","32","3","4","0.4286","2.67","14","7","3","","0","60.2","51","","18","","35","36","129","1.418","7.57","","5.19","5.34","1.0286",""
"335","1987-88","A. Hernández","33","4","3","0.5714","2.86","12","12","0","","0","66.0","69","","21","","18","28","120","1.318","9.41","","2.45","3.82","1.5556",""
"336","1987-88","K. Best","28","1","1","0.5000","1.59","18","0","0","","8","28.1","26","","5","","9","22","216","1.235","8.26","","2.86","6.99","2.4444",""
"337","1987-88","W. Flores","25","2","1","0.6667","3.94","16","2","0","","0","32.0","27","","14","","12","16","87","1.219","7.59","","3.38","4.50","1.3333",""
"338","1987-88","J. Carpio","25","1","2","0.3333","5.23","18","1","0","","0","32.2","42","","19","","17","15","66","1.806","11.57","","4.68","4.13","0.8824",""
"339","1987-88","C. Hernández","23","0","0","","3.68","11","0","0","","0","22.0","19","","9","","9","13","93","1.273","7.77","","3.68","5.32","1.4444",""
"340","1987-88","O. Jones","34","2","4","0.3333","4.17","7","7","2","","0","36.2","40","","17","","15","13","82","1.500","9.82","","3.68","3.19","0.8667",""
"341","1987-88","C. Mcgrath","0","1","2","0.3333","4.24","4","3","0","","0","17.0","14","","8","","8","13","81","1.294","7.41","","4.24","6.88","1.6250",""
"342","1987-88","F. Toliver","26","0","2","0.0000","6.00","5","3","0","","0","18.0","24","","12","","10","11","57","1.889","12.00","","5.00","5.50","1.1000",""
"343","1987-88","V. Echarry","26","1","1","0.5000","6.85","20","0","0","","1","23.2","32","","18","","9","10","50","1.732","12.17","","3.42","3.80","1.1111",""
"344","1987-88","J. Ramos","19","1","1","0.5000","7.00","10","0","0","","0","9.0","9","","7","","11","4","49","2.222","9.00","","11.00","4.00","0.3636",""
"345","1987-88","F. Pinto","0","0","0","","0.00","2","0","0","","0","3.0","2","","0","","3","3","","1.667","6.00","","9.00","9.00","1.0000",""
"346","1987-88","M. Bolanos","23","0","0","","13.50","1","0","0","","0","0.2","1","","1","","2","0","25","4.500","13.50","","27.00","0.00","0.0000",""
"347","1987-88","G. Pinto","18","0","0","","4.50","1","0","0","","0","2.0","3","","1","","1","0","76","2.000","13.50","","4.50","0.00","0.0000",""
"348","1988-89","S. May","27","7","4","0.6364","3.08","13","11","3","","0","76.0","57","","26","","26","58","104","1.092","6.75","","3.08","6.87","2.2308",""
"349","1988-89","I. Sánchez","25","4","2","0.6667","2.40","9","8","3","","0","60.0","49","","16","","15","52","133","1.067","7.35","","2.25","7.80","3.4667",""
"350","1988-89","A. Hernández","34","5","4","0.5556","2.98","13","11","0","","0","63.1","66","","21","","19","36","107","1.342","9.38","","2.70","5.12","1.8947",""
"351","1988-89","L. Lunar","33","2","5","0.2857","4.38","23","0","0","","2","39.0","32","","19","","25","32","73","1.462","7.38","","5.77","7.38","1.2800",""
"352","1988-89","R. Garces","22","6","1","0.8571","3.20","13","6","1","","0","50.2","33","","18","","17","30","100","0.987","5.86","","3.02","5.33","1.7647",""
"353","1988-89","L. Sánchez","35","1","1","0.5000","0.29","21","0","0","","13","31.1","21","","1","","4","29","1,100","0.798","6.03","","1.15","8.33","7.2500",""
"354","1988-89","F. Campos","20","1","3","0.2500","5.31","14","7","0","","0","40.2","57","","24","","32","22","60","2.189","12.61","","7.08","4.87","0.6875",""
"355","1988-89","J. Barfield","24","4","3","0.5714","3.15","11","11","1","","0","65.2","66","","23","","12","19","101","1.188","9.05","","1.64","2.60","1.5833",""
"356","1988-89","J. Ramos","20","0","2","0.0000","2.01","18","0","0","","2","22.1","16","","5","","5","13","159","0.940","6.45","","2.01","5.24","2.6000",""
"357","1988-89","K. Rogers","24","1","0","1.0000","3.68","3","3","0","","0","14.2","13","","6","","2","11","87","1.023","7.98","","1.23","6.75","5.5000",""
"358","1988-89","W. Flores","26","1","0","1.0000","5.03","9","0","0","","0","19.2","26","","11","","9","9","63","1.780","11.90","","4.12","4.12","1.0000",""
"359","1988-89","J. Carpio","26","1","1","0.5000","3.44","13","0","0","","0","18.1","18","","7","","7","6","93","1.364","8.84","","3.44","2.95","0.8571",""
"360","1988-89","S. Clarke","28","0","0","","3.00","1","0","0","","1","3.0","2","","1","","2","5","106","1.333","6.00","","6.00","15.00","2.5000",""
"361","1988-89","J. Leister","27","0","0","","4.50","3","3","0","","0","8.0","11","","4","","7","4","71","2.250","12.37","","7.87","4.50","0.5714",""
"362","1988-89","J. Cardona","20","0","0","","2.16","4","0","0","","0","8.1","7","","2","","1","4","148","0.960","7.56","","1.08","4.32","4.0000",""
"363","1988-89","D. Gordon","0","0","0","","6.00","2","0","0","","0","3.0","4","","2","","0","2","53","1.333","12.00","","0.00","6.00","",""
"364","1988-89","G. Pinto","19","0","0","","2.25","2","0","0","","0","4.0","5","","1","","2","0","142","1.750","11.25","","4.50","0.00","0.0000",""
"365","1988-89","J. Quero","18","0","1","0.0000","18.00","2","0","0","","0","1.0","2","","2","","4","0","18","6.000","18.00","","36.00","0.00","0.0000",""
"366","1989-90","R. Garces","23","4","6","0.4000","4.64","14","13","1","","0","75.2","73","","39","","28","58","78","1.335","8.68","","3.33","6.90","2.0714",""
"367","1989-90","J. Baller","29","1","3","0.2500","2.90","25","0","0","","10","40.1","36","","13","","17","33","124","1.314","8.03","","3.79","7.36","1.9412",""
"368","1989-90","D. Lynch","24","6","2","0.7500","2.91","13","13","3","","1","52.2","50","","17","","33","33","124","1.576","8.54","","5.64","5.64","1.0000",""
"369","1989-90","J. Cardona","21","1","2","0.3333","3.21","23","0","0","","2","47.2","50","","17","","15","27","112","1.364","9.44","","2.83","5.10","1.8000",""
"370","1989-90","L. Sánchez","36","0","2","0.0000","1.20","16","0","0","","4","30.0","12","","4","","12","23","300","0.800","3.60","","3.60","6.90","1.9167",""
"371","1989-90","A. Hernández","35","3","5","0.3750","6.14","13","9","0","","0","44.0","58","","30","","18","18","59","1.727","11.86","","3.68","3.68","1.0000",""
"372","1989-90","M. Petkovsek","24","1","1","0.5000","1.89","5","5","0","","0","33.1","25","","7","","12","18","190","1.110","6.75","","3.24","4.86","1.5000",""
"373","1989-90","F. Campos","21","0","3","0.0000","3.74","10","6","0","","0","33.2","29","","14","","32","17","96","1.812","7.75","","8.55","4.54","0.5313",""
"374","1989-90","G. Eave","26","2","0","1.0000","1.65","6","6","0","","0","27.1","19","","5","","9","12","218","1.024","6.26","","2.96","3.95","1.3333",""
"375","1989-90","C. Young","25","2","0","1.0000","1.61","4","3","0","","0","28.0","20","","5","","4","12","224","0.857","6.43","","1.29","3.86","3.0000",""
"376","1989-90","J. Ramos","21","6","1","0.8571","4.15","15","0","0","","0","21.2","23","","10","","6","11","87","1.338","9.55","","2.49","4.57","1.8333",""
"377","1989-90","G. Pinto","20","0","0","","3.38","11","0","0","","0","13.1","17","","5","","4","9","107","1.575","11.48","","2.70","6.08","2.2500",""
"378","1989-90","A. Álvarez","19","1","0","1.0000","3.50","9","1","0","","0","18.0","17","","7","","10","9","103","1.500","8.50","","5.00","4.50","0.9000",""
"379","1989-90","C. Beasley","27","2","0","1.0000","3.57","3","2","0","","0","17.2","18","","7","","3","8","101","1.189","9.17","","1.53","4.08","2.6667",""
"380","1989-90","F. Lira","17","1","1","0.5000","3.57","10","1","0","","0","17.2","21","","7","","6","7","101","1.528","10.70","","3.06","3.57","1.1667",""
"381","1989-90","B. Clark","33","0","2","0.0000","7.50","4","3","0","","0","12.0","17","","10","","6","7","48","1.917","12.75","","4.50","5.25","1.1667",""
"382","1989-90","R. Sauveur","26","1","0","1.0000","0.00","2","2","0","","0","8.2","5","","0","","5","7","","1.154","5.19","","5.19","7.27","1.4000",""
"383","1989-90","W. Flores","27","0","0","","5.68","9","0","0","","0","6.1","5","","4","","3","5","63","1.263","7.11","","4.26","7.11","1.6667",""
"384","1989-90","L. Lunar","34","0","0","","7.71","4","0","0","","0","7.0","9","","6","","4","3","47","1.857","11.57","","5.14","3.86","0.7500",""
"385","1989-90","P. Tovar","0","1","0","1.0000","2.19","6","0","0","","0","12.1","7","","3","","7","3","164","1.135","5.11","","5.11","2.19","0.4286",""
"386","1989-90","O. Sarmiento","20","0","1","0.0000","9.64","3","0","0","","0","4.2","6","","5","","6","2","37","2.571","11.57","","11.57","3.86","0.3333",""
"387","1989-90","J. Quero","19","0","0","","6.75","1","0","0","","0","1.1","3","","1","","0","1","53","2.250","20.25","","0.00","6.75","",""
"388","1989-90","D. Delcine","16","0","0","","27.00","1","0","0","","0","1.0","2","","3","","1","0","13","3.000","18.00","","9.00","0.00","0.0000",""
"389","1989-90","F. Muñoz","23","0","0","","36.00","2","0","0","","0","1.0","4","","4","","1","0","10","5.000","36.00","","9.00","0.00","0.0000",""
"390","1989-90","F. Pinto","0","0","0","","16.20","3","0","0","","0","3.1","12","","6","","3","0","22","4.500","32.40","","8.10","0.00","0.0000",""
"391","1990-91","R. Garces","24","6","2","0.7500","3.57","10","10","0","","0","63.0","51","","25","","28","37","98","1.254","7.29","","4.00","5.29","1.3214",""
"392","1990-91","F. Lira","18","1","3","0.2500","3.86","16","5","0","","0","37.1","37","","16","","13","33","90","1.339","8.92","","3.13","7.96","2.5385",""
"393","1990-91","G. Perschke","23","2","5","0.2857","3.89","8","7","0","","0","44.0","48","","19","","25","23","90","1.659","9.82","","5.11","4.70","0.9200",""
"394","1990-91","F. Campos","22","1","6","0.1429","5.98","14","10","0","","0","43.2","49","","29","","31","22","58","1.832","10.10","","6.39","4.53","0.7097",""
"395","1990-91","B. Drahman","24","4","4","0.5000","1.96","25","0","0","","8","41.1","34","","9","","15","22","178","1.185","7.40","","3.27","4.79","1.4667",""
"396","1990-91","J. Ramos","22","3","1","0.7500","1.66","20","1","0","","2","38.0","30","","7","","15","20","210","1.184","7.11","","3.55","4.74","1.3333",""
"397","1990-91","D. Owens","32","2","2","0.5000","3.31","7","6","0","","0","35.1","29","","13","","13","19","105","1.189","7.39","","3.31","4.84","1.4615",""
"398","1990-91","J. Cardona","22","0","1","0.0000","4.63","18","0","0","","0","23.1","29","","12","","17","14","75","1.971","11.19","","6.56","5.40","0.8235",""
"399","1990-91","L. Lunar","35","0","2","0.0000","3.66","12","2","0","","0","19.2","21","","8","","6","14","95","1.373","9.61","","2.75","6.41","2.3333",""
"400","1990-91","F. Muñoz","24","2","0","1.0000","2.61","9","0","0","","0","10.1","7","","3","","7","11","134","1.355","6.10","","6.10","9.58","1.5714",""
"401","1990-91","M. Huisman","32","1","1","0.5000","2.40","5","2","2","","0","15.0","13","","4","","5","9","145","1.200","7.80","","3.00","5.40","1.8000",""
"402","1990-91","L. Vázquez","23","2","3","0.4000","3.59","11","10","0","","0","52.2","51","","21","","26","9","97","1.462","8.72","","4.44","1.54","0.3462",""
"403","1990-91","C. Hernández","26","0","0","","1.96","17","0","0","","1","23.0","14","","5","","13","8","178","1.174","5.48","","5.09","3.13","0.6154",""
"404","1990-91","T. Mathews","26","1","2","0.3333","5.84","6","4","0","","1","24.2","32","","16","","8","8","60","1.622","11.68","","2.92","2.92","1.0000",""
"405","1990-91","J. Quero","20","0","0","","5.52","11","0","0","","0","14.2","14","","9","","6","6","63","1.364","8.59","","3.68","3.68","1.0000",""
"406","1990-91","G. Pinto","21","0","0","","1.93","2","0","0","","0","4.2","4","","1","","2","5","181","1.286","7.71","","3.86","9.64","2.5000",""
"407","1990-91","P. Tovar","0","0","0","","6.75","3","0","0","","0","4.0","7","","3","","3","5","52","2.500","15.75","","6.75","11.25","1.6667",""
"408","1990-91","A. Álvarez","20","0","0","","8.59","6","0","0","","0","7.1","9","","7","","3","4","41","1.636","11.05","","3.68","4.91","1.3333",""
"409","1990-91","D. Delcine","17","0","0","","1.80","3","1","0","","0","10.0","12","","2","","1","4","194","1.300","10.80","","0.90","3.60","4.0000",""
"410","1990-91","A. Hernández","36","0","2","0.0000","8.44","5","1","0","","1","10.2","22","","10","","3","0","41","2.344","18.56","","2.53","0.00","0.0000",""
"411","1990-91","I. Alleney","0","0","1","0.0000","81.00","3","1","0","","0","0.1","1","","3","","4","0","4","15.000","27.00","","108.00","0.00","0.0000",""
"412","1991-92","F. Toliver","30","1","3","0.2500","4.18","15","11","0","","1","64.2","65","","30","","26","42","75","1.407","9.05","","3.62","5.85","1.6154",""
"413","1991-92","C. Young","27","4","4","0.5000","2.33","21","3","0","","5","54.0","43","","14","","13","37","135","1.037","7.17","","2.17","6.17","2.8462",""
"414","1991-92","F. Lira","19","3","3","0.5000","4.15","14","9","1","","0","56.1","62","","26","","12","32","76","1.314","9.91","","1.92","5.11","2.6667",""
"415","1991-92","F. Campos","23","5","3","0.6250","2.26","12","12","0","","0","71.2","61","","18","","36","30","139","1.353","7.66","","4.52","3.77","0.8333",""
"416","1991-92","L. Lunar","36","0","4","0.0000","4.82","15","0","0","","0","18.2","19","","10","","12","22","65","1.661","9.16","","5.79","10.61","1.8333",""
"417","1991-92","L. Vázquez","24","6","1","0.8571","2.27","14","14","0","","0","71.1","60","","18","","38","19","139","1.374","7.57","","4.79","2.40","0.5000",""
"418","1991-92","C. Beasley","29","2","2","0.5000","3.13","15","0","0","","2","31.2","35","","11","","16","16","101","1.611","9.95","","4.55","4.55","1.0000",""
"419","1991-92","S. Lewis","26","2","3","0.4000","7.04","6","5","1","","0","23.0","32","","18","","10","13","45","1.826","12.52","","3.91","5.09","1.3000",""
"420","1991-92","J. Ramos","23","2","2","0.5000","2.72","25","0","0","","3","36.1","30","","11","","14","12","116","1.211","7.43","","3.47","2.97","0.8571",""
"421","1991-92","M. Grater","27","2","0","1.0000","3.86","8","0","0","","2","14.0","13","","6","","7","10","82","1.429","8.36","","4.50","6.43","1.4286",""
"422","1991-92","M. Erb","25","0","0","","5.59","6","0","0","","1","9.2","6","","6","","6","9","56","1.241","5.59","","5.59","8.38","1.5000",""
"423","1991-92","L. Sánchez","38","0","0","","2.31","9","0","0","","1","11.2","13","","3","","5","7","136","1.543","10.03","","3.86","5.40","1.4000",""
"424","1991-92","J. Cardona","23","0","0","","6.23","7","0","0","","0","13.0","16","","9","","10","7","51","2.000","11.08","","6.92","4.85","0.7000",""
"425","1991-92","D. Delcine","18","0","2","0.0000","5.95","7","3","0","","0","19.2","28","","13","","7","6","53","1.780","12.81","","3.20","2.75","0.8571",""
"426","1991-92","G. Pinto","22","0","1","0.0000","9.64","2","0","0","","0","4.2","6","","5","","6","4","33","2.571","11.57","","11.57","7.71","0.6667",""
"427","1991-92","D. Powell","28","1","0","1.0000","0.00","3","1","0","","0","12.0","10","","0","","1","2","","0.917","7.50","","0.75","1.50","2.0000",""
"428","1991-92","C. Scott","0","0","0","","0.00","2","0","0","","0","4.0","2","","0","","0","2","","0.500","4.50","","0.00","4.50","",""
"429","1991-92","I. Oropeza","19","0","1","0.0000","6.75","2","0","0","","0","1.1","4","","1","","1","1","47","3.750","27.00","","6.75","6.75","1.0000",""
"430","1991-92","J. Zerpa","21","0","0","","27.00","1","0","0","","0","0.1","1","","1","","3","1","12","12.000","27.00","","81.00","27.00","0.3333",""
"431","1991-92","A. Hernández","37","0","0","","36.00","1","0","0","","0","1.0","3","","4","","1","1","9","4.000","27.00","","9.00","9.00","1.0000",""
"432","1991-92","H. Campos","19","0","0","","23.14","1","0","0","","0","2.1","5","","6","","4","1","14","3.857","19.29","","15.43","3.86","0.2500",""
"433","1991-92","J. Malaver","19","0","1","0.0000","36.00","1","1","0","","0","1.0","6","","4","","0","0","9","6.000","54.00","","0.00","0.00","",""
"434","1991-92","R. Garces","25","0","1","0.0000","4.15","3","1","0","","0","4.1","5","","2","","3","0","76","1.846","10.38","","6.23","0.00","0.0000",""
"435","1991-92","R. Petit","0","0","0","","54.00","1","0","0","","0","0.1","3","","2","","1","0","6","12.000","81.00","","27.00","0.00","0.0000",""
"436","1991-92","A. Álvarez","21","0","0","","2.70","2","0","0","","0","3.1","2","","1","","3","0","117","1.500","5.40","","8.10","0.00","0.0000",""
"437","1992-93","F. Campos","24","6","2","0.7500","3.10","16","11","0","","1","72.2","60","","25","","30","43","108","1.239","7.43","","3.72","5.33","1.4333",""
"438","1992-93","F. Lira","20","4","5","0.4444","3.16","15","11","1","","0","68.1","73","","24","","17","37","106","1.317","9.61","","2.24","4.87","2.1765",""
"439","1992-93","D. Pavlas","30","3","2","0.6000","4.15","9","7","0","","0","43.1","55","","20","","6","31","81","1.408","11.42","","1.25","6.44","5.1667",""
"440","1992-93","L. Vázquez","25","2","3","0.4000","2.95","13","10","1","","0","61.0","74","","20","","20","19","114","1.541","10.92","","2.95","2.80","0.9500",""
"441","1992-93","K. Blankenship","29","2","4","0.3333","3.86","7","6","0","","0","28.0","24","","12","","18","15","87","1.500","7.71","","5.79","4.82","0.8333",""
"442","1992-93","D. Masters","28","1","2","0.3333","1.37","16","0","0","","5","19.2","10","","3","","11","14","245","1.068","4.58","","5.03","6.41","1.2727",""
"443","1992-93","R. Robertson","24","2","4","0.3333","1.10","9","7","1","","1","57.1","41","","7","","11","13","305","0.907","6.44","","1.73","2.04","1.1818",""
"444","1992-93","R. Rojas","0","0","0","","2.75","15","0","0","","1","19.2","23","","6","","6","12","122","1.475","10.53","","2.75","5.49","2.0000",""
"445","1992-93","W. Edwards","28","1","2","0.3333","3.12","7","0","0","","0","17.1","14","","6","","6","11","107","1.154","7.27","","3.12","5.71","1.8333",""
"446","1992-93","J. Ramos","24","1","3","0.2500","2.81","30","0","0","","1","25.2","31","","8","","9","10","119","1.558","10.87","","3.16","3.51","1.1111",""
"447","1992-93","A. Álvarez","22","2","0","1.0000","2.45","20","0","0","","3","25.2","26","","7","","12","9","137","1.481","9.12","","4.21","3.16","0.7500",""
"448","1992-93","C. Young","28","0","2","0.0000","2.45","4","3","0","","0","18.1","14","","5","","5","8","137","1.036","6.87","","2.45","3.93","1.6000",""
"449","1992-93","S. Fansler","27","0","0","","3.38","4","1","0","","1","10.2","6","","4","","4","8","99","0.938","5.06","","3.38","6.75","2.0000",""
"450","1992-93","J. Cardona","24","1","1","0.5000","4.09","6","0","0","","0","11.0","10","","5","","4","6","82","1.273","8.18","","3.27","4.91","1.5000",""
"451","1992-93","C. Bermúdez","18","1","0","1.0000","2.92","7","0","0","","0","12.1","10","","4","","12","4","115","1.784","7.30","","8.76","2.92","0.3333",""
"452","1992-93","J. Malaver","20","0","1","0.0000","4.63","5","1","0","","0","11.2","16","","6","","5","3","72","1.800","12.34","","3.86","2.31","0.6000",""
"453","1992-93","S. Stowell","0","0","1","0.0000","1.80","6","0","0","","1","5.0","6","","1","","2","3","186","1.600","10.80","","3.60","5.40","1.5000",""
"454","1992-93","G. Pinto","23","1","0","1.0000","0.00","3","1","0","","0","10.2","5","","0","","2","1","","0.656","4.22","","1.69","0.84","0.5000",""
"455","1992-93","W. Rosenthal","27","0","0","","0.00","1","0","0","","0","2.0","1","","0","","1","1","","1.000","4.50","","4.50","4.50","1.0000",""
"456","1992-93","D. Delcine","19","0","0","","0.00","1","0","0","","0","1.1","0","","0","","0","0","","0.000","0.00","","0.00","0.00","",""
"457","1992-93","R. Benavente","20","0","0","","9.00","5","0","0","","0","2.0","1","","2","","4","0","37","2.500","4.50","","18.00","0.00","0.0000",""
"458","1992-93","I. Oropeza","20","0","0","","","1","0","0","","0","0.0","1","","1","","0","0","","","","","","","",""
"459","1993-94","J. Hurts","26","5","8","0.3846","1.93","14","14","1","","0","88.2","79","","19","","29","52","180","1.218","8.02","","2.94","5.28","1.7931",""
"460","1993-94","L. Vázquez","26","3","4","0.4286","4.02","12","11","0","","0","65.0","80","","29","","23","28","87","1.585","11.08","","3.18","3.88","1.2174",""
"461","1993-94","D. Moeller","26","1","1","0.5000","2.91","9","2","0","","0","46.1","45","","15","","6","23","120","1.101","8.74","","1.17","4.47","3.8333",""
"462","1993-94","A. Lorraine","21","1","2","0.3333","2.51","9","4","0","","0","28.2","20","","8","","15","16","139","1.221","6.28","","4.71","5.02","1.0667",""
"463","1993-94","F. Lira","21","1","2","0.3333","3.92","9","6","0","","0","43.2","53","","19","","18","15","89","1.626","10.92","","3.71","3.09","0.8333",""
"464","1993-94","F. Campos","25","0","7","0.0000","4.63","16","13","0","","2","35.0","38","","18","","17","15","75","1.571","9.77","","4.37","3.86","0.8824",""
"465","1993-94","T. Fortugno","31","0","2","0.0000","6.55","8","4","0","","1","22.0","23","","16","","20","15","53","1.955","9.41","","8.18","6.14","0.7500",""
"466","1993-94","A. Álvarez","23","3","0","1.0000","3.62","14","1","0","","1","27.1","19","","11","","21","11","96","1.463","6.26","","6.91","3.62","0.5238",""
"467","1993-94","G. Pinto","24","0","2","0.0000","3.28","15","0","0","","3","24.2","25","","9","","9","11","106","1.378","9.12","","3.28","4.01","1.2222",""
"468","1993-94","J. Manaure","24","0","2","0.0000","6.17","12","0","0","","1","11.2","14","","8","","5","9","56","1.629","10.80","","3.86","6.94","1.8000",""
"469","1993-94","V. Cole","25","1","5","0.1667","6.97","9","5","0","","1","20.2","27","","16","","19","9","50","2.226","11.76","","8.27","3.92","0.4737",""
"470","1993-94","M. Zappelli","27","2","0","1.0000","2.45","16","0","0","","1","22.0","29","","6","","9","8","142","1.727","11.86","","3.68","3.27","0.8889",""
"471","1993-94","I. Oropeza","21","0","2","0.0000","3.71","7","2","0","","0","17.0","14","","7","","5","8","94","1.118","7.41","","2.65","4.24","1.6000",""
"472","1993-94","J. Cardona","25","0","1","0.0000","2.63","9","0","0","","0","13.2","14","","4","","7","5","132","1.537","9.22","","4.61","3.29","0.7143",""
"473","1993-94","L. González","27","0","4","0.0000","3.99","13","3","0","","1","29.1","27","","13","","12","5","87","1.330","8.28","","3.68","1.53","0.4167",""
"474","1993-94","J. Mora","0","0","0","","0.00","1","0","0","","0","2.0","1","","0","","1","2","","1.000","4.50","","4.50","9.00","2.0000",""
"475","1993-94","R. Benavente","21","0","0","","7.71","3","0","0","","0","2.1","2","","2","","3","1","45","2.143","7.71","","11.57","3.86","0.3333",""
