"","years","jugador","edad","w","l","w-l%","era","g","gs","cg","sho","sv","ip","h","r","er","hr","bb","so","ir","whip","h/9","hr/9","bb/9","so/9","so/bb","bk"
"263","1982-83","S. Ratzer","29","0","1","0.0000","6.92","7","0","0","","0","13.0","23","","10","","3","8","52","2.000","15.92","","2.08","5.54","2.6667",""
"264","1982-83","T. Tellman","28","1","0","1.0000","0.93","2","2","0","","0","9.2","5","","1","","2","4","388","0.724","4.66","","1.86","3.72","2.0000",""
"265","1982-83","A. Hernández","28","0","0","","2.70","3","0","0","","0","6.2","7","","2","","0","4","134","1.050","9.45","","0.00","5.40","",""
"266","1982-83","A. Monteagudo","39","0","1","0.0000","8.38","4","1","0","","0","9.2","17","","9","","2","1","43","1.966","15.83","","1.86","0.93","0.5000",""
"267","1983-84","M. Witt","23","6","0","1.0000","2.00","11","11","3","","0","76.1","60","","17","","31","54","168","1.192","7.07","","3.66","6.37","1.7419",""
"268","1983-84","J. Berenguer","29","5","3","0.6250","1.67","9","9","2","","0","59.1","44","","11","","29","38","201","1.230","6.67","","4.40","5.76","1.3103",""
"269","1983-84","M. Decker","26","3","2","0.6000","2.01","19","5","0","","7","53.2","40","","12","","25","32","167","1.211","6.71","","4.19","5.37","1.2800",""
"270","1983-84","J. Dedmon","23","5","3","0.6250","2.18","22","0","0","","7","45.1","46","","11","","19","32","154","1.434","9.13","","3.77","6.35","1.6842",""
"271","1983-84","P. Huffman","25","3","2","0.6000","4.34","9","8","0","","0","47.2","46","","23","","18","31","77","1.343","8.69","","3.40","5.85","1.7222",""
"272","1983-84","D. Moore","29","5","1","0.8333","2.57","14","4","0","","2","42.0","39","","12","","9","25","131","1.143","8.36","","1.93","5.36","2.7778",""
"273","1983-84","J. Lewis","28","1","4","0.2000","3.76","7","2","2","","0","38.1","44","","16","","14","23","89","1.513","10.33","","3.29","5.40","1.6429",""
"274","1983-84","L. Lunar","28","2","2","0.5000","4.30","12","5","1","","0","44.0","28","","21","","31","20","78","1.341","5.73","","6.34","4.09","0.6452",""
"275","1983-84","B. Clark","27","2","3","0.4000","1.84","7","6","1","","0","44.0","34","","9","","22","18","183","1.273","6.95","","4.50","3.68","0.8182",""
"276","1983-84","H. Pickett","24","0","0","","3.16","10","0","0","","0","25.2","29","","9","","11","16","106","1.558","10.17","","3.86","5.61","1.4545",""
"277","1983-84","B. Lee","37","1","2","0.3333","5.40","11","4","0","","0","26.2","44","","16","","11","15","62","2.063","14.85","","3.71","5.06","1.3636",""
"278","1983-84","A. Hernández","29","5","2","0.7143","2.57","10","5","0","","0","35.0","36","","10","","15","14","131","1.457","9.26","","3.86","3.60","0.9333",""
"279","1983-84","W. Flores","21","0","0","","2.57","11","0","0","","2","28.0","22","","8","","16","10","131","1.357","7.07","","5.14","3.21","0.6250",""
"280","1983-84","C. Hernández","19","0","2","0.0000","6.97","3","2","0","","0","10.1","14","","8","","5","7","48","1.839","12.19","","4.35","6.10","1.4000",""
"281","1983-84","G. Roiter","0","0","0","","0.00","4","0","0","","0","2.2","3","","0","","2","1","","1.875","10.13","","6.75","3.38","0.5000",""
"282","1983-84","H. Rivas","22","0","0","","0.00","1","0","0","","0","0.2","2","","0","","0","0","","3.000","27.00","","0.00","0.00","",""
"283","1983-84","J. Franco","18","0","0","","0.00","1","0","0","","0","1.0","0","","0","","0","0","","0.000","0.00","","0.00","0.00","",""
"284","1984-85","T. Brizzolara","27","5","8","0.3846","2.97","16","15","4","","0","112.0","105","","37","","48","39","113","1.366","8.44","","3.86","3.13","0.8125",""
"285","1984-85","W. Flores","22","2","1","0.6667","2.78","10","5","1","","1","45.1","36","","14","","20","31","121","1.235","7.15","","3.97","6.15","1.5500",""
"286","1984-85","R. Fuson","26","6","6","0.5000","4.70","15","11","1","","1","76.2","86","","40","","32","30","71","1.539","10.10","","3.76","3.52","0.9375",""
