"","jugador","edad","g","ab","X5","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo","years","resultado"
"1","V. Davalillo","33","3","","11","0","1","0","0","0","0","0","","","",".091","",".091",".000","","1","0","","","","SI","1969-70","subcampeon"
"2","E. Hernández","20","3","","11","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO","1969-70","subcampeon"
"3","G. Nettles","25","3","","11","0","5","1","0","0","0","0","","","",".455","",".545",".000","","6","1","","","","SI","1969-70","subcampeon"
"4","P. Casanova","28","3","","10","0","1","0","0","0","0","0","","","",".100","",".100",".000","","1","0","","","","NO","1969-70","subcampeon"
"5","A. Bravo","27","3","","10","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO","1969-70","subcampeon"
"6","R. Webster","27","3","","10","0","1","0","0","0","0","0","","","",".100","",".100",".000","","1","0","","","","NO","1969-70","subcampeon"
"7","J. Herrera","27","3","","9","0","2","0","0","0","0","0","","","",".222","",".222",".000","","2","0","","","","NO","1969-70","subcampeon"
"8","R. Hermoso","22","3","","9","1","1","0","0","0","0","1","","","",".111","",".111",".000","","1","0","","","","NO","1969-70","subcampeon"
"9","C. Ruíz","31","2","","8","0","1","0","0","0","1","0","","","",".125","",".125",".000","","1","0","","","","SI","1969-70","subcampeon"
"10","F. Rico","25","3","","3","0","1","1","0","0","0","0","","","",".333","",".667",".000","","2","1","","","","NO","1969-70","subcampeon"
"11","J. Romero","27","2","","2","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO","1969-70","subcampeon"
