player_id,years,jugador,edad,w,l,w-l%,era,g,gs,cg,sho,sv,ip,h,r,er,hr,bb,so,ir,whip,h/9,hr/9,bb/9,so/9,so/bb,bk,refuerzo ,ronda,resultado
bovmic001,2019-20,M. Burgos,24,0,0,,19.29,4,0,0,0,0,2.1,6,5,5,1,2,1,24,3429,23.14,3.86,7.71,3.86,0.5,,NO,regular,
bovmic001,2018-19,M. Burgos,23,1,0,1,6.23,21,0,0,0,0,8.2,11,6,6,0,9,3,61,2308,11.42,0,9.35,3.12,0.33,1,NO,regular,
busmic001,2000-01,M. Busby,28,2,4,333,5.5,8,7,0,,0,34.1,41,,21,,16,31,75,1660,10.75,,4.19,8.13,1940,,NO,regular,
busmic001,2000-01,M. Busby,28,1,1,0.5,2.12,6,1,0,,0,17,12,,4,,7,18,,1118,6.35,,3.71,9.53,2.5714,,NO,round robin,
,2000-01,M. Callaway,25,0,0,,4.61,3,2,0,,0,13.2,15,,7,,5,4,,1463,9.88,,3.29,2.63,0.8,,NO,round robin,
casmar001,2003-04,M. Castillo,24,2,1,667,5.92,13,11,0,,0,48.2,64,,32,,20,31,73,1726,11.84,,3.7,5.73,1550,,NO,regular,
casmar001,2002-03,M. Castillo,23,1,3,250,3.91,10,2,0,,0,25.1,27,,11,,7,19,90,1342,9.59,,2.49,6.75,2710,,NO,regular,
casmar001,1999-00,M. Castillo,20,2,3,400,5.4,7,6,0,,0,23.1,31,,14,,11,9,61,1800,11.96,,4.24,3.47,820,,NO,regular,
casmar001,1998-99,M. Castillo,19,5,2,714,3.74,11,9,0,,0,55.1,47,,23,,25,34,99,1301,7.64,,4.07,5.53,1360,,NO,regular,
casmar001,1997-98,M. Castillo,18,4,5,444,4.95,13,13,1,,0,67.1,70,,37,,32,23,72,1515,9.36,,4.28,3.07,720,,NO,regular,
casmar001,2003-04,M. Castillo,24,0,1,0,4.05,5,0,0,,0,6.2,7,,3,,1,5,,1.2,9.45,,1.35,6.75,5,,NO,round robin,
catmic001,1999-00,M. Cather,29,0,3,0,3.05,21,0,0,,8,20.2,20,,7,,8,11,109,1355,8.71,,3.48,4.79,1380,,NO,regular,
cismic001,2012-13,M. Cisco,25,3,1,750,6.04,19,1,0,0,0,22.1,25,16,15,1,12,9,72,1567,10.07,0.4,4.03,3.63,900,0,NO,regular,
dabmil001,1998-99,M. Dabreu,20,0,1,0,5,3,2,0,,0,9,9,,5,,8,2,74,1889,9,,8,2,250,,NO,regular,
dabmil001,1997-98,M. Dabreu,19,1,0,1000,1.93,8,1,0,,0,18.2,10,,4,,15,10,185,1339,4.82,,7.23,4.82,670,,NO,regular,
dabmil001,1996-97,M. Dabreu,18,0,0,,8.44,3,0,0,,0,5.1,9,,5,,2,2,40,2063,15.19,,3.38,3.38,1000,,NO,regular,
dalmat001,2008-09,M. Daley,26,0,0,,13.5,2,0,0,0,0,1.1,4,2,2,0,0,0,35,3000,27,0,0,0,,0,NO,regular,
dalmar001,1977-78,M. Daly,0,3,7,300,4.35,11,11,1,,0,72.1,86,,35,,38,49,98,1714,10.7,,4.73,6.1,1290,,NO,regular,
dalmar001,1977-78,M. Daly,0,0,0,,9,1,0,0,,0,3,3,,3,,2,1,,1667,9,,6,3,0.5,,NO,round robin,
davmic001,1978-79,M. Davey,26,2,0,1000,1.89,10,0,0,,0,19,14,,4,,10,10,183,1263,6.63,,4.74,4.74,1000,,NO,regular,
decdee001,1983-84,M. Decker,26,3,2,600,2.01,19,5,0,,7,53.2,40,,12,,25,32,167,1211,6.71,,4.19,5.37,1280,,NO,regular,
decdee001,1983-84,M. Decker,26,0,1,0,4.91,3,0,0,,0,7.1,10,,4,,6,5,,2182,12.27,,7.36,6.14,0.8333,,NO,round robin,
delman001,2017-18,M. Delcarmen,35,0,0,,0,9,0,0,0,0,9,8,0,0,0,1,5,,1,8,0,1,5,5,0,NO,regular,
dommar001,1965-66,M. Dominguez,0,0,0,,4.5,1,1,0,,0,4,6,,2,,0,0,,1.5,13.5,,0,0,,,NO,finales,Campeon
dommar001,1965-66,M. Dominguez,0,1,0,1000,1.8,1,1,0,,0,5,5,,1,,2,2,168,1400,9,,3.6,3.6,1000,,NO,regular,
dommar001,1965-66,M. Dominguez,0,1,0,1,0,2,2,0,,0,11.2,10,,0,,3,6,,1114,7.71,,2.31,4.63,2,,NO,round robin,
dromik001,2011-12,M. Drowne,23,0,0,,,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0,NO,regular,
erbmic001,1991-92,M. Erb,25,0,0,,5.59,6,0,0,,1,9.2,6,,6,,6,9,56,1241,5.59,,5.59,8.38,1500,,NO,regular,
gonmic001,2003-04,M. González,25,1,1,500,4.42,25,0,0,,2,18.1,15,,9,,11,24,98,1418,7.36,,5.4,11.78,2180,,NO,regular,
gonman001,1966-67,M. González,34,1,1,500,4.15,13,0,0,,0,17.1,18,,8,,4,10,65,1269,9.35,,2.08,5.19,2500,,NO,regular,
gonmic001,2003-04,M. González,25,1,0,1,0,6,0,0,,0,3.2,1,,0,,1,5,,545,2.45,,2.45,12.27,5,,NO,round robin,
goumur001,2019-20,M. Gouvea,31,2,2,500,4.54,9,9,0,0,0,39.2,48,21,20,1,14,21,101,1563,10.89,0.23,3.18,4.76,1.5,,NO,regular,
goumur001,2019-20,M. Gouvea,31,0,0,,6.75,1,1,0,0,0,4,6,3,3,1,1,0,,1.75,13.5,2.25,2.25,0,0,0,NO,round robin,
gramar001,1991-92,M. Grater,27,2,0,1000,3.86,8,0,0,,2,14,13,,6,,7,10,82,1429,8.36,,4.5,6.43,1430,,NO,regular,
gramar001,1991-92,M. Grater,27,0,1,0,5.79,5,0,0,,0,4.2,9,,3,,3,0,,2571,17.36,,5.79,0,0,,NO,round robin,
hammar001,2015-16,M. Hamburger,28,1,0,1000,2.45,4,0,0,0,1,3.2,3,1,1,0,1,3,158,1091,7.36,0,2.45,7.36,3000,0,NO,regular,
hammar001,2015-16,M. Hamburger,28,0,1,0,8.1,7,0,0,0,0,6.2,10,7,6,0,3,0,,1.95,13.5,0,4.05,0,0,0,NO,round robin,
hedmic001,1969-70,M. Hedlund,23,0,1,0,5.14,2,1,0,,0,7,9,,4,,1,1,,1429,11.57,,1.29,1.29,1,,NO,finales,Subcampeon
hedmic001,1969-70,M. Hedlund,23,10,3,769,0.75,20,13,10,,2,120.1,70,,10,,31,63,363,839,5.24,,2.32,4.71,2030,,NO,regular,
