years,jugador,edad,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,avg,obp,slg,ops,ir,rc,tb,xb,hbp,sh,sf,refuerzo,ronda,resultado
2003-04,J. Cordido,23,30,,66,15,23,3,5,1,17,0,,,,0.35,,591,0,,,39,9,,,,NO,regular,Eliminado
2003-04,G. Rodríguez,25,28,,66,9,16,3,0,2,12,2,,,,0.24,,379,0,,,25,5,,,,NO,regular,Eliminado
2003-04,L. Collier,30,14,,50,9,16,2,0,4,10,1,,,,0.32,,0.6,0,,,30,6,,,,NO,regular,Eliminado
2003-04,W. González,29,22,,71,10,15,6,0,2,9,0,,,,0.21,,0.38,0,,,27,8,,,,NO,regular,Eliminado
2003-04,J. Velandia,28,13,,48,6,15,2,1,2,8,0,,,,0.31,,521,0,,,25,5,,,,NO,regular,Eliminado
2003-04,J. Marquez,30,24,,47,4,11,0,1,0,4,0,,,,0.23,,277,0,,,13,1,,,,NO,regular,Eliminado
2003-04,R. Stratton,26,20,,62,12,11,5,0,3,8,0,,,,0.18,,403,0,,,25,8,,,,NO,regular,Eliminado
2003-04,M. Pernalete,25,23,,47,6,10,0,0,0,4,0,,,,0.21,,213,0,,,10,0,,,,NO,regular,Eliminado
2003-04,G. Blanco,20,42,,62,7,9,3,0,1,2,0,,,,0.15,,242,0,,,15,4,,,,NO,regular,Eliminado
2003-04,C. Duran,21,18,,39,3,6,0,0,0,1,0,,,,0.15,,154,0,,,6,0,,,,NO,regular,Eliminado
2003-04,E. Bellorin,21,10,,17,2,6,2,0,1,4,0,,,,0.35,,647,0,,,11,3,,,,NO,regular,Eliminado
2003-04,J. Salas,21,7,,8,1,1,1,0,0,0,0,,,,0.13,,0.25,0,,,2,1,,,,NO,regular,Eliminado
2003-04,J. Hernández,23,2,,3,0,1,0,0,0,0,0,,,,0.33,,333,0,,,1,0,,,,NO,regular,Eliminado
2002-03,T. Wilson,25,37,,140,20,46,11,0,4,27,1,,,,0.33,,493,0,,,69,15,,,,NO,regular,Eliminado
2002-03,M. Pernalete,24,39,,137,21,36,5,2,2,10,4,,,,0.26,,372,0,,,51,9,,,,NO,regular,Eliminado
2002-03,L. Raven,34,36,,134,9,27,7,0,3,14,1,,,,0.2,,321,0,,,43,10,,,,NO,regular,Eliminado
2002-03,P. Lennon,34,36,,121,23,26,5,0,7,22,1,,,,0.22,,0.43,0,,,52,12,,,,NO,regular,Eliminado
2002-03,C. Mendoza,23,16,,60,7,23,4,0,2,17,1,,,,0.38,,0.55,0,,,33,6,,,,NO,regular,Eliminado
2002-03,J. Marquez,29,29,,92,3,21,2,2,0,7,0,,,,0.23,,293,0,,,27,4,,,,NO,regular,Eliminado
2002-03,C. Duran,20,26,,68,6,20,3,1,2,7,0,,,,0.29,,456,0,,,31,6,,,,NO,regular,Eliminado
2002-03,J. Velandia,27,24,,79,7,20,3,0,0,3,1,,,,0.25,,291,0,,,23,3,,,,NO,regular,Eliminado
2002-03,G. Rodríguez,24,28,,75,8,18,3,0,0,6,0,,,,0.24,,0.28,0,,,21,3,,,,NO,regular,Eliminado
2002-03,R. Stratton,25,31,,100,21,17,1,0,10,17,1,,,,0.17,,0.48,0,,,48,11,,,,NO,regular,Eliminado
2002-03,J. Amado,27,23,,55,2,12,5,0,0,1,0,,,,0.22,,309,0,,,17,5,,,,NO,regular,Eliminado
2002-03,A. Machado,23,25,,51,9,11,1,0,1,4,1,,,,0.22,,294,0,,,15,2,,,,NO,regular,Eliminado
2002-03,C. Colon,33,14,,41,6,10,0,1,0,4,0,,,,0.24,,293,0,,,12,1,,,,NO,regular,Eliminado
2002-03,L. Collier,29,6,,17,4,5,1,0,1,3,0,,,,0.29,,529,0,,,9,2,,,,NO,regular,Eliminado
2002-03,V. Valencia,25,24,,43,2,4,1,0,0,1,0,,,,0.09,,116,0,,,5,1,,,,NO,regular,Eliminado
2002-03,J. Cordido,22,14,,16,2,4,2,0,0,0,0,,,,0.25,,375,0,,,6,2,,,,NO,regular,Eliminado
2002-03,O. Azocar,37,21,,30,1,3,1,0,0,1,0,,,,0.1,,133,0,,,4,1,,,,NO,regular,Eliminado
2002-03,A. Oropeza,22,21,,14,2,3,0,0,0,0,0,,,,0.21,,214,0,,,3,0,,,,NO,regular,Eliminado
2002-03,G. Blanco,19,10,,12,2,2,0,0,0,1,2,,,,0.17,,167,0,,,2,0,,,,NO,regular,Eliminado
2002-03,T. Araque,21,3,,3,1,1,0,0,0,0,0,,,,0.33,,333,0,,,1,0,,,,NO,regular,Eliminado
2002-03,J. Boll,20,7,,4,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
2002-03,J. Hernández,22,5,,4,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
2002-03,J. Salas,20,3,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
2001-02,C. Jones,36,52,,192,28,58,10,0,10,28,2,,,,0.3,,0.51,0,,,98,20,,,,NO,regular,Eliminado
2001-02,C. Colon,32,46,,171,15,41,4,1,2,17,0,,,,0.24,,0.31,0,,,53,7,,,,NO,regular,Eliminado
2001-02,A. Sánchez,25,35,,132,13,40,6,1,0,15,6,,,,0.3,,364,0,,,48,7,,,,NO,regular,Eliminado
2001-02,O. Azocar,36,47,,149,11,39,6,0,2,17,1,,,,0.26,,342,0,,,51,8,,,,NO,regular,Eliminado
2001-02,R. Olmedo,20,46,,145,18,38,8,2,0,7,3,,,,0.26,,345,0,,,50,10,,,,NO,regular,Eliminado
2001-02,J. Marquez,28,52,,121,11,34,7,0,0,18,0,,,,0.28,,339,0,,,41,7,,,,NO,regular,Eliminado
2001-02,V. Valencia,24,44,,126,11,30,8,0,4,14,0,,,,0.24,,397,0,,,50,12,,,,NO,regular,Eliminado
2001-02,M. Pernalete,23,42,,124,17,30,11,1,0,7,3,,,,0.24,,347,0,,,43,12,,,,NO,regular,Eliminado
2001-02,L. Collier,28,26,,92,16,28,6,1,4,18,4,,,,0.3,,522,0,,,48,11,,,,NO,regular,Eliminado
2001-02,T. Nunnari,26,31,,111,15,25,8,0,3,11,0,,,,0.23,,378,0,,,42,11,,,,NO,regular,Eliminado
2001-02,L. Raven,33,24,,83,14,25,5,0,3,11,0,,,,0.3,,0.47,0,,,39,8,,,,NO,regular,Eliminado
2001-02,A. Escobar,23,25,,86,11,19,4,2,2,8,3,,,,0.22,,384,0,,,33,8,,,,NO,regular,Eliminado
2001-02,J. Velandia,26,16,,60,9,19,2,1,4,11,1,,,,0.32,,583,0,,,35,7,,,,NO,regular,Eliminado
2001-02,E. Zambrano,35,28,,64,10,17,3,1,4,7,0,,,,0.27,,531,0,,,34,8,,,,NO,regular,Eliminado
2001-02,G. Rodríguez,23,28,,64,12,16,4,0,1,12,2,,,,0.25,,359,0,,,23,5,,,,NO,regular,Eliminado
2001-02,J. Cordido,21,25,,62,6,14,2,0,0,5,1,,,,0.23,,258,0,,,16,2,,,,NO,regular,Eliminado
2001-02,A. Oropeza,21,32,,64,14,13,1,0,4,10,1,,,,0.2,,406,0,,,26,5,,,,NO,regular,Eliminado
2001-02,A. Machado,22,29,,73,9,12,1,0,1,4,0,,,,0.16,,219,0,,,16,2,,,,NO,regular,Eliminado
2001-02,K. Noriega,27,26,,39,1,10,0,0,0,3,0,,,,0.26,,256,0,,,10,0,,,,NO,regular,Eliminado
2001-02,C. Coste,28,15,,47,5,10,1,0,1,4,0,,,,0.21,,298,0,,,14,2,,,,NO,regular,Eliminado
2001-02,D. Wilson,32,6,,17,2,5,1,0,0,2,0,,,,0.29,,353,0,,,6,1,,,,NO,regular,Eliminado
2001-02,M. Ortiz,22,1,,4,0,2,0,0,0,2,0,,,,0.5,,0.5,0,,,2,0,,,,NO,regular,Eliminado
2001-02,J. Boll,19,28,,21,2,1,0,0,0,2,0,,,,0.05,,48,0,,,1,0,,,,NO,regular,Eliminado
2001-02,C. Duran,19,7,,15,0,1,1,0,0,2,1,,,,0.07,,133,0,,,2,1,,,,NO,regular,Eliminado
2001-02,T. Araque,20,1,,2,0,1,0,0,0,1,0,,,,0.5,,0.5,0,,,1,0,,,,NO,regular,Eliminado
2001-02,R. Cordova,20,9,,2,2,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
2001-02,W. Oropeza,26,4,,7,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
2001-02,J. Hernández,21,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
2000-01,O. Azocar,35,59,,224,27,61,9,2,4,25,3,,,,0.27,,384,0,,,86,15,,,,NO,regular,Eliminado
2000-01,C. Mendoza,21,52,,187,40,61,13,1,2,21,1,,,,0.33,,439,0,,,82,16,,,,NO,regular,Eliminado
2000-01,C. Jones,35,55,,193,36,59,11,2,8,48,5,,,,0.31,,508,0,,,98,21,,,,NO,regular,Eliminado
2000-01,C. Colon,31,51,,174,18,50,5,1,3,20,0,,,,0.29,,379,0,,,66,9,,,,NO,regular,Eliminado
2000-01,B. Jacobsen,25,44,,144,27,43,8,1,8,28,0,,,,0.3,,535,0,,,77,17,,,,NO,regular,Eliminado
2000-01,L. Collier,27,25,,98,28,35,7,1,4,24,0,,,,0.36,,571,0,,,56,12,,,,NO,regular,Eliminado
2000-01,T. Nunnari,25,31,,104,22,32,7,0,5,17,1,,,,0.31,,519,0,,,54,12,,,,NO,regular,Eliminado
2000-01,J. Marquez,27,37,,100,12,31,6,0,4,18,1,,,,0.31,,0.49,0,,,49,10,,,,NO,regular,Eliminado
2000-01,E. Zambrano,34,46,,114,15,30,5,1,3,14,3,,,,0.26,,404,0,,,46,9,,,,NO,regular,Eliminado
2000-01,J. Velandia,25,32,,112,9,30,5,1,1,12,5,,,,0.27,,357,0,,,40,7,,,,NO,regular,Eliminado
2000-01,O. Guillén,36,24,,89,10,28,6,0,0,3,1,,,,0.32,,382,0,,,34,6,,,,NO,regular,Eliminado
2000-01,V. Valencia,23,29,,81,13,23,2,0,5,13,0,,,,0.28,,494,0,,,40,7,,,,NO,regular,Eliminado
2000-01,G. Rodríguez,22,29,,65,8,21,1,0,3,12,1,,,,0.32,,477,0,,,31,4,,,,NO,regular,Eliminado
2000-01,C. Gubanich,28,19,,68,6,17,4,0,0,5,0,,,,0.25,,309,0,,,21,4,,,,NO,regular,Eliminado
2000-01,K. Noriega,26,26,,52,12,15,0,0,0,4,0,,,,0.29,,288,0,,,15,0,,,,NO,regular,Eliminado
2000-01,A. Machado,21,9,,31,5,9,2,0,0,0,1,,,,0.29,,355,0,,,11,2,,,,NO,regular,Eliminado
2000-01,R. Olmedo,19,18,,24,1,5,0,0,0,1,1,,,,0.21,,208,0,,,5,0,,,,NO,regular,Eliminado
2000-01,J. Cordido,20,11,,29,3,5,2,0,0,2,1,,,,0.17,,241,0,,,7,2,,,,NO,regular,Eliminado
2000-01,A. Escobar,22,5,,19,2,4,1,0,0,1,0,,,,0.21,,263,0,,,5,1,,,,NO,regular,Eliminado
2000-01,R. Marval,25,14,,19,1,2,0,0,0,1,1,,,,0.11,,105,0,,,2,0,,,,NO,regular,Eliminado
2000-01,G. Martínez,28,3,,11,3,2,0,0,0,0,1,,,,0.18,,182,0,,,2,0,,,,NO,regular,Eliminado
2000-01,J. Boscán,21,8,,9,0,1,0,0,0,1,0,,,,0.11,,111,0,,,1,0,,,,NO,regular,Eliminado
2000-01,W. Oropeza,25,7,,9,0,1,0,0,0,0,0,,,,0.11,,111,0,,,1,0,,,,NO,regular,Eliminado
2000-01,C. Duran,18,5,,5,0,1,0,0,0,3,0,,,,0.2,,0.2,0,,,1,0,,,,NO,regular,Eliminado
2000-01,M. Pernalete,22,4,,8,1,1,0,0,0,0,0,,,,0.13,,125,0,,,1,0,,,,NO,regular,Eliminado
2000-01,J. Boll,18,2,,3,1,0,0,0,0,0,1,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
2000-01,M. Ortiz,21,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
2000-01,A. Oropeza,20,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
1999-00,O. Azocar,34,56,,232,12,56,5,0,0,24,2,,,,0.24,,263,0,,,61,5,,,,NO,regular,Eliminado
1999-00,C. Colon,30,53,,197,16,55,8,1,4,21,3,,,,0.28,,391,0,,,77,13,,,,NO,regular,Eliminado
1999-00,L. Landaeta,22,54,,155,22,44,3,4,1,19,5,,,,0.28,,374,0,,,58,8,,,,NO,regular,Eliminado
1999-00,M. Jensen,27,48,,172,13,42,7,2,1,16,1,,,,0.24,,326,0,,,56,10,,,,NO,regular,Eliminado
1999-00,N. Hutchins,24,36,,155,16,41,8,4,1,16,4,,,,0.27,,387,0,,,60,13,,,,NO,regular,Eliminado
1999-00,K. Noriega,25,42,,105,11,30,4,0,2,12,2,,,,0.29,,381,0,,,40,6,,,,NO,regular,Eliminado
1999-00,E. Zosky,31,37,,141,10,30,7,0,0,9,2,,,,0.21,,262,0,,,37,7,,,,NO,regular,Eliminado
1999-00,R. Marval,24,34,,113,16,28,5,0,1,4,3,,,,0.25,,319,0,,,36,6,,,,NO,regular,Eliminado
1999-00,A. Machado,20,39,,105,15,27,3,1,1,10,6,,,,0.26,,333,0,,,35,5,,,,NO,regular,Eliminado
1999-00,J. Cordido,19,31,,83,5,20,6,0,0,4,1,,,,0.24,,313,0,,,26,6,,,,NO,regular,Eliminado
1999-00,S. Krausse,26,23,,88,7,19,2,0,1,3,1,,,,0.22,,273,0,,,24,3,,,,NO,regular,Eliminado
1999-00,C. Burguillos,28,41,,70,10,16,2,0,0,8,3,,,,0.23,,257,0,,,18,2,,,,NO,regular,Eliminado
1999-00,M. Pernalete,21,29,,61,15,16,4,0,0,2,1,,,,0.26,,328,0,,,20,4,,,,NO,regular,Eliminado
1999-00,J. Marquez,26,23,,51,6,15,3,0,0,4,0,,,,0.29,,353,0,,,18,3,,,,NO,regular,Eliminado
1999-00,M. Whiten,33,16,,58,4,15,5,1,1,8,0,,,,0.26,,431,0,,,25,7,,,,NO,regular,Eliminado
1999-00,G. Lombard,24,11,,40,5,12,1,0,1,4,1,,,,0.3,,0.4,0,,,16,2,,,,NO,regular,Eliminado
1999-00,J. Velandia,24,9,,32,2,10,1,0,0,3,0,,,,0.31,,344,0,,,11,1,,,,NO,regular,Eliminado
1999-00,A. Barkett,25,11,,36,2,8,1,0,0,2,0,,,,0.22,,0.25,0,,,9,1,,,,NO,regular,Eliminado
1999-00,G. Rodríguez,21,16,,36,2,7,0,0,0,2,0,,,,0.19,,194,0,,,7,0,,,,NO,regular,Eliminado
1999-00,J. Boscán,20,4,,10,0,2,0,0,0,0,0,,,,0.2,,0.2,0,,,2,0,,,,NO,regular,Eliminado
1999-00,D. Powell,26,3,,8,1,2,1,0,0,0,0,,,,0.25,,375,0,,,3,1,,,,NO,regular,Eliminado
1999-00,W. Oropeza,24,7,,12,2,1,1,0,0,1,0,,,,0.08,,167,0,,,2,1,,,,NO,regular,Eliminado
1999-00,R. Olmedo,18,5,,4,1,1,0,0,0,1,0,,,,0.25,,0.25,0,,,1,0,,,,NO,regular,Eliminado
1999-00,A. Espinoza,21,2,,1,0,1,0,0,0,0,0,,,,1,,1,0,,,1,0,,,,NO,regular,Eliminado
1999-00,J. Salas,17,1,,4,1,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
1998-99,A. Escobar,20,48,,186,33,53,11,3,3,29,7,,,,0.29,,425,0,,,79,17,,,,NO,regular,Eliminado
1998-99,J. Velandia,23,47,,171,27,49,6,0,0,17,1,,,,0.29,,322,0,,,55,6,,,,NO,regular,Eliminado
1998-99,O. Saenz,28,37,,132,23,43,8,0,6,25,1,,,,0.33,,523,0,,,69,14,,,,NO,regular,Eliminado
1998-99,K. Batker,23,42,,157,16,41,6,0,1,16,0,,,,0.26,,318,0,,,50,7,,,,NO,regular,Eliminado
1998-99,C. Colon,29,54,,169,10,40,5,2,1,16,1,,,,0.24,,308,0,,,52,8,,,,NO,regular,Eliminado
1998-99,F. Charles,29,38,,129,11,39,7,1,0,11,2,,,,0.3,,372,0,,,48,8,,,,NO,regular,Eliminado
1998-99,R. Marval,23,47,,141,15,34,2,1,0,9,2,,,,0.24,,0.27,0,,,38,3,,,,NO,regular,Eliminado
1998-99,K. Noriega,24,43,,119,10,31,3,0,0,16,0,,,,0.26,,286,0,,,34,3,,,,NO,regular,Eliminado
1998-99,G. Norton,26,25,,100,17,30,9,1,3,12,0,,,,0.3,,0.5,0,,,50,13,,,,NO,regular,Eliminado
1998-99,T. Belk,28,21,,78,16,28,1,0,2,11,2,,,,0.36,,449,0,,,35,3,,,,NO,regular,Eliminado
1998-99,R. Simon,23,26,,103,9,26,5,0,2,12,0,,,,0.25,,359,0,,,37,7,,,,NO,regular,Eliminado
1998-99,W. Canate,27,25,,85,11,24,9,0,0,12,2,,,,0.28,,388,0,,,33,9,,,,NO,regular,Eliminado
1998-99,S. Torrealba,20,30,,92,9,23,2,1,0,10,0,,,,0.25,,293,0,,,27,3,,,,NO,regular,Eliminado
1998-99,L. Landaeta,21,54,,96,11,22,5,0,0,10,2,,,,0.23,,281,0,,,27,5,,,,NO,regular,Eliminado
1998-99,J. Cordido,18,29,,73,7,20,2,0,0,4,1,,,,0.27,,301,0,,,22,2,,,,NO,regular,Eliminado
1998-99,F. Jiménez,22,31,,79,10,17,1,0,0,0,4,,,,0.22,,228,0,,,18,1,,,,NO,regular,Eliminado
1998-99,A. Barkett,24,13,,54,4,16,0,0,0,10,0,,,,0.3,,296,0,,,16,0,,,,NO,regular,Eliminado
1998-99,O. Guillén,34,10,,34,13,12,1,1,0,5,0,,,,0.35,,441,0,,,15,2,,,,NO,regular,Eliminado
1998-99,W. Oropeza,23,22,,46,3,11,2,0,0,1,0,,,,0.24,,283,0,,,13,2,,,,NO,regular,Eliminado
1998-99,S. Krausse,25,11,,42,3,9,2,0,3,8,0,,,,0.21,,476,0,,,20,5,,,,NO,regular,Eliminado
1998-99,I. Paez,22,11,,34,5,7,1,0,0,2,0,,,,0.21,,235,0,,,8,1,,,,NO,regular,Eliminado
1998-99,C. Mendoza,19,9,,23,2,6,1,0,0,2,0,,,,0.26,,304,0,,,7,1,,,,NO,regular,Eliminado
1998-99,B. Torres,19,4,,12,1,4,0,1,0,2,0,,,,0.33,,0.5,0,,,6,1,,,,NO,regular,Eliminado
1998-99,A. Machado,19,5,,2,1,1,0,0,0,1,0,,,,0.5,,0.5,0,,,1,0,,,,NO,regular,Eliminado
1998-99,J. Boscán,19,1,,1,0,1,0,0,0,0,0,,,,1,,1,0,,,1,0,,,,NO,regular,Eliminado
1998-99,M. Pernalete,20,4,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
1998-99,A. Espinoza,20,4,,7,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
1998-99,G. Rodríguez,20,3,,3,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
1998-99,O. Araujo,20,2,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
1997-98,J. Safer,0,63,,229,40,69,9,7,1,14,4,,,,0.3,,415,0,,,95,17,,,,NO,regular,Eliminado
1997-98,R. Álvarez,20,62,,196,32,52,7,8,1,26,3,,,,0.27,,398,0,,,78,16,,,,NO,regular,Eliminado
1997-98,W. Canate,26,59,,194,30,47,8,0,0,18,4,,,,0.24,,284,0,,,55,8,,,,NO,regular,Eliminado
1997-98,A. Prieto,21,54,,176,18,47,6,1,0,14,1,,,,0.27,,313,0,,,55,7,,,,NO,regular,Eliminado
1997-98,G. Norton,25,46,,160,24,46,14,0,6,34,3,,,,0.29,,488,0,,,78,20,,,,NO,regular,Eliminado
1997-98,C. Martínez,32,44,,160,13,43,5,0,1,22,1,,,,0.27,,319,0,,,51,6,,,,NO,regular,Eliminado
1997-98,T. Belk,27,40,,155,18,43,11,0,0,20,1,,,,0.28,,348,0,,,54,11,,,,NO,regular,Eliminado
1997-98,T. Glaus,21,51,,172,16,40,7,1,2,20,0,,,,0.23,,0.32,0,,,55,10,,,,NO,regular,Eliminado
1997-98,W. Oropeza,22,48,,155,10,31,4,0,1,14,0,,,,0.2,,245,0,,,38,5,,,,NO,regular,Eliminado
1997-98,C. Greene,26,29,,106,6,23,1,0,1,9,0,,,,0.22,,255,0,,,27,2,,,,NO,regular,Eliminado
1997-98,C. Snopek,27,15,,50,13,19,6,0,0,10,0,,,,0.38,,0.5,0,,,25,6,,,,NO,regular,Eliminado
1997-98,A. Escobar,19,31,,65,9,18,5,0,0,4,0,,,,0.28,,354,0,,,23,5,,,,NO,regular,Eliminado
1997-98,C. Subero,25,29,,63,2,17,0,0,0,9,0,,,,0.27,,0.27,0,,,17,0,,,,NO,regular,Eliminado
1997-98,C. García,21,21,,41,9,10,2,0,0,1,3,,,,0.24,,293,0,,,12,2,,,,NO,regular,Eliminado
1997-98,L. Landaeta,20,29,,38,6,9,1,0,0,5,0,,,,0.24,,263,0,,,10,1,,,,NO,regular,Eliminado
1997-98,J. Monzon,29,15,,34,2,4,1,0,0,1,0,,,,0.12,,147,0,,,5,1,,,,NO,regular,Eliminado
1997-98,D. Agli,19,11,,13,2,4,1,0,0,1,0,,,,0.31,,385,0,,,5,1,,,,NO,regular,Eliminado
1997-98,J. Arraiz,23,15,,20,5,3,0,0,0,0,0,,,,0.15,,0.15,0,,,3,0,,,,NO,regular,Eliminado
1997-98,G. Rodríguez,19,6,,14,2,3,2,0,0,1,0,,,,0.21,,357,0,,,5,2,,,,NO,regular,Eliminado
1997-98,M. Pernalete,19,5,,5,1,1,0,0,0,0,0,,,,0.2,,0.2,0,,,1,0,,,,NO,regular,Eliminado
1997-98,O. Araujo,19,4,,7,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
1997-98,A. Machado,18,2,,4,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
1996-97,J. Safer,0,41,,139,17,40,9,2,1,17,3,,,,0.29,,403,0,,,56,12,,,,NO,regular,Eliminado
1996-97,R. Álvarez,19,42,,126,15,35,1,2,0,9,5,,,,0.28,,317,0,,,40,3,,,,NO,regular,Eliminado
1996-97,A. Prieto,20,41,,129,10,35,3,0,0,7,1,,,,0.27,,295,0,,,38,3,,,,NO,regular,Eliminado
1996-97,J. Monzon,28,49,,161,11,33,10,0,0,17,0,,,,0.21,,267,0,,,43,10,,,,NO,regular,Eliminado
1996-97,J. Ramos,25,39,,132,14,29,6,0,0,10,8,,,,0.22,,265,0,,,35,6,,,,NO,regular,Eliminado
1996-97,C. Subero,24,40,,127,13,28,6,1,0,10,0,,,,0.22,,283,0,,,36,7,,,,NO,regular,Eliminado
1996-97,K. Valrie,28,30,,112,18,27,7,2,0,11,4,,,,0.24,,339,0,,,38,9,,,,NO,regular,Eliminado
1996-97,W. Oropeza,21,42,,126,9,23,2,1,0,6,2,,,,0.18,,214,0,,,27,3,,,,NO,regular,Eliminado
1996-97,C. Martínez,31,23,,82,4,17,5,0,0,15,1,,,,0.21,,268,0,,,22,5,,,,NO,regular,Eliminado
1996-97,R. Marval,21,27,,71,8,16,2,0,0,4,0,,,,0.23,,254,0,,,18,2,,,,NO,regular,Eliminado
1996-97,W. Helms,20,19,,71,7,13,1,0,1,5,2,,,,0.18,,239,0,,,17,2,,,,NO,regular,Eliminado
1996-97,J. Arraiz,22,29,,59,8,12,0,1,0,5,0,,,,0.2,,237,0,,,14,1,,,,NO,regular,Eliminado
1996-97,A. Jones,19,12,,36,7,11,2,3,0,5,1,,,,0.31,,528,0,,,19,5,,,,NO,regular,Eliminado
1996-97,O. Guillén,32,10,,38,7,11,1,1,1,4,0,,,,0.29,,447,0,,,17,3,,,,NO,regular,Eliminado
1996-97,H. Ovalles,20,24,,48,3,10,1,1,0,4,1,,,,0.21,,271,0,,,13,2,,,,NO,regular,Eliminado
1996-97,J. Vilchez,0,10,,21,1,7,0,0,0,0,0,,,,0.33,,333,0,,,7,0,,,,NO,regular,Eliminado
1996-97,L. Landaeta,19,19,,32,2,4,1,0,0,1,0,,,,0.13,,156,0,,,5,1,,,,NO,regular,Eliminado
1996-97,L. López,18,14,,34,1,4,1,0,0,0,0,,,,0.12,,147,0,,,5,1,,,,NO,regular,Eliminado
1996-97,A. Escobar,18,7,,16,2,3,1,0,0,2,1,,,,0.19,,0.25,0,,,4,1,,,,NO,regular,Eliminado
1996-97,D. Agli,18,17,,22,1,2,0,0,0,0,0,,,,0.09,,91,0,,,2,0,,,,NO,regular,Eliminado
1996-97,C. García,20,4,,10,1,2,0,0,0,0,0,,,,0.2,,0.2,0,,,2,0,,,,NO,regular,Eliminado
1996-97,R. Veitia,18,3,,6,1,1,0,1,0,1,0,,,,0.17,,0.5,0,,,3,1,,,,NO,regular,Eliminado
1996-97,A. Juarez,0,4,,3,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
1996-97,R. Barrera,0,1,,3,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
1996-97,I. Paez,20,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,,,,NO,regular,Eliminado
1995-96,C. Martínez,30,59,,217,20,59,14,0,7,37,8,,,,0.27,,433,0,,,94,21,,,,NO,regular,Eliminado
1995-96,J. Ramos,24,52,,173,27,52,6,0,0,15,3,,,,0.3,,335,0,,,58,6,,,,NO,regular,Eliminado
1995-96,M. Benard,24,50,,175,32,46,9,3,2,13,16,,,,0.26,,383,0,,,67,14,,,,NO,regular,Eliminado
1995-96,C. Subero,23,52,,155,11,33,1,3,0,10,2,,,,0.21,,258,0,,,40,4,,,,NO,regular,Eliminado
1995-96,W. Canate,24,45,,153,11,31,10,0,0,10,7,,,,0.2,,268,0,,,41,10,,,,NO,regular,Eliminado
1995-96,A. Cabrera,24,40,,112,10,31,7,2,3,14,1,,,,0.28,,455,0,,,51,12,,,,NO,regular,Eliminado
1995-96,R. Odor,27,42,,139,18,29,1,3,0,6,3,,,,0.21,,259,0,,,36,4,,,,NO,regular,Eliminado
1995-96,J. Monzon,27,41,,123,3,28,6,0,1,14,1,,,,0.23,,301,0,,,37,7,,,,NO,regular,Eliminado
1995-96,W. Magallanes,29,48,,138,14,25,7,0,3,15,1,,,,0.18,,297,0,,,41,10,,,,NO,regular,Eliminado
1995-96,H. Ortega,26,43,,116,10,23,7,0,2,10,0,,,,0.2,,0.31,0,,,36,9,,,,NO,regular,Eliminado
1995-96,J. Brooks,28,24,,85,4,21,3,1,0,8,0,,,,0.25,,306,0,,,26,4,,,,NO,regular,Eliminado
1995-96,M. González,21,22,,62,6,16,3,1,0,4,0,,,,0.26,,339,0,,,21,4,,,,NO,regular,Eliminado
1995-96,T. Lampkin,31,19,,62,8,15,4,0,0,7,1,,,,0.24,,306,0,,,19,4,,,,NO,regular,Eliminado
1995-96,M. Castellanos,26,33,,62,5,7,1,0,0,1,1,,,,0.11,,129,0,,,8,1,,,,NO,regular,Eliminado
1995-96,A. Prieto,19,17,,34,4,6,0,0,0,1,0,,,,0.18,,176,0,,,6,0,,,,NO,regular,Eliminado
1995-96,W. Oropeza,20,10,,18,2,6,2,0,0,4,0,,,,0.33,,444,0,,,8,2,,,,NO,regular,Eliminado
1995-96,W. Polidor,22,14,,18,5,5,1,1,0,1,1,,,,0.28,,444,0,,,8,2,,,,NO,regular,Eliminado
