years,jugador,edad,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,avg,obp,slg,ops,ir,rc,tb,xb,hbp,sh,sf,refuerzo,ronda,resultado
2013-14,M. Rojas,24,40,96,87,15,21,4,0,0,2,1,0,7,15,0.24,298,287,585,53,7.4,25,4,0,2,0,NO,regular,Eliminado
2013-14,J. Martínez,25,25,73,65,6,15,1,1,2,7,3,0,7,9,0.23,306,369,675,75,7.3,24,4,0,1,0,NO,regular,Eliminado
2013-14,R. Álvarez,36,28,38,31,7,13,2,0,2,6,0,0,7,4,0.42,526,677,1204,211,11,21,4,0,0,0,NO,regular,Eliminado
2013-14,J. Herrera,28,45,90,68,12,12,3,0,1,5,1,2,18,17,0.18,356,265,621,64,6.4,18,4,1,3,0,NO,regular,Eliminado
2013-14,A. Nieves,28,26,48,43,7,10,2,0,1,6,0,0,3,9,0.23,298,349,647,68,4.5,15,3,1,1,0,NO,regular,Eliminado
2013-14,J. González,26,17,50,43,4,10,1,0,0,7,0,0,3,10,0.23,298,256,554,46,3.3,11,1,1,3,0,NO,regular,Eliminado
2013-14,H. Meneses,22,16,37,32,6,10,2,1,0,3,0,2,3,9,0.31,405,438,843,120,5.7,14,3,2,0,0,NO,regular,Eliminado
2013-14,B. Britton,27,13,34,31,2,7,0,0,0,0,1,0,2,5,0.23,294,226,0.52,37,2.1,7,0,1,0,0,NO,regular,Eliminado
2013-14,E. Adrianza,24,14,34,28,4,5,2,0,0,1,0,2,5,7,0.18,303,0.25,553,46,2.1,7,2,0,1,0,NO,regular,Eliminado
2013-14,R. Osuna,28,11,27,24,2,4,0,0,0,3,0,0,2,2,0.17,222,167,389,3,0.9,4,0,0,0,1,NO,regular,Eliminado
2013-14,A. Gose,23,7,32,25,5,4,1,0,0,2,2,0,4,8,0.16,323,0.2,523,39,1.6,5,1,2,1,0,NO,regular,Eliminado
2013-14,B. Glenn,26,7,25,20,1,3,0,0,0,2,0,0,3,6,0.15,261,0.15,411,10,0.8,3,0,0,2,0,NO,regular,Eliminado
2013-14,J. Graterol,24,4,12,11,1,3,0,0,1,2,0,1,0,2,0.27,273,545,818,108,1.6,6,1,0,1,0,NO,regular,Eliminado
2013-14,T. Thompson,22,14,25,22,0,1,0,0,0,1,0,1,2,7,0.05,0.12,45,165,-55,0.1,1,0,0,0,1,NO,regular,Eliminado
2013-14,E. Bellorin,31,7,8,8,0,1,0,0,0,3,0,0,0,1,0.13,125,125,0.25,-35,0.1,1,0,0,0,0,NO,regular,Eliminado
2012-13,C. Suarez,29,61,277,250,37,80,16,1,6,30,4,3,17,26,0.32,367,464,831,120,42.6,116,23,4,2,4,NO,regular,Eliminado
2012-13,C. Retherford,27,61,267,233,34,67,15,0,8,35,0,0,30,34,0.29,367,455,822,118,38.9,106,23,1,0,3,NO,regular,Eliminado
2012-13,S. Pérez,22,32,148,132,23,49,10,0,8,39,1,0,9,17,0.37,412,629,1041,174,34.2,83,18,3,0,4,NO,regular,Eliminado
2012-13,O. Salazar,34,49,202,179,23,38,6,0,4,16,0,0,21,29,0.21,297,313,0.61,63,16.6,56,10,1,0,1,NO,regular,Eliminado
2012-13,A. Cabrera,41,37,155,130,21,36,5,1,7,32,1,0,18,31,0.28,374,492,867,129,23.9,64,13,4,0,3,NO,regular,Eliminado
2012-13,J. Herrera,27,28,106,95,14,33,3,0,8,20,2,0,9,25,0.35,396,632,1028,170,23.8,60,11,0,0,2,NO,regular,Eliminado
2012-13,D. Ruf,26,32,144,120,26,31,8,0,10,27,0,0,17,42,0.26,368,575,943,148,25.4,69,18,5,0,2,NO,regular,Eliminado
2012-13,R. Osuna,27,36,110,96,16,30,5,0,3,17,8,1,11,10,0.31,376,458,834,121,16.5,44,8,0,1,2,NO,regular,Eliminado
2012-13,A. Castellanos,26,21,100,85,13,26,5,1,4,18,0,1,7,24,0.31,374,529,903,138,16.8,45,10,4,1,3,NO,regular,Eliminado
2012-13,R. Ortega,21,42,91,80,18,24,4,0,0,5,2,2,9,10,0.3,371,0.35,721,93,10.4,28,4,0,2,0,NO,regular,Eliminado
2012-13,E. Adrianza,23,25,104,87,16,24,6,2,0,5,0,0,12,20,0.28,379,391,769,106,12.9,34,8,3,1,1,NO,regular,Eliminado
2012-13,G. Blanco,29,17,80,69,20,23,1,1,1,4,4,2,11,18,0.33,425,0.42,845,126,12.3,29,3,0,0,0,NO,regular,Eliminado
2012-13,Mi. González,22,35,93,77,12,21,3,0,1,7,0,0,7,15,0.27,367,351,717,93,9.9,27,4,5,3,1,NO,regular,Eliminado
2012-13,S. Van Slyke,26,26,102,91,15,21,5,0,7,14,0,0,9,29,0.23,314,516,0.83,118,14.7,47,12,2,0,0,NO,regular,Eliminado
2012-13,H. Sánchez,23,21,77,72,11,21,4,0,3,16,1,0,4,17,0.29,325,472,797,110,11,34,7,0,0,1,NO,regular,Eliminado
2012-13,M. Rojas,23,34,94,85,10,19,1,0,1,3,0,1,7,10,0.22,0.29,271,561,51,6.7,23,2,1,1,0,NO,regular,Eliminado
2012-13,R. Olmedo,31,33,64,59,9,14,3,0,0,4,0,2,3,14,0.24,274,288,562,50,4.7,17,3,0,2,0,NO,regular,Eliminado
2012-13,J. Martínez,24,16,55,51,5,14,2,1,0,2,1,0,3,9,0.28,315,353,668,78,5.7,18,3,0,1,0,NO,regular,Eliminado
2012-13,Y. Sánchez,20,13,37,33,7,10,3,1,0,1,0,0,4,8,0.3,378,455,833,121,5.7,15,4,0,0,0,NO,regular,Eliminado
2012-13,R. Álvarez,35,27,43,34,9,9,3,0,2,8,0,0,7,7,0.27,395,529,925,144,7.1,18,5,1,0,1,NO,regular,Eliminado
2012-13,E. Bellorin,30,21,35,33,2,6,0,0,0,1,0,0,2,4,0.18,229,182,0.41,11,1.4,6,0,0,0,0,NO,regular,Eliminado
