years,jugador,edad,w,l,w-l%,era,g,gs,cg,sho,sv,ip,h,r,er,hr,bb,so,whip,h/9,hr/9,bb/9,so/9,so/bb,bk,refuerzo
2014-15,A. Aceves,32,0,1,0,4.91,5,0,0,0,2,3.2,1,2,2,1,2,3,818,2.45,2.45,4.91,7.36,1.5,0,NO
2014-15,A. Gerdel,21,0,0,,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,9,,0,NO
2014-15,A. Herrera,21,0,0,,6.75,5,0,0,0,0,4,5,3,3,0,1,1,1.5,11.25,0,2.25,2.25,1,0,NO
2014-15,A. Mavare,24,0,1,0,27,3,0,0,0,0,1.1,6,4,4,0,1,1,5.25,40.5,0,6.75,6.75,1,0,NO
2014-15,C. Kimball,29,0,0,,4.5,7,0,0,0,0,6,4,3,3,1,6,1,1667,6,1.5,9,1.5,0.1667,0,NO
2014-15,D. Soriano,32,1,0,1,4.76,8,0,0,0,0,5.2,8,3,3,1,1,4,1588,12.71,1.59,1.59,6.35,4,0,NO
2014-15,E. Barrios,26,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,NO
2014-15,E. Escalona,28,0,3,0,8,4,4,0,0,0,18,28,16,16,1,4,10,1778,14,0.5,2,5,2.5,0,NO
2014-15,E. González,32,0,1,0,6,3,0,0,0,0,3,4,5,2,0,2,1,2,12,0,6,3,0.5,0,NO
2014-15,F. Hernández,30,0,0,,5.14,3,2,0,0,0,7,7,5,4,0,2,6,1286,9,0,2.57,7.71,3,0,NO
2014-15,J. DePaula,32,0,1,0,3.6,5,0,0,0,0,5,4,4,2,0,3,3,1.4,7.2,0,5.4,5.4,1,0,SI
2014-15,J. González,24,0,0,,0,1,0,0,0,0,1.1,2,0,0,0,0,0,1.5,13.5,0,0,0,,0,NO
2014-15,J. Guerra,29,2,0,1,2.81,3,3,0,0,0,16,16,6,5,0,9,11,1562,9,0,5.06,6.19,1.2222,0,NO
2014-15,J. Ortiz,24,0,1,0,7.36,8,0,0,0,0,3.2,7,3,3,1,0,1,1909,17.18,2.45,0,2.45,,0,NO
2014-15,K. Newby,29,0,1,0,3.86,8,0,0,0,0,9.1,6,5,4,1,3,3,964,5.79,0.96,2.89,2.89,1,0,SI
2014-15,K. Villegas,21,0,0,,4.5,2,0,0,0,0,2,3,1,1,0,1,3,2,13.5,0,4.5,13.5,3,0,NO
2014-15,L. Vizcaino,40,0,0,,9.82,6,0,0,0,1,3.2,7,4,4,1,0,2,1909,17.18,2.45,0,4.91,,0,SI
2014-15,M. Antonini,29,1,2,0.3333,5,4,3,0,0,0,18,22,10,10,2,4,22,1444,11,1,2,11,5.5,0,NO
2014-15,O. Melendez,28,0,0,,4.5,2,0,0,0,0,2,3,2,1,0,1,1,2,13.5,0,4.5,4.5,1,0,NO
2014-15,R. Cova,32,0,0,,6.75,7,0,0,0,0,6.2,6,5,5,0,4,4,1.5,8.1,0,5.4,5.4,1,0,NO
2014-15,R. Kussmaul,28,0,0,,5.4,2,0,0,0,1,1.2,2,1,1,0,1,2,1.8,10.8,0,5.4,10.8,2,0,NO
2014-15,R. Pinto,32,0,0,,0,1,0,0,0,0,1,1,0,0,0,0,0,1,9,0,0,0,,0,NO
2014-15,R. Ramírez,32,1,0,1,2.79,4,4,0,0,0,19.1,18,6,6,2,8,15,1345,8.38,0.93,3.72,6.98,1875,0,NO
2013-14,B. Cramer,34,0,0,,4.32,2,1,0,0,0,8.1,8,4,4,0,3,3,1.32,8.64,0,3.24,3.24,1,0,NO
2013-14,B. Suero,23,1,0,1,2.7,9,0,0,0,0,6.2,8,4,2,0,4,5,1.8,10.8,0,5.4,6.75,1.25,1,SI
2013-14,C. Santeliz,27,0,1,0,3.38,3,0,0,0,0,2.2,1,1,1,0,1,3,0.75,3.38,0,3.38,10.13,3,0,NO
2013-14,E. Escalona,27,2,0,1,3.27,2,2,0,0,0,11,10,4,4,2,1,10,1,8.18,1.64,0.82,8.18,10,0,NO
2013-14,E. Figueroa,25,0,0,,0,2,0,0,0,0,4,2,1,0,0,2,1,1,4.5,0,4.5,2.25,0.5,0,NO
2013-14,E. González,31,0,1,0,15.75,5,0,0,0,1,4,9,7,7,2,3,2,3,20.25,4.5,6.75,4.5,0.6667,0,NO
2013-14,E. Vázquez,30,0,2,0,6.17,4,3,0,0,0,11.2,14,11,8,0,8,10,1886,10.8,0,6.17,7.71,1.25,0,NO
2013-14,F. Rodríguez,31,0,0,,0,1,0,0,0,0,1,1,0,0,0,1,1,2,9,0,9,9,1,0,NO
2013-14,G. Chacin,33,0,0,,3.38,6,0,0,0,0,2.2,1,1,1,0,2,1,1125,3.38,0,6.75,3.38,0.5,0,NO
2013-14,H. Álvarez,23,0,1,0,4.5,2,2,0,0,0,10,10,5,5,3,2,9,1.2,9,2.7,1.8,8.1,4.5,0,NO
2013-14,J. Capellan,32,0,1,0,9.95,2,1,0,0,0,6.1,10,7,7,1,2,2,1895,14.21,1.42,2.84,2.84,1,0,SI
2013-14,J. Delgado,29,0,0,,6.75,5,0,0,0,0,4,5,3,3,1,3,4,2,11.25,2.25,6.75,9,1.3333,0,NO
2013-14,J. González,23,0,0,,6.75,8,0,0,0,0,6.2,8,6,5,1,8,5,2.4,10.8,1.35,10.8,6.75,625,0,NO
2013-14,J. Guerra,28,0,0,,10.38,5,3,0,0,0,13,18,16,15,2,7,15,1923,12.46,1.38,4.85,10.38,2.1429,0,NO
2013-14,J. Link,29,0,0,,4.26,7,0,0,0,0,6.1,12,7,3,1,4,9,2526,17.05,1.42,5.68,12.79,2.25,0,NO
2013-14,K. Batista,32,0,0,,6.75,6,0,0,0,0,5.1,6,4,4,1,2,6,1.5,10.13,1.69,3.38,10.13,3,0,NO
2013-14,M. Arias,29,1,2,0.3333,4,10,0,0,0,0,9,5,4,4,0,8,4,1444,5,0,8,4,0.5,0,NO
2013-14,M. Hollands,25,0,0,,7.11,2,2,0,0,0,6.1,11,5,5,0,2,3,2053,15.63,0,2.84,4.26,1.5,0,NO
2013-14,M. Mendoza,34,0,1,0,8.31,5,0,0,0,0,4.1,5,4,4,1,2,4,1615,10.38,2.08,4.15,8.31,2,0,NO
2013-14,R. Cova,31,1,2,0.3333,5.68,8,0,0,0,0,6.1,7,4,4,0,6,6,2053,9.95,0,8.53,8.53,1,0,NO
2013-14,R. Pinto,31,0,0,,,1,0,0,0,0,0,3,4,4,0,1,0,,,,,,0,0,NO
2013-14,T. Brummett,29,0,0,,2.13,4,2,0,0,0,12.2,16,6,3,1,6,9,1737,11.37,0.71,4.26,6.39,1.5,0,NO
2011-12,A. Bastardo,27,0,0,,0,1,0,0,0,0,0.2,0,0,0,0,1,0,1.5,0,0,13.5,0,0,0,NO
2011-12,A. Galarraga,29,1,2,0.3333,7.24,4,4,0,0,0,13.2,14,12,11,3,8,7,1.61,9.22,1.98,5.27,4.61,875,0,SI
2011-12,A. Morales,22,0,0,,5.4,2,0,0,0,0,1.2,1,1,1,0,2,2,1.8,5.4,0,10.8,10.8,1,0,NO
2011-12,A. Ortega,26,0,0,,7.71,5,0,0,0,0,4.2,10,5,4,1,4,6,3,19.29,1.93,7.71,11.57,1.5,0,NO
2011-12,B. Sweeney,37,3,1,0.75,2.66,4,4,0,0,0,23.2,20,8,7,2,4,13,1014,7.61,0.76,1.52,4.94,3.25,0,SI
2011-12,E. Barrios,23,0,0,,10.13,1,0,0,0,0,2.2,4,3,3,1,0,5,1.5,13.5,3.38,0,16.88,,0,NO
2011-12,E. González,29,0,0,,1.59,9,0,0,0,0,11.1,7,2,2,0,3,8,882,5.56,0,2.38,6.35,2.6667,0,NO
2011-12,F. Hernández,27,1,0,1,5.68,5,0,0,0,0,6.1,8,4,4,1,3,7,1737,11.37,1.42,4.26,9.95,2.3333,0,NO
2011-12,F. Rodríguez,29,0,0,,4,8,0,0,0,3,9,8,4,4,1,6,11,1556,8,1,6,11,1.8333,0,NO
2011-12,G. Infante,24,0,1,0,7.2,7,0,0,0,0,5,6,4,4,1,5,4,2.2,10.8,1.8,9,7.2,0.8,0,NO
2011-12,J. Guerra,26,1,0,1,4.15,6,0,0,0,0,8.2,6,4,4,0,6,4,1385,6.23,0,6.23,4.15,0.6667,0,NO
2011-12,J. Jiménez,24,0,0,,9,6,0,0,0,0,3,7,7,3,0,3,2,3333,21,0,9,6,0.6667,0,SI
2011-12,J. Ortiz,21,0,0,,0,2,0,0,0,0,1.2,2,0,0,0,0,1,1.2,10.8,0,0,5.4,,0,NO
2011-12,K. Villegas,18,0,0,,27,1,0,0,0,0,0.1,3,1,1,0,0,1,9,81,0,0,27,,0,NO
2011-12,L. González,18,0,0,,0,3,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,10.8,,0,NO
2011-12,L. Walrond,35,2,0,1,4.35,4,4,0,0,0,20.2,20,13,10,1,11,13,1.5,8.71,0.44,4.79,5.66,1.1818,0,NO
2011-12,S. Escalona,27,0,0,,0,5,0,0,0,0,3.2,3,0,0,0,0,4,818,7.36,0,0,9.82,,0,NO
2011-12,S. Nin,31,1,0,1,1.69,6,0,0,0,0,5.1,5,1,1,0,2,3,1313,8.44,0,3.38,5.06,1.5,0,NO
2011-12,S. Pomeranz,27,0,0,,16.88,3,0,0,0,0,2.2,5,5,5,0,0,1,1875,16.88,0,0,3.38,,0,NO
2011-12,T. Brummett,27,1,1,0.5,4.03,5,3,0,0,0,22.1,22,10,10,1,9,23,1388,8.87,0.4,3.63,9.27,2.5556,0,NO
