"","years","jugador","edad","w","l","w-l%","era","g","gs","cg","sho","sv","ip","h","r","er","hr","bb","so","whip","h/9","hr/9","bb/9","so/9","so/bb","bk","refuerzo","resultado"
"39","1970-71","S. Barber","22","0","0","","3.86","1","1","0","","0","7.0","5","","3","","2","3","1.000","6.43","","2.57","3.86","1.5000","","NO","campeon"
"40","1971-72","J. Rooker","29","2","1","0.6667","1.00","3","3","3","","0","27.0","21","","3","","4","21","0.926","7.00","","1.33","7.00","5.2500","","NO","subcampeon"
"41","1971-72","L. Tiant","31","0","1","0.0000","6.43","1","1","0","","0","7.0","8","","5","","3","8","1.571","10.29","","3.86","10.29","2.6667","","NO","subcampeon"
"42","1971-72","R. Gardner","27","1","1","0.5000","1.72","2","2","0","","0","15.2","16","","3","","5","5","1.340","9.19","","2.87","2.87","1.0000","","NO","subcampeon"
"43","1971-72","P. Hamm","24","0","0","","4.26","3","1","0","","0","6.1","9","","3","","1","3","1.579","12.79","","1.42","4.26","3.0000","","SI","subcampeon"
"44","1971-72","V. Patino","21","0","0","","0.00","1","0","0","","0","0.2","0","","0","","0","1","0.000","0.00","","0.00","13.50","","","NO","subcampeon"
"45","1971-72","A. Monteagudo","28","0","0","","0.00","3","0","0","","1","4.0","3","","0","","0","1","0.750","6.75","","0.00","2.25","","","NO","subcampeon"
"46","1971-72","O. Pena","38","0","1","0.0000","21.60","1","0","0","","0","1.2","5","","4","","3","1","4.800","27.00","","16.20","5.40","0.3333","","NO","subcampeon"
"47","1976-77","M. Kekich","31","1","1","0.5000","1.76","4","2","0","","0","15.1","12","","3","","5","12","1.109","7.04","","2.93","7.04","2.4000","","NO","subcampeon"
"48","1976-77","B. Johnson","33","1","0","1.0000","4.15","4","0","0","","0","8.2","7","","4","","9","5","1.846","7.27","","9.35","5.19","0.5556","","NO","subcampeon"
"49","1976-77","L. Gura","29","0","1","0.0000","7.45","3","2","0","","0","9.2","14","","8","","1","3","1.552","13.03","","0.93","2.79","3.0000","","NO","subcampeon"
"50","1976-77","T. Chevez","23","0","1","0.0000","8.44","2","1","0","","0","5.1","6","","5","","1","3","1.313","10.13","","1.69","5.06","3.0000","","NO","subcampeon"
"51","1976-77","D. Pole","26","0","0","","5.40","2","0","0","","0","1.2","3","","1","","4","3","4.200","16.20","","21.60","16.20","0.7500","","NO","subcampeon"
"52","1976-77","A. Monteagudo","33","0","0","","0.00","3","0","0","","1","3.0","2","","0","","0","2","0.667","6.00","","0.00","6.00","","","NO","subcampeon"
"53","1976-77","T. Bradley","29","0","1","0.0000","7.11","2","1","0","","0","6.1","10","","5","","3","2","2.053","14.21","","4.26","2.84","0.6667","","NO","subcampeon"
"54","1982-83","O. Jones","29","1","0","1.0000","2.00","1","1","1","","0","9.0","3","","2","","4","12","0.778","3.00","","4.00","12.00","3.0000","","NO","subcampeon"
"55","1982-83","A. Williams","28","0","0","","2.35","2","2","0","","0","7.2","6","","2","","4","8","1.304","7.04","","4.70","9.39","2.0000","","NO","subcampeon"
"56","1982-83","L. Sánchez","29","1","0","1.0000","0.00","3","0","0","","1","6.1","1","","0","","2","8","0.474","1.42","","2.84","11.37","4.0000","","NO","subcampeon"
"57","1982-83","B. Clark","26","2","0","1.0000","0.00","4","0","0","","0","11.1","2","","0","","7","5","0.794","1.59","","5.56","3.97","0.7143","","NO","subcampeon"
"58","1982-83","R. Anderson","29","0","0","","3.38","1","0","0","","0","5.1","6","","2","","2","5","1.500","10.13","","3.38","8.44","2.5000","","NO","subcampeon"
"59","1982-83","T. Tellman","28","0","2","0.0000","7.00","2","2","0","","0","9.0","14","","7","","1","4","1.667","14.00","","1.00","4.00","4.0000","","NO","subcampeon"
"60","1984-85","B. Clark","28","1","0","1.0000","2.00","1","1","1","","0","9.0","10","","2","","2","6","1.333","10.00","","2.00","6.00","3.0000","","NO","campeon"
"61","1984-85","T. Brizzolara","27","1","0","1.0000","4.00","1","1","1","","0","9.0","10","","4","","2","2","1.333","10.00","","2.00","2.00","1.0000","","NO","campeon"
"62","1984-85","R. Siwy","31","1","0","1.0000","1.00","1","1","1","","0","9.0","8","","1","","3","1","1.222","8.00","","3.00","1.00","0.3333","","NO","campeon"
"63","1984-85","G. Heimuller","29","1","0","1.0000","3.24","1","1","0","","0","8.1","11","","3","","3","1","1.680","11.88","","3.24","1.08","0.3333","","NO","campeon"
"64","1985-86","B. Clark","29","1","0","1.0000","2.12","2","2","1","","0","17.0","14","","4","","6","16","1.176","7.41","","3.18","8.47","2.6667","","NO","campeon"
"65","1985-86","O. Jones","32","0","1","0.0000","4.50","2","2","1","","0","14.0","14","","7","","7","9","1.500","9.00","","4.50","5.79","1.2857","","NO","campeon"
"66","1985-86","D. Wyatt","0","1","1","0.5000","3.86","2","1","0","","0","7.0","6","","3","","3","4","1.286","7.71","","3.86","5.14","1.3333","","NO","campeon"
